query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_2024_FIN_14,3,number,1,[118],0.0,0.0,0.0,"[31, 26, 27]"
Q_2024_FIN_14,5,number,1,[118],0.0,0.0,0.0,"[31, 26, 27, 25, 29]"
Q_2024_FIN_14,10,number,1,[118],1.0,0.1,0.125,"[31, 26, 27, 25, 29, 30, 77, 118, 145, 75]"
Q_2024_SAV_01,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2024_SAV_01,3,number,1,[28],1.0,0.5,1.0,"[28, 4]"
Q_2024_SAV_01,5,number,1,[28],1.0,0.25,1.0,"[28, 4, 27, 23]"
Q_2024_SAV_01,10,number,1,[28],1.0,0.14285714285714285,1.0,"[28, 4, 27, 23, 37, 64, 53]"
Q_2024_SAV_02,1,number,1,[29],0.0,0.0,0.0,[37]
Q_2024_SAV_02,3,number,1,[29],1.0,0.3333333333333333,0.3333333333333333,"[37, 27, 29]"
Q_2024_SAV_02,5,number,1,[29],1.0,0.2,0.3333333333333333,"[37, 27, 29, 25, 147]"
Q_2024_SAV_02,10,number,1,[29],1.0,0.1,0.3333333333333333,"[37, 27, 29, 25, 147, 65, 28, 31, 30, 131]"
Q_2024_SAV_03,1,number,1,[28],0.0,0.0,0.0,[37]
Q_2024_SAV_03,3,number,1,[28],1.0,0.3333333333333333,0.3333333333333333,"[37, 147, 28]"
Q_2024_SAV_03,5,number,1,[28],1.0,0.2,0.3333333333333333,"[37, 147, 28, 29, 27]"
Q_2024_SAV_03,10,number,1,[28],1.0,0.125,0.3333333333333333,"[37, 147, 28, 29, 27, 26, 25, 30]"
Q_2024_SAV_04,1,text,1,[28],0.0,0.0,0.0,[37]
Q_2024_SAV_04,3,text,1,[28],1.0,0.3333333333333333,0.5,"[37, 28, 27]"
Q_2024_SAV_04,5,text,1,[28],1.0,0.25,0.5,"[37, 28, 27, 31]"
Q_2024_SAV_04,10,text,1,[28],1.0,0.125,0.5,"[37, 28, 27, 31, 26, 32, 25, 4]"
Q_2024_SAV_05,1,text,1,[28],0.0,0.0,0.0,[54]
Q_2024_SAV_05,3,text,1,[28],0.0,0.0,0.0,"[54, 4, 6]"
Q_2024_SAV_05,5,text,1,[28],1.0,0.2,0.25,"[54, 4, 6, 28, 53]"
Q_2024_SAV_05,10,text,1,[28],1.0,0.1111111111111111,0.25,"[54, 4, 6, 28, 53, 63, 66, 80, 64]"
Q_2024_SAV_06,1,number,1,[28],0.0,0.0,0.0,[37]
Q_2024_SAV_06,3,number,1,[28],1.0,0.3333333333333333,0.5,"[37, 28, 26]"
Q_2024_SAV_06,5,number,1,[28],1.0,0.2,0.5,"[37, 28, 26, 31, 27]"
Q_2024_SAV_06,10,number,1,[28],1.0,0.125,0.5,"[37, 28, 26, 31, 27, 29, 147, 25]"
Q_2024_IJB_01,1,number,2,[24],1.0,1.0,1.0,[24]
Q_2024_IJB_01,3,number,2,[24],1.0,0.5,1.0,"[24, 25]"
Q_2024_IJB_01,5,number,2,[24],1.0,0.25,1.0,"[24, 25, 22, 70]"
Q_2024_IJB_01,10,number,2,[24],1.0,0.1111111111111111,1.0,"[24, 25, 22, 70, 30, 154, 29, 27, 99]"
Q_2024_IJB_02,1,number,2,[24],1.0,1.0,1.0,[24]
Q_2024_IJB_02,3,number,2,[24],1.0,0.5,1.0,"[24, 25]"
Q_2024_IJB_02,5,number,2,[24],1.0,0.25,1.0,"[24, 25, 70, 30]"
Q_2024_IJB_02,10,number,2,[24],1.0,0.125,1.0,"[24, 25, 70, 30, 27, 154, 22, 29]"
Q_2024_IJB_03,1,number,2,[25],1.0,1.0,1.0,[25]
Q_2024_IJB_03,3,number,2,[25],1.0,0.3333333333333333,1.0,"[25, 24, 30]"
Q_2024_IJB_03,5,number,2,[25],1.0,0.25,1.0,"[25, 24, 30, 29]"
Q_2024_IJB_03,10,number,2,[25],1.0,0.125,1.0,"[25, 24, 30, 29, 70, 22, 27, 23]"
Q_2024_IJB_04,1,text,2,[24],0.0,0.0,0.0,[25]
Q_2024_IJB_04,3,text,2,[24],1.0,0.5,0.5,"[25, 24]"
Q_2024_IJB_04,5,text,2,[24],1.0,0.3333333333333333,0.5,"[25, 24, 30]"
Q_2024_IJB_04,10,text,2,[24],1.0,0.125,0.5,"[25, 24, 30, 22, 29, 23, 154, 99]"
Q_2024_IJB_05,1,text,2,[24],0.0,0.0,0.0,[30]
Q_2024_IJB_05,3,text,2,[24],1.0,0.3333333333333333,0.5,"[30, 24, 25]"
Q_2024_IJB_05,5,text,2,[24],1.0,0.25,0.5,"[30, 24, 25, 154]"
Q_2024_IJB_05,10,text,2,[24],1.0,0.14285714285714285,0.5,"[30, 24, 25, 154, 29, 22, 23]"
Q_2024_IJB_06,1,number,2,[22],1.0,1.0,1.0,[22]
Q_2024_IJB_06,3,number,2,[22],1.0,0.3333333333333333,1.0,"[22, 154, 99]"
Q_2024_IJB_06,5,number,2,[22],1.0,0.2,1.0,"[22, 154, 99, 23, 24]"
Q_2024_IJB_06,10,number,2,[22],1.0,0.1111111111111111,1.0,"[22, 154, 99, 23, 24, 39, 25, 5, 30]"
Q_2024_IJB_07,1,number,2,[30],0.0,0.0,0.0,[154]
Q_2024_IJB_07,3,number,2,[30],1.0,0.3333333333333333,0.5,"[154, 30, 29]"
Q_2024_IJB_07,5,number,2,[30],1.0,0.2,0.5,"[154, 30, 29, 23, 41]"
Q_2024_IJB_07,10,number,2,[30],1.0,0.125,0.5,"[154, 30, 29, 23, 41, 5, 22, 24]"
Q_2024_IJB_08,1,number,2,[24],1.0,1.0,1.0,[24]
Q_2024_IJB_08,3,number,2,[24],1.0,0.5,1.0,"[24, 25]"
Q_2024_IJB_08,5,number,2,[24],1.0,0.25,1.0,"[24, 25, 30, 154]"
Q_2024_IJB_08,10,number,2,[24],1.0,0.125,1.0,"[24, 25, 30, 154, 99, 22, 29, 70]"
Q_2024_AE_01,1,number,1,[12],1.0,1.0,1.0,[12]
Q_2024_AE_01,3,number,1,[12],1.0,0.3333333333333333,1.0,"[12, 36, 13]"
Q_2024_AE_01,5,number,1,[12],1.0,0.2,1.0,"[12, 36, 13, 159, 79]"
Q_2024_AE_01,10,number,1,[12],1.0,0.1,1.0,"[12, 36, 13, 159, 79, 11, 14, 10, 27, 34]"
Q_2024_AE_02,1,number,1,[12],1.0,1.0,1.0,[12]
Q_2024_AE_02,3,number,1,[12],1.0,0.3333333333333333,1.0,"[12, 13, 14]"
Q_2024_AE_02,5,number,1,[12],1.0,0.2,1.0,"[12, 13, 14, 16, 11]"
Q_2024_AE_02,10,number,1,[12],1.0,0.1,1.0,"[12, 13, 14, 16, 11, 84, 79, 8, 19, 15]"
Q_2024_AE_03,1,number,1,[12],1.0,1.0,1.0,[12]
Q_2024_AE_03,3,number,1,[12],1.0,0.3333333333333333,1.0,"[12, 14, 13]"
Q_2024_AE_03,5,number,1,[12],1.0,0.2,1.0,"[12, 14, 13, 11, 16]"
Q_2024_AE_03,10,number,1,[12],1.0,0.1,1.0,"[12, 14, 13, 11, 16, 8, 15, 19, 79, 84]"
Q_2024_AE_04,1,number,1,[12],0.0,0.0,0.0,[14]
Q_2024_AE_04,3,number,1,[12],1.0,0.3333333333333333,0.5,"[14, 12, 13]"
Q_2024_AE_04,5,number,1,[12],1.0,0.2,0.5,"[14, 12, 13, 8, 11]"
Q_2024_AE_04,10,number,1,[12],1.0,0.1,0.5,"[14, 12, 13, 8, 11, 16, 62, 19, 79, 17]"
Q_2024_AE_05,1,number,1,[13],1.0,1.0,1.0,[13]
Q_2024_AE_05,3,number,1,[13],1.0,0.3333333333333333,1.0,"[13, 12, 14]"
Q_2024_AE_05,5,number,1,[13],1.0,0.2,1.0,"[13, 12, 14, 11, 8]"
Q_2024_AE_05,10,number,1,[13],1.0,0.125,1.0,"[13, 12, 14, 11, 8, 131, 62, 147]"
Q_2024_AE_06,1,number,1,[13],1.0,1.0,1.0,[13]
Q_2024_AE_06,3,number,1,[13],1.0,0.3333333333333333,1.0,"[13, 159, 14]"
Q_2024_AE_06,5,number,1,[13],1.0,0.2,1.0,"[13, 159, 14, 12, 147]"
Q_2024_AE_06,10,number,1,[13],1.0,0.1,1.0,"[13, 159, 14, 12, 147, 11, 8, 27, 53, 98]"
Q_2024_DEL_01,1,text,1,"[6, 53]",1.0,1.0,1.0,[53]
Q_2024_DEL_01,3,text,1,"[6, 53]",1.0,0.5,1.0,"[53, 8]"
Q_2024_DEL_01,5,text,1,"[6, 53]",1.0,0.25,1.0,"[53, 8, 27, 4]"
Q_2024_DEL_01,10,text,1,"[6, 53]",1.0,0.25,1.0,"[53, 8, 27, 4, 6, 64, 28, 161]"
Q_2024_DEL_02,1,text,1,[54],0.0,0.0,0.0,[53]
Q_2024_DEL_02,3,text,1,[54],0.0,0.0,0.0,"[53, 63, 27]"
Q_2024_DEL_02,5,text,1,[54],0.0,0.0,0.0,"[53, 63, 27, 70]"
Q_2024_DEL_02,10,text,1,[54],0.0,0.0,0.0,"[53, 63, 27, 70, 148, 8, 4]"
Q_2024_DEL_03,1,text,1,[6],0.0,0.0,0.0,[53]
Q_2024_DEL_03,3,text,1,[6],1.0,0.5,0.5,"[53, 6]"
Q_2024_DEL_03,5,text,1,[6],1.0,0.25,0.5,"[53, 6, 28, 54]"
Q_2024_DEL_03,10,text,1,[6],1.0,0.1111111111111111,0.5,"[53, 6, 28, 54, 4, 27, 10, 8, 58]"
Q_2024_DEL_04,1,text,1,[53],1.0,1.0,1.0,[53]
Q_2024_DEL_04,3,text,1,[53],1.0,0.5,1.0,"[53, 63]"
Q_2024_DEL_04,5,text,1,[53],1.0,0.25,1.0,"[53, 63, 6, 11]"
Q_2024_DEL_04,10,text,1,[53],1.0,0.125,1.0,"[53, 63, 6, 11, 80, 54, 10, 20]"
Q_2024_DEL_05,1,text,1,"[6, 54]",0.0,0.0,0.0,[10]
Q_2024_DEL_05,3,text,1,"[6, 54]",1.0,0.6666666666666666,0.5,"[10, 6, 54]"
Q_2024_DEL_05,5,text,1,"[6, 54]",1.0,0.5,0.5,"[10, 6, 54, 21]"
Q_2024_DEL_05,10,text,1,"[6, 54]",1.0,0.25,0.5,"[10, 6, 54, 21, 9, 49, 66, 56]"
Q_2024_ESC_01,1,text,1,"[4, 27]",1.0,1.0,1.0,[4]
Q_2024_ESC_01,3,text,1,"[4, 27]",1.0,0.6666666666666666,1.0,"[4, 53, 27]"
Q_2024_ESC_01,5,text,1,"[4, 27]",1.0,0.4,1.0,"[4, 53, 27, 8, 6]"
Q_2024_ESC_01,10,text,1,"[4, 27]",1.0,0.25,1.0,"[4, 53, 27, 8, 6, 28, 154, 13]"
Q_2024_ESC_02,1,text,1,"[4, 27]",0.0,0.0,0.0,[53]
Q_2024_ESC_02,3,text,1,"[4, 27]",1.0,0.3333333333333333,0.5,"[53, 4, 64]"
Q_2024_ESC_02,5,text,1,"[4, 27]",1.0,0.2,0.5,"[53, 4, 64, 65, 8]"
Q_2024_ESC_02,10,text,1,"[4, 27]",1.0,0.25,0.5,"[53, 4, 64, 65, 8, 28, 27, 147]"
Q_2024_ESC_03,1,text,1,[4],0.0,0.0,0.0,[57]
Q_2024_ESC_03,3,text,1,[4],0.0,0.0,0.0,"[57, 70]"
Q_2024_ESC_03,5,text,1,[4],0.0,0.0,0.0,"[57, 70, 58, 59]"
Q_2024_ESC_03,10,text,1,[4],0.0,0.0,0.0,"[57, 70, 58, 59, 56, 60]"
Q_2024_ESC_04,1,text,1,[56],1.0,1.0,1.0,[56]
Q_2024_ESC_04,3,text,1,[56],1.0,0.5,1.0,"[56, 6]"
Q_2024_ESC_04,5,text,1,[56],1.0,0.25,1.0,"[56, 6, 8, 13]"
Q_2024_ESC_04,10,text,1,[56],1.0,0.1111111111111111,1.0,"[56, 6, 8, 13, 19, 4, 10, 58, 15]"
Q_2024_GOPES_01,1,text,1,[56],1.0,1.0,1.0,[56]
Q_2024_GOPES_01,3,text,1,[56],1.0,0.5,1.0,"[56, 53]"
Q_2024_GOPES_01,5,text,1,[56],1.0,0.3333333333333333,1.0,"[56, 53, 38]"
Q_2024_GOPES_01,10,text,1,[56],1.0,0.125,1.0,"[56, 53, 38, 11, 27, 62, 6, 4]"
Q_2024_GOPES_02,1,text,1,[56],1.0,1.0,1.0,[56]
Q_2024_GOPES_02,3,text,1,[56],1.0,0.5,1.0,"[56, 53]"
Q_2024_GOPES_02,5,text,1,[56],1.0,0.25,1.0,"[56, 53, 48, 70]"
Q_2024_GOPES_02,10,text,1,[56],1.0,0.125,1.0,"[56, 53, 48, 70, 51, 46, 54, 50]"
Q_2024_GOV_01,1,text,1,[28],1.0,1.0,1.0,[28]
Q_2024_GOV_01,3,text,1,[28],1.0,0.3333333333333333,1.0,"[28, 64, 27]"
Q_2024_GOV_01,5,text,1,[28],1.0,0.25,1.0,"[28, 64, 27, 154]"
Q_2024_GOV_01,10,text,1,[28],1.0,0.14285714285714285,1.0,"[28, 64, 27, 154, 85, 4, 147]"
Q_2024_GOV_02,1,text,1,[28],0.0,0.0,0.0,[70]
Q_2024_GOV_02,3,text,1,[28],0.0,0.0,0.0,"[70, 27]"
Q_2024_GOV_02,5,text,1,[28],0.0,0.0,0.0,"[70, 27, 25, 65]"
Q_2024_GOV_02,10,text,1,[28],0.0,0.0,0.0,"[70, 27, 25, 65, 115, 24, 119, 118, 31]"
Q_2024_GOV_03,1,text,1,[4],0.0,0.0,0.0,[37]
Q_2024_GOV_03,3,text,1,[4],0.0,0.0,0.0,"[37, 28]"
Q_2024_GOV_03,5,text,1,[4],1.0,0.25,0.25,"[37, 28, 128, 4]"
Q_2024_GOV_03,10,text,1,[4],1.0,0.125,0.25,"[37, 28, 128, 4, 30, 53, 103, 32]"
Q_2024_GOV_04,1,number,1,[33],1.0,1.0,1.0,[33]
Q_2024_GOV_04,3,number,1,[33],1.0,0.3333333333333333,1.0,"[33, 145, 131]"
Q_2024_GOV_04,5,number,1,[33],1.0,0.25,1.0,"[33, 145, 131, 83]"
Q_2024_GOV_04,10,number,1,[33],1.0,0.14285714285714285,1.0,"[33, 145, 131, 83, 157, 85, 73]"
Q_2024_GOV_05,1,number,1,[31],0.0,0.0,0.0,[4]
Q_2024_GOV_05,3,number,1,[31],0.0,0.0,0.0,"[4, 53, 27]"
Q_2024_GOV_05,5,number,1,[31],0.0,0.0,0.0,"[4, 53, 27, 28, 8]"
Q_2024_GOV_05,10,number,1,[31],0.0,0.0,0.0,"[4, 53, 27, 28, 8, 63, 6, 37, 64]"
