page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
30,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1695,,,,,,,,
31,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3246,,,,,,,,
32,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3765,,,,,,,,
33,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3088,,,,,,,,
34,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3565,,,,,,,,
35,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2489,,,,,,,,
36,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3563,,,,,,,,
37,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3975,,,,,,,,
38,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4279,,,,,,,,
39,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3375,,,,,,,,
40,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4150,,,,,,,,
41,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3162,,,,,,,,
42,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2716,,,,,,,,
43,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,788,,,,,,,,
44,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,697,,,,,,,,
45,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1084,,,,,,,,
46,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1275,,,,,,,,
47,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1496,,,,,,,,
48,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1349,,,,,,,,
49,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,944,,,,,,,,
50,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1139,,,,,,,,
51,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,506,,,,,,,,
52,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1520,,,,,,,,
53,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1517,,,,,,,,
54,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,710,,,,,,,,
55,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,723,,,,,,,,
56,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,685,,,,,,,,
57,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1414,,,,,,,,
58,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1943,,,,,,,,
59,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2180,,,,,,,,
60,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,605,,,,,,,,
61,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1516,,,,,,,,
62,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1597,,,,,,,,
63,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2742,,,,,,,,
64,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,842,,,,,,,,
65,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2376,,,,,,,,
66,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1120,,,,,,,,
67,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2275,,,,,,,,
68,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1469,,,,,,,,
69,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4281,,,,,,,,
70,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1161,,,,,,,,
71,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2858,,,,,,,,
72,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2668,,,,,,,,
73,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1228,,,,,,,,
74,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,752,,,,,,,,
75,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1133,,,,,,,,
