doc_id,query_id,difficulty,answer_type,question,expected_answer,llm_status,json_parse_ok,answer,evidence_quote,guard_violations,answer_correct,answer_status,quote_supports_gold,quote_status,strict_correct,failure_mode,evidence_is_verbatim_in_context,retrieval_hit_at_k,context_chunks_used,context_chars_used,context_truncated
Grampian-2022-2023,Q_2023_FIN_14,LEX,number,What was the total COVID-19 expenditure reported by NHS Grampian in 2022/23?,£41.04 million total (£23.06 million NHS Grampian; £17.97 million IJBs),ok,True,£23.1 million,"The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of £23.1 million was incurred on non-delegated Board services.",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,False,3,3794,False
Grampian-2022-2023,Q_2023_FIN_P2,MOD,text,By how much did drugs and medical supplies increase in 2022/23 and what drove this?,"Increased by £21 million due to volume and price increases across primary and secondary care, partly offset by £6.5 million reduction in COVID medical supply spend",guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3509,False
Grampian-2022-2023,Q_2023_FIN_02,LEX,number,What was the actual Core Revenue Resource outturn in 2022/23?,"£1,291,879 (£000)",ok,True,612,"Statutory Financial Targets Limit as set Actual Variance by SGHSCD Outturn (Deficit)/Sur plus Core Revenue Resource Limit 1,292,491 1,291,879 612",,False,incorrect,True,partial,False,saw_gold_in_quote_but_answer_incorrect,True,True,3,3631,False
Grampian-2022-2023,Q_2023_FIN_16,LEX,number,What was the COVID-19 vaccination expenditure in 2022/23?,£9.96 million,ok,True,£23.1 million,Expenditure of £23.1 million was incurred on non-delegated Board services.,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,False,3,3577,False
Grampian-2022-2023,Q_2023_FIN_07,STR,number,By how much did NHS Grampian's total spending on health and care services grow between 2021/22 and 2022/23?,"£1,443 million",guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,False,3,3801,False
Grampian-2022-2023,Q_2023_FIN_10,LEX,number,By how much did Staff Costs increase in 2022/23?,"£54.7 million (average pay uplift 4.5% Medical & Dental, 7.5% Agenda for Change)",ok,True,14.06%,75th percentile (Salary only) (£000s) 50.51 44.28 14.06% Ratio,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3629,False
Grampian-2022-2023,Q_2023_IJB_07,LEX,number,By how much did the contribution to IJBs reduce in 2022/23 compared to 2021/22?,Reduced by £81.5 million following changes in public health policies related to COVID and return of reserves to Scottish Government,ok,True,reduction,This has led to a significant reduction,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,False,3,1989,False
Grampian-2022-2023,Q_2023_FIN_09,LEX,number,What was the total COVID-19 expenditure across NHS Grampian and its IJBs in 2022/23?,"£41.04 million total (£23.06 million NHS Grampian, £17.97 million IJBs)",ok,True,£23.1 million,"The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of £23.1 million was incurred on non-delegated Board services.",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3538,False
Grampian-2022-2023,Q_2023_FIN_04,MOD,number,What was the approved cash financing requirement for NHS Grampian in 2022/23?,"£1,546,903 (£000)",ok,True,"1,546,903","Cash Requirement 1,546,903 1,546,903 -",,True,correct,True,partial,True,strict_correct,True,True,3,4505,False
Grampian-2023-2024,Q_2024_DEL_01,LEX,text,When was the Delivery Plan 2023-2026 adopted by the NHS Grampian Board?,Adopted by the Board in August 2023,ok,True,August 2023,"In support of this, a Three Year delivery plan 2023-2026 was agreed by the Board in August 2023 as part of a single coherent plan including the Annual Delivery Plan and Medium Term Financial Plan for NHS Grampian.",,True,correct,True,partial,True,strict_correct,True,True,3,3545,False
Grampian-2023-2024,Q_2024_ESC_03,MOD,text,What risk-based approach did the Chief Executive Team implement to manage the financial challenge in 2023/24?,"A risk-based approach achieving balance between financial position, clinical governance, staff wellbeing, and prevention",ok,True,"a risk based approach to managing this challenge which involves achieving an appropriate balance between our financial position, clinical governance matters, staff wellbeing and prevention.","The Chief Executive Team of the Board have been working to implement a risk based approach to managing this challenge which involves achieving an appropriate balance between our financial position, clinical governance matters, staff wellbeing and prevention.",,True,partial,True,partial,True,strict_correct,True,True,3,3588,False
Grampian-2023-2024,Q_2024_FIN_12,MOD,number,What was the total income and expenditure for NHS Grampian Charity in 2023/24?,Total income: £3.905 million; total expenditure: £3.359 million,ok,True,£3.905 million,"Total income for the year was £3.905 million (2022/23 £4.112 million) and this is analysed between donations, legacies, and income from investments in the chart below:",,True,correct,True,partial,True,strict_correct,True,True,3,3904,False
Grampian-2023-2024,Q_2024_FIN_14,STR,number,What was the net expenditure figure in Note 2A Summary of Core Revenue Resource Outturn for 2023/24?,"£1,583,114 thousand",ok,True,"-24,703","Core Revenue Resource Variance Surplus in 2023/24 97 Financial flexibility: funding banked with/(provided by) -24,800 Scottish Government Underlying Deficit against Core Revenue Resource Limit",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,False,3,3727,False
Grampian-2023-2024,Q_2024_DEL_03,LEX,text,What are the three strategic objectives in NHS Grampian's Delivery Plan 2023-2026?,1. Strengthen colleague and citizen engagement to improve health (People); 2. Create the conditions for sustainable change (Places); 3. Improve preventative and timely access to care (Pathways),guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3545,False
Grampian-2023-2024,Q_2024_GOV_04,LEX,number,What was the average credit taken for invoice payment in 2023/24?,14 days (2022/23: 15 days),ok,True,14 days,"- In 2023/24, the average credit taken was 14 days (2022/23 15 days).",,True,correct,True,correct,True,strict_correct,True,True,3,3725,False
Grampian-2023-2024,Q_2024_FIN_06,STR,number,What share of the total revenue resource ceiling related to non-core technical accounting items in 2023/24?,"Limit: £1,489,048 thousand; Actual: £1,488,951 thousand",ok,True,97,Memorandum for In Year Out-turn £000 Core Revenue Resource Variance Surplus in 2023/24 97,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3727,False
Grampian-2023-2024,Q_2024_IJB_03,LEX,number,What deficit did Moray IJB report in 2023/24 and what were its retained reserves?,Deficit of £2.659 million; retained reserves £2.024 million,ok,True,£2.659 million,Moray IJB reported a deficit for the year of £2.659 million (2022/23 deficit £12.338 million) decreasing the retained reserves carried forward to £2.024 million (2022/23 £4.683 million).,,True,correct,True,partial,True,strict_correct,True,True,3,1166,False
Grampian-2023-2024,Q_2024_FIN_01,LEX,number,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand",ok,True,"48,416","Core Revenue Resource Limit 48,416 48,416 0",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3125,False
Grampian-2023-2024,Q_2024_FIN_02,STR,number,What gap existed between the resource ceiling and actual spend on core NHS Grampian services in 2023/24?,"£1,440,535 thousand",guard_violation,True,,,evidence_span_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3081,False
Grampian-2024-2025,Q_2025_FIN_02,MOD,number,How much did NHS Grampian actually spend against its core resource budget in 2024/25?,"£1,559,032 (£000)",ok,True,"-64,947","Underlying Deficit against Core Revenue Resource Limit -64,947",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3133,False
Grampian-2024-2025,Q_2025_FIN_P3,STR,text,"What additional cost pressures emerged in 2024/25 beyond the financial plan, and how did they affect the underlying deficit?","£22.8 million in cost pressures (£21.4 million from additional IJB contributions) increased the underlying deficit to £64.9 million, while Scottish Government confirmed additional funding of £17 million",guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3680,False
Grampian-2024-2025,Q_2025_FIN_06,STR,number,What fraction of the core resource allocation did NHS Grampian's structural financial shortfall represent in 2024/25?,4.17%,guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3133,False
Grampian-2024-2025,Q_2025_FIN_09,LEX,number,By how much did net expenditure increase compared to 2023/24?,"£116 million (from £1,565 million in 2023/24)",ok,True,£116 million,"Net expenditure for the year was £1,681 million (2023/24 £1,565 million), an increase of £116 million from the prior year.",,True,correct,True,partial,True,strict_correct,True,True,3,3586,False
Grampian-2024-2025,Q_2025_FIN_10,STR,number,What approved capital expenditure envelope was NHS Grampian operating within for infrastructure and equipment investment in 2024/25?,"£86,909 (£000)",guard_violation,True,,,evidence_span_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,3147,False
Grampian-2024-2025,Q_2025_AE_P1,MOD,text,How did A&E attendance volumes change in 2024/25 compared to 2023/24?,"Decreased by 1.8% (from approximately 124,572 in 2023/24 to 122,330 in 2024/25)",ok,True,a decrease of 1.8% compared to 2023/24.,"There were 122,330 A&E attendances in 2024/25, a decrease of 1.8% compared to 2023/24.",,False,incorrect,True,partial,False,saw_gold_in_quote_but_answer_incorrect,True,True,3,3057,False
Grampian-2024-2025,Q_2025_PLAN_01,STR,text,Did the 2025/26 financial plan present a break-even position?,"No; the plan does not present a break-even position, recognising the significant work to be undertaken to bring the Board back into sustainable financial balance",ok,True,"The plan does not present a break-even position, recognising the significant work to be undertaken to bring the Board back into sustainable financial balance.","The plan does not present a break-even position, recognising the significant work to be undertaken to bring the Board back into sustainable financial balance.",,True,partial,True,partial,True,strict_correct,True,True,3,4318,False
Grampian-2024-2025,Q_2025_STR_01,LEX,text,What is the period covered by the NHS Grampian Delivery Plan adopted in June 2024?,April 2024 to March 2027 (three years),ok,True,April 2024 – March 2027,NHS Grampian Delivery Plan April 2024 – March 2027.,,True,partial,True,partial,True,strict_correct,True,True,3,3937,False
Grampian-2024-2025,Q_2025_IJB_04,LEX,number,What deficit did Moray IJB report for 2024/25?,£4.143 million,ok,True,£4.143 million,Moray IJB reported a deficit for the year of £4.143 million (2023/24 deficit £2.659 million).,,True,correct,True,correct,True,strict_correct,True,True,3,2958,False
Grampian-2024-2025,Q_2025_DEL_03,LEX,number,What percentage of deliverables were subject to minor delay at the end of Q4 2024/25?,38%,ok,True,38%,"Of the 100 Deliverables reported in Q4 Milestones set out in the Delivery Plan, by the end of March 2025, 45% are complete at the end of Quarter 4, with 38% subject to minor delay, and 12% significant delays.",,True,correct,True,correct,True,strict_correct,True,True,3,3394,False
