arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations
baseline,Q_2023_FIN_02,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,291,879",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3705.94,1,0,
baseline,Q_2023_FIN_03,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,612,[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3539.187,1,0,
baseline,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 148]",1,1,1,strict_correct,"1,546,903",[23],"[""Cash Requirement 1,546,903 1,546,903 -""]",2868,3100.201,1,0,
baseline,Q_2023_FIN_05,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,338,691",[23],"[""Total Revenue Resource Limit 1,338,691 1,338,079 612""]",3632,3640.971,1,0,
baseline,Q_2023_FIN_06,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"104,268",[23],"[""Core Capital Resource Limit 104,268 104,268 -""]",3661,3400.17,1,0,
baseline,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,4875.569,1,0,
baseline,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2364.897,1,0,
baseline,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,2645.243,1,0,
baseline,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,3649.689,1,0,
baseline,Q_2023_FIN_11,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"46,200",[23],"[""Non-Core Revenue Resource Limit 46,200 46,200 -""]",3661,3337.043,1,0,
baseline,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3085.633,1,0,
baseline,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,0,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3001.127,1,1,
baseline,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],3082,4755.998,1,0,parse_or_generation_error
baseline,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3709,3621.71,1,0,
baseline,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,2903.906,1,1,
baseline,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 154]",1,0,0,did_not_identify_gold,,[],[],1281,1583.211,1,0,answer_not_in_context
baseline,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,2482.163,1,0,
baseline,Q_2025_FIN_02,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,559,032",[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3346.035,1,0,
baseline,Q_2025_FIN_03,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,253,[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3342.303,1,0,
baseline,Q_2025_FIN_04,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,706,002",[28],"[""Cash Requirement 1,706,002 1,706,002 -""]",3134,3297.117,1,0,
baseline,Q_2025_FIN_P2,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,599,504",[28],"[""Total Revenue Resource Limit 1,599,504 1,599,251 253""]",3134,3402.559,1,0,
baseline,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,1,1,strict_correct,"86,909",[28],"[""Core Capital Resource Limit 86,909 86,909 -""]",3148,3198.268,1,0,
