doc_id,year,section_title,total_pages_in_section,unknown_subsection_pages,unknown_subsection_rate
Grampian-2005-2006,2005-2006,CLINICAL ETHICS COMMITTEE,1,1,1.0
Grampian-2005-2006,2005-2006,CLINICAL GOVERNANCE COMMITTEE,1,1,1.0
Grampian-2005-2006,2005-2006,CLINICAL SERVICES COSTS,1,1,1.0
Grampian-2005-2006,2005-2006,COUNCILLOR GEORGE MCINTYRE,1,1,1.0
Grampian-2005-2006,2005-2006,DIRECTORS’ REPORT,2,2,1.0
Grampian-2005-2006,2005-2006,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2005-2006,2005-2006,GENERAL FUND AT 1 APRIL,2,1,0.5
Grampian-2005-2006,2005-2006,HCH INCOME,1,1,1.0
Grampian-2005-2006,2005-2006,HEALTH IMPROVEMENT,2,1,0.5
Grampian-2005-2006,2005-2006,HUMAN RESOURCES,1,1,1.0
Grampian-2005-2006,2005-2006,INDEPENDENT AUDITOR'S REPORT,2,0,0.0
Grampian-2005-2006,2005-2006,INFRASTRUCTURE AND EQUIPMENT,1,1,1.0
Grampian-2005-2006,2005-2006,INTANGIBLE ASSETS,1,1,1.0
Grampian-2005-2006,2005-2006,NET GAIN ON REVALUATION OF TANGIBLE FIXED ASSETS,1,1,1.0
Grampian-2005-2006,2005-2006,OPERATING AND FINANCIAL REVIEW,1,1,1.0
Grampian-2005-2006,2005-2006,OPERATING LEASES,2,1,0.5
Grampian-2005-2006,2005-2006,PATIENT EXEMPTION CHECKING,1,0,0.0
Grampian-2005-2006,2005-2006,RELATED PARTY TRANSACTIONS,3,1,0.3333333333333333
Grampian-2005-2006,2005-2006,REMUNERATION REPORT,1,1,1.0
Grampian-2005-2006,2005-2006,RISK AND CONTROL FRAMEWORK,1,1,1.0
Grampian-2005-2006,2005-2006,SALARIES & WAGES,1,1,1.0
Grampian-2005-2006,2005-2006,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,2,0,0.0
Grampian-2005-2006,2005-2006,STATEMENT ON INTERNAL CONTROL,1,1,1.0
Grampian-2005-2006,2005-2006,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,5,1,0.2
Grampian-2005-2006,2005-2006,TREATMENT COSTS BY PROVIDER,1,1,1.0
Grampian-2005-2006,2005-2006,UNIFIED BUDGET,1,1,1.0
Grampian-2005-2006,2005-2006,Unknown,1,0,0.0
Grampian-2010-2011,2010-2011,2 (B) HIGHER PAID EMPLOYEES REMUNERATION,1,1,1.0
Grampian-2010-2011,2010-2011,2011 2010,4,4,1.0
Grampian-2010-2011,2010-2011,25. RESTATED CASH FLOW STATEMENT,1,1,1.0
Grampian-2010-2011,2010-2011,2A STAFF NUMBERS AND COSTS CONT,1,1,1.0
Grampian-2010-2011,2010-2011,9. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2010-2011,2010-2011,A) FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2010-2011,2010-2011,ABERDEEN CITY ABDNSHIRE CHP MORAY CHP ACUTE SECTOR,2,2,1.0
Grampian-2010-2011,2010-2011,ACCESS TO SERVICES,1,1,1.0
Grampian-2010-2011,2010-2011,AS 1 APRIL 2009,1,1,1.0
Grampian-2010-2011,2010-2011,AT 1 APRIL 2009,1,1,1.0
Grampian-2010-2011,2010-2011,AT 1 APRIL 2010 320,3,3,1.0
Grampian-2010-2011,2010-2011,AT 7 APRIL 2010,1,1,1.0
Grampian-2010-2011,2010-2011,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2010-2011,2010-2011,BALANCE AT 31 MARCH 2009,4,4,1.0
Grampian-2010-2011,2010-2011,BALANCE AT 31 MARCH 2010,1,1,1.0
Grampian-2010-2011,2010-2011,BALANCE SHEET AS AT 31 MARCH 2011,1,1,1.0
Grampian-2010-2011,2010-2011,C) MARKET RISK,1,1,1.0
Grampian-2010-2011,2010-2011,CAPITAL COMMITMENTS 2017 2010,1,1,1.0
Grampian-2010-2011,2010-2011,CONTINGENT ASSETS 650 525,1,1,1.0
Grampian-2010-2011,2010-2011,CORPORATE GOVERNANCE,1,1,1.0
Grampian-2010-2011,2010-2011,COST OF CAPITAL,1,1,1.0
Grampian-2010-2011,2010-2011,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2010-2011,2010-2011,DIRECTORS’ REPORT,7,7,1.0
Grampian-2010-2011,2010-2011,EXECUTIVE MEMBERS,1,1,1.0
Grampian-2010-2011,2010-2011,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2010-2011,2010-2011,FINANCIAL PERFORMANCE AND POSITION,1,1,1.0
Grampian-2010-2011,2010-2011,GENERAL FUND PAYABLE,1,1,1.0
Grampian-2010-2011,2010-2011,HCH INCOME,1,1,1.0
Grampian-2010-2011,2010-2011,INDEPENDENT AUDITOR'S REPORT,2,2,1.0
Grampian-2010-2011,2010-2011,LAND (LAND BUILDINGS DWELLINGS TRANSPORT PLANT AND INFORMATION FURNITURE AND,1,1,1.0
Grampian-2010-2011,2010-2011,LAND BUILDINGS DWELLINGS TRANSPORT PLANT & INFORMATION FURNITURE ASSETS TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,LAND BUILDINGS DWELLINGS § TRANSPORT PLANTAND = INFERMATION FURNITURE ASSETS UNDER TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,LOSSES AND SPECIAL PAYMENTS,6,6,1.0
Grampian-2010-2011,2010-2011,NET OPERATING COST,1,1,1.0
Grampian-2010-2011,2010-2011,NOTE OPENING,1,1,1.0
Grampian-2010-2011,2010-2011,OPERATING LEASES,2,2,1.0
Grampian-2010-2011,2010-2011,PATIENT FOCUS AND PUBLIC INVOLVEMENT COMMITTEE,1,1,1.0
Grampian-2010-2011,2010-2011,PENSIONS AND CLINICAL & MEDICAL EC CARBON TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,PENSIONS AND SIMILAR CLINICAL &,1,1,1.0
Grampian-2010-2011,2010-2011,PERFORMANCE AGAINST KEY NON FINANCIAL TARGETS,1,1,1.0
Grampian-2010-2011,2010-2011,RISK AND CONTROL FRAMEWORK,2,2,1.0
Grampian-2010-2011,2010-2011,SERVICE STRATEGY AND REDESIGN COMMITTEE,1,1,1.0
Grampian-2010-2011,2010-2011,STAFF COSTS,1,1,1.0
Grampian-2010-2011,2010-2011,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,2,0,0.0
Grampian-2010-2011,2010-2011,STATEMENT ON INTERNAL CONTROL,1,1,1.0
Grampian-2010-2011,2010-2011,SUMMARY OF RESOURCE OUTTURN,1,1,1.0
Grampian-2010-2011,2010-2011,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,1,1,1.0
Grampian-2010-2011,2010-2011,UNIFIED BUDGET NON DISCRETIONARY,1,1,1.0
Grampian-2010-2011,2010-2011,USEFUL LIFE,4,4,1.0
Grampian-2010-2011,2010-2011,Unknown,1,1,1.0
Grampian-2014-2015,2014-2015,1 DIRECTORS’ REPORT,1,1,1.0
Grampian-2014-2015,2014-2015,DIRECTORS’ REPORT,5,5,1.0
Grampian-2014-2015,2014-2015,FINANCIAL INSTRUMENTS,1,1,1.0
Grampian-2014-2015,2014-2015,INDEPENDENT AUDITOR'S REPORT,61,1,0.01639344262295082
Grampian-2014-2015,2014-2015,REMUNERATION REPORT,2,2,1.0
Grampian-2014-2015,2014-2015,STRATEGIC REPORT,3,3,1.0
Grampian-2014-2015,2014-2015,SUB TOTAL,2,0,0.0
Grampian-2014-2015,2014-2015,Unknown,2,0,0.0
Grampian-2016-2017,2016-2017,17) EMPLOYEE BENEFITS,1,0,0.0
Grampian-2016-2017,2016-2017,20) VALUE ADDED TAX,4,0,0.0
Grampian-2016-2017,2016-2017,2016 GROSS GROSS 2017,1,1,1.0
Grampian-2016-2017,2016-2017,20167 2015/16,1,1,1.0
Grampian-2016-2017,2016-2017,2017 2016,3,3,1.0
Grampian-2016-2017,2016-2017,4) GOING CONCERN,3,0,0.0
Grampian-2016-2017,2016-2017,9. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2016-2017,2016-2017,ACCOUNTABILITY REPORT,20,19,0.95
Grampian-2016-2017,2016-2017,AS AT 1 APRIL 2015,2,2,1.0
Grampian-2016-2017,2016-2017,AS AT 1 APRIL 2016,2,2,1.0
Grampian-2016-2017,2016-2017,ATI APRIL 2016,2,2,1.0
Grampian-2016-2017,2016-2017,ATNOURDS PAYABLA LO GENERAL FUND,1,1,1.0
Grampian-2016-2017,2016-2017,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2016-2017,2016-2017,B) PERFORMANCE ANALYSIS,1,1,1.0
Grampian-2016-2017,2016-2017,BUILDINGS ASSETS,1,1,1.0
Grampian-2016-2017,2016-2017,B} FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2016-2017,2016-2017,B} REMUNERATION AND STAFF REPORT,2,2,1.0
Grampian-2016-2017,2016-2017,CHARITABLE CHARITABLE,2,2,1.0
Grampian-2016-2017,2016-2017,CLINICAL SERVICES COSTS,1,1,1.0
Grampian-2016-2017,2016-2017,CONSOLIDATED BALANCE SHEET AS AT 31 MARCH 2017,1,1,1.0
Grampian-2016-2017,2016-2017,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2016-2017,2016-2017,GAVERNMEN BANKING SENÉCS SCCOUNL BALANCE,1,1,1.0
Grampian-2016-2017,2016-2017,GRAWIPIAN AEALIA BUARKL,1,1,1.0
Grampian-2016-2017,2016-2017,GROSS MINIMUM LEASE PAYMENTS,1,1,1.0
Grampian-2016-2017,2016-2017,INVESTMENT INCOME,1,1,1.0
Grampian-2016-2017,2016-2017,NOTE FUND RESERVE RESERVES,3,1,0.3333333333333333
Grampian-2016-2017,2016-2017,OE BOL,1,1,1.0
Grampian-2016-2017,2016-2017,OPERATING LEASES,1,1,1.0
Grampian-2016-2017,2016-2017,PATENTS' TREVEL ATTENDING HOSPITALS 7130 146,1,1,1.0
Grampian-2016-2017,2016-2017,PERFORMANCE REPORT,16,15,0.9375
Grampian-2016-2017,2016-2017,SAG TE A AEN WERSE,1,1,1.0
Grampian-2016-2017,2016-2017,SUB TOTAL,1,1,1.0
Grampian-2016-2017,2016-2017,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,1,1.0
Grampian-2016-2017,2016-2017,UNDER (EXCLUDING TRANSPORT PLANT& INFORMATION FURNITURE & ASSETS UNDER,1,1,1.0
Grampian-2016-2017,2016-2017,USEFUL LIFE,4,0,0.0
Grampian-2016-2017,2016-2017,Unknown,1,1,1.0
Grampian-2017-2018,2017-2018,10) DONATED ASSETS,6,0,0.0
Grampian-2017-2018,2017-2018,2) BASIS OF CONSOLIDATION,1,0,0.0
Grampian-2017-2018,2017-2018,2. NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2017-2018,2017-2018,4) GOING CONCERN,3,0,0.0
Grampian-2017-2018,2017-2018,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2017-2018,2017-2018,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2017-2018,2017-2018,ACCOUNTABILITY REPORT,23,18,0.782608695652174
Grampian-2017-2018,2017-2018,ARI PHASE 2 - SECTION 5,1,1,1.0
Grampian-2017-2018,2017-2018,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2017-2018,2017-2018,ASSETS UNDER,2,2,1.0
Grampian-2017-2018,2017-2018,AT 1 APRIL,1,1,1.0
Grampian-2017-2018,2017-2018,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2017-2018,2017-2018,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2017-2018,2017-2018,B) REMUNERATION AND STAFF REPORT,1,1,1.0
Grampian-2017-2018,2017-2018,CHARITABLE ENDOWMENT FUNDS,6,5,0.8333333333333334
Grampian-2017-2018,2017-2018,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2017,1,1,1.0
Grampian-2017-2018,2017-2018,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2018,1,1,1.0
Grampian-2017-2018,2017-2018,CONTINGENT LIABILITIES*,1,1,1.0
Grampian-2017-2018,2017-2018,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2017-2018,2017-2018,ENDOWMENT FUNDS,1,1,1.0
Grampian-2017-2018,2017-2018,INTEGRATION JOINT BOARDS (IJB’S),1,1,1.0
Grampian-2017-2018,2017-2018,INTRA GROUP,5,5,1.0
Grampian-2017-2018,2017-2018,MEDICAL AND DENTAL,2,2,1.0
Grampian-2017-2018,2017-2018,MENTAL HEALTH &,2,2,1.0
Grampian-2017-2018,2017-2018,OPERATING LEASES,3,3,1.0
Grampian-2017-2018,2017-2018,PERFORMANCE REPORT,22,19,0.8636363636363636
Grampian-2017-2018,2017-2018,SUB TOTAL,2,2,1.0
Grampian-2017-2018,2017-2018,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,1,1.0
Grampian-2017-2018,2017-2018,THE 1995 SECTION,2,2,1.0
Grampian-2017-2018,2017-2018,USEFUL LIFE,2,0,0.0
Grampian-2017-2018,2017-2018,Unknown,1,1,1.0
Grampian-2018-2019,2018-2019,10) DONATED ASSETS,1,0,0.0
Grampian-2018-2019,2018-2019,12 TRADE AND OTHER PAYABLES,1,1,1.0
Grampian-2018-2019,2018-2019,12(D} HUB SCHEMES,1,0,0.0
Grampian-2018-2019,2018-2019,16) LOSSES AND SPECIAL PAYMENTS,1,0,0.0
Grampian-2018-2019,2018-2019,18) CLINICAL AND MEDICAL NEGLIGENCE COSTS,6,0,0.0
Grampian-2018-2019,2018-2019,2. NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2018-2019,2018-2019,3) RETROSPECTIVE RESTATEMENTS,4,0,0.0
Grampian-2018-2019,2018-2019,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2018-2019,2018-2019,8 (C) AMORTISATION,1,0,0.0
Grampian-2018-2019,2018-2019,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2018-2019,2018-2019,ACCOUNTABILITY REPORT,33,29,0.8787878787878788
Grampian-2018-2019,2018-2019,AS AT 1 APRIL 2018,1,1,1.0
Grampian-2018-2019,2018-2019,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2018-2019,2018-2019,AT 1 APRIL 2017,1,1,1.0
Grampian-2018-2019,2018-2019,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2018-2019,2018-2019,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2018-2019,2018-2019,CONSOLICATED STATEMENT OF FINANCIAL POSITION AS AT 314 MARCH 2019,1,1,1.0
Grampian-2018-2019,2018-2019,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2078,1,1,1.0
Grampian-2018-2019,2018-2019,CONTINGENT LIABILITIES* £000 £000,1,1,1.0
Grampian-2018-2019,2018-2019,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2018-2019,2018-2019,ENDOWMENT CHARITABLE,1,1,1.0
Grampian-2018-2019,2018-2019,EXECUTIVE MEMBERS,2,0,0.0
Grampian-2018-2019,2018-2019,GOVERNMENT BANKING SENDCE ACCOUNT BALANCE,1,1,1.0
Grampian-2018-2019,2018-2019,INCOME FROM SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2018-2019,2018-2019,INTEGRATION JOINT BOARDS (IJBS},1,1,1.0
Grampian-2018-2019,2018-2019,INVESTMENT INCOME,2,2,1.0
Grampian-2018-2019,2018-2019,LAND FLNCHEDING TRANSPORT INFORMATION FURNITURE & ASSATA UNDER,1,1,1.0
Grampian-2018-2019,2018-2019,MENTAL HEALTH &,1,1,1.0
Grampian-2018-2019,2018-2019,MY MALCOLM VWRIGHT,1,1,1.0
Grampian-2018-2019,2018-2019,NET MOVEMENT,2,2,1.0
Grampian-2018-2019,2018-2019,NOTE GENERAL FUND RESERVE RESERVES,3,1,0.3333333333333333
Grampian-2018-2019,2018-2019,OPERATING LEASES,3,3,1.0
Grampian-2018-2019,2018-2019,OTHER RECERVABLES,2,2,1.0
Grampian-2018-2019,2018-2019,PENSIONS AND CLINTCAL & PARTICIPATION,2,2,1.0
Grampian-2018-2019,2018-2019,PERFORMANCE REPORT,24,21,0.875
Grampian-2018-2019,2018-2019,RISK TITLE,1,1,1.0
Grampian-2018-2019,2018-2019,STAFF COSTS 3A,2,2,1.0
Grampian-2018-2019,2018-2019,STONEHAVEN RENAL DIALYSIS UNIT 0 134,1,1,1.0
Grampian-2018-2019,2018-2019,SUMMARY OF CORE REVENUE RESCURCE OUTTURN 2018/19 2018/19,1,1,1.0
Grampian-2018-2019,2018-2019,THE 1995 SECTION,1,1,1.0
Grampian-2018-2019,2018-2019,USEFUL LIFE,2,0,0.0
Grampian-2018-2019,2018-2019,Unknown,1,1,1.0
Grampian-2019-2020,2019-2020,ACCOUNTABILITY REPORT,79,4,0.05063291139240506
Grampian-2019-2020,2019-2020,PERFORMANCE REPORT,40,40,1.0
Grampian-2019-2020,2019-2020,RISK TITLE,1,1,1.0
Grampian-2019-2020,2019-2020,Unknown,1,1,1.0
Grampian-2020-2021,2020-2021,ACCOUNTABILITY REPORT,43,4,0.09302325581395349
Grampian-2020-2021,2020-2021,FINANCIAL STATEMENTS,55,2,0.03636363636363636
Grampian-2020-2021,2020-2021,PERFORMANCE REPORT,33,33,1.0
Grampian-2020-2021,2020-2021,Unknown,1,1,1.0
Grampian-2021-2022,2021-2022,10) DONATED ASSETS,1,0,0.0
Grampian-2021-2022,2021-2022,12(D) HUB SCHEMES,1,0,0.0
Grampian-2021-2022,2021-2022,16) LOSSES AND SPECIAL PAYMENTS,1,0,0.0
Grampian-2021-2022,2021-2022,18) CLINICAL AND MEDICAL NEGLIGENCE COSTS,6,0,0.0
Grampian-2021-2022,2021-2022,2021 - 2022,1,1,1.0
Grampian-2021-2022,2021-2022,2B NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2021-2022,2021-2022,3) RETROSPECTIVE RESTATEMENTS,4,0,0.0
Grampian-2021-2022,2021-2022,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2021-2022,2021-2022,8 (C) AMORTISATION,1,0,0.0
Grampian-2021-2022,2021-2022,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2021-2022,2021-2022,A) CORPORATE GOVERNANCE REPORT,1,1,1.0
Grampian-2021-2022,2021-2022,ACCOUNTABILITY REPORT,43,38,0.8837209302325582
Grampian-2021-2022,2021-2022,ACCOUNTING POLICIES & ESTIMATES,2,2,1.0
Grampian-2021-2022,2021-2022,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2021-2022,2021-2022,ASSETS UNDER,2,2,1.0
Grampian-2021-2022,2021-2022,AT 1 APRIL,1,1,1.0
Grampian-2021-2022,2021-2022,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2021-2022,2021-2022,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2021-2022,2021-2022,CHARITABLE ENDOWMENT FUNDS,6,5,0.8333333333333334
Grampian-2021-2022,2021-2022,CONSOLIDATED STATEMENT OF COMPREHENSIVE NET EXPENDITURE (SOCNE) FOR THE FINANCIAL,1,0,0.0
Grampian-2021-2022,2021-2022,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2021,1,1,1.0
Grampian-2021-2022,2021-2022,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2022,1,1,1.0
Grampian-2021-2022,2021-2022,CONTINGENT LIABILITIES*,1,1,1.0
Grampian-2021-2022,2021-2022,CORPORATE GOVERNANCE,1,1,1.0
Grampian-2021-2022,2021-2022,DIRECTIONS BY THE SCOTTISH MINISTERS,2,2,1.0
Grampian-2021-2022,2021-2022,DRAFT V4,1,0,0.0
Grampian-2021-2022,2021-2022,ENDOWMENT FUNDS GROUP,1,1,1.0
Grampian-2021-2022,2021-2022,INCOME FROM SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2021-2022,2021-2022,INTEGRATION JOINT BOARDS (IJBS),1,1,1.0
Grampian-2021-2022,2021-2022,INTRA GROUP,6,6,1.0
Grampian-2021-2022,2021-2022,MEDICAL AND DENTAL,1,1,1.0
Grampian-2021-2022,2021-2022,MENTAL HEALTH &,2,2,1.0
Grampian-2021-2022,2021-2022,OPERATING LEASES,3,3,1.0
Grampian-2021-2022,2021-2022,PERFORMANCE REPORT,37,37,1.0
Grampian-2021-2022,2021-2022,REPORT AND GOVERNANCE STATEMENT,1,1,1.0
Grampian-2021-2022,2021-2022,ROYAL CORNHILL HOSPITAL LIGATURE REDUCTION,1,1,1.0
Grampian-2021-2022,2021-2022,SUB TOTAL,2,0,0.0
Grampian-2021-2022,2021-2022,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,0,0.0
Grampian-2021-2022,2021-2022,SUMMERFIELD HOUSE,1,1,1.0
Grampian-2021-2022,2021-2022,THE 1995 SECTION,1,1,1.0
Grampian-2021-2022,2021-2022,USEFUL LIFE,2,0,0.0
Grampian-2022-2023,2022-2023,ACCOUNTABILITY REPORT,51,0,0.0
Grampian-2022-2023,2022-2023,DIRECTIONS BY THE SCOTTISH MINISTERS,2,2,1.0
Grampian-2022-2023,2022-2023,FINANCIAL STATEMENTS,67,52,0.7761194029850746
Grampian-2022-2023,2022-2023,PERFORMANCE REPORT,33,1,0.030303030303030304
Grampian-2022-2023,2022-2023,Unknown,1,1,1.0
Grampian-2023-2024,2023-2024,ACCOUNTABILITY REPORT,40,0,0.0
Grampian-2023-2024,2023-2024,DIRECTIONS BY THE SCOTTISH MINISTERS,2,2,1.0
Grampian-2023-2024,2023-2024,FINANCIAL STATEMENTS,66,42,0.6363636363636364
Grampian-2023-2024,2023-2024,HIGHER PAID EMPLOYEES REMUNERATION,4,4,1.0
Grampian-2023-2024,2023-2024,PERFORMANCE REPORT,37,1,0.02702702702702703
Grampian-2023-2024,2023-2024,SCOTTISH PARLIAMENT,5,5,1.0
Grampian-2023-2024,2023-2024,STAFF NUMBERS AND COSTS,1,1,1.0
Grampian-2023-2024,2023-2024,STAFF REPORT,4,4,1.0
Grampian-2023-2024,2023-2024,THE TRADE UNION (FACILITY TIME PUBLICATION REQUIREMENTS) REGULATIONS 2017 REQUIREMENT,1,1,1.0
Grampian-2023-2024,2023-2024,Unknown,1,1,1.0
Grampian-2024-2025,2024-2025,ACCOUNTABILITY REPORT,51,0,0.0
Grampian-2024-2025,2024-2025,DIRECTIONS BY THE SCOTTISH MINISTERS,2,2,1.0
Grampian-2024-2025,2024-2025,FINANCIAL STATEMENTS,68,42,0.6176470588235294
Grampian-2024-2025,2024-2025,PERFORMANCE REPORT,46,2,0.043478260869565216
Grampian-2024-2025,2024-2025,SCOTTISH PARLIAMENT,4,4,1.0
Grampian-2024-2025,2024-2025,Unknown,1,1,1.0
Shetland-2015-2016,2015-2016,(A) FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Shetland-2015-2016,2015-2016,11 (C) -ASSETS HELD FOR SALE,1,1,1.0
Shetland-2015-2016,2015-2016,2 (A) PAY COSTS,1,1,1.0
Shetland-2015-2016,2015-2016,2 (B) HIGHER PAID EMPLOYEES REMUNERATION,2,2,1.0
Shetland-2015-2016,2015-2016,2014 2014 2015 2015 2016 2016,3,0,0.0
Shetland-2015-2016,2015-2016,2014 £2014 2015 2015 2016 2016,2,2,1.0
Shetland-2015-2016,2015-2016,33 (A) CONSOLIDATED STATEMENT OF COMPREHENSIVE NET EXPENDITURE,1,0,0.0
Shetland-2015-2016,2015-2016,33 (B) CONSOLIDATED GROUP BALANCE SHEET,1,1,1.0
Shetland-2015-2016,2015-2016,33 (C) CONSOLIDATED STATEMENT OF CASHFLOWS:,2,2,1.0
Shetland-2015-2016,2015-2016,60 AS AT PENSION AT,1,1,1.0
Shetland-2015-2016,2015-2016,9. ANALYSIS OF CAPITAL EXPENDITURE,2,2,1.0
Shetland-2015-2016,2015-2016,ACCOUNTABILITY REPORT,3,2,0.6666666666666666
Shetland-2015-2016,2015-2016,ACCOUNTING CONVENTION,10,9,0.9
Shetland-2015-2016,2015-2016,AT 1 APRIL 2015,1,1,1.0
Shetland-2015-2016,2015-2016,AT I APRIL 2014,1,1,1.0
Shetland-2015-2016,2015-2016,AUDIT REPORT,2,0,0.0
Shetland-2015-2016,2015-2016,CAPITAL RESOURCE LIMIT _,1,1,1.0
Shetland-2015-2016,2015-2016,CONSOLIDATED BALANCE SHEET -,1,1,1.0
