doc_id,year,section_title,total_pages_in_section,unknown_subsection_pages,unknown_subsection_rate
Grampian-2005-2006,2005-2006,CLINICAL GOVERNANCE COMMITTEE,1,1,1.0
Grampian-2005-2006,2005-2006,CLINICAL SERVICES COSTS,1,1,1.0
Grampian-2005-2006,2005-2006,COUNCILLOR GEORGE MCINTYRE,1,1,1.0
Grampian-2005-2006,2005-2006,DIRECTORS’ REPORT,2,2,1.0
Grampian-2005-2006,2005-2006,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2005-2006,2005-2006,HCH INCOME,1,1,1.0
Grampian-2005-2006,2005-2006,HEALTH IMPROVEMENT,1,1,1.0
Grampian-2005-2006,2005-2006,HUMAN RESOURCES,1,1,1.0
Grampian-2005-2006,2005-2006,INFRASTRUCTURE AND EQUIPMENT,1,1,1.0
Grampian-2005-2006,2005-2006,INTANGIBLE ASSETS,1,1,1.0
Grampian-2005-2006,2005-2006,NET GAIN ON REVALUATION OF TANGIBLE FIXED ASSETS,1,1,1.0
Grampian-2005-2006,2005-2006,OPERATING AND FINANCIAL REVIEW,1,1,1.0
Grampian-2005-2006,2005-2006,OPERATING LEASES,1,1,1.0
Grampian-2005-2006,2005-2006,RELATED PARTY TRANSACTIONS,1,1,1.0
Grampian-2005-2006,2005-2006,REMUNERATION REPORT,1,1,1.0
Grampian-2005-2006,2005-2006,RISK AND CONTROL FRAMEWORK,1,1,1.0
Grampian-2005-2006,2005-2006,SALARIES & WAGES,1,1,1.0
Grampian-2005-2006,2005-2006,STATEMENT ON INTERNAL CONTROL,1,1,1.0
Grampian-2005-2006,2005-2006,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,1,1,1.0
Grampian-2005-2006,2005-2006,TREATMENT COSTS BY PROVIDER,1,1,1.0
Grampian-2005-2006,2005-2006,UNIFIED BUDGET,1,1,1.0
Grampian-2005-2006,2005-2006,GENERAL FUND AT 1 APRIL,2,1,0.5
Grampian-2005-2006,2005-2006,INDEPENDENT AUDITOR'S REPORT,2,0,0.0
Grampian-2005-2006,2005-2006,PATIENT EXEMPTION CHECKING,1,0,0.0
Grampian-2005-2006,2005-2006,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,1,0,0.0
Grampian-2010-2011,2010-2011,2 (B) HIGHER PAID EMPLOYEES REMUNERATION,1,1,1.0
Grampian-2010-2011,2010-2011,2011 2010,3,3,1.0
Grampian-2010-2011,2010-2011,25. RESTATED CASH FLOW STATEMENT,1,1,1.0
Grampian-2010-2011,2010-2011,2A STAFF NUMBERS AND COSTS CONT,1,1,1.0
Grampian-2010-2011,2010-2011,9. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2010-2011,2010-2011,A) FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2010-2011,2010-2011,ABERDEEN CITY ABDNSHIRE CHP MORAY CHP ACUTE SECTOR,1,1,1.0
Grampian-2010-2011,2010-2011,ACCESS TO SERVICES,1,1,1.0
Grampian-2010-2011,2010-2011,AS 1 APRIL 2009,1,1,1.0
Grampian-2010-2011,2010-2011,AT 1 APRIL 2009,1,1,1.0
Grampian-2010-2011,2010-2011,AT 1 APRIL 2010 320,1,1,1.0
Grampian-2010-2011,2010-2011,AT 7 APRIL 2010,1,1,1.0
Grampian-2010-2011,2010-2011,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2010-2011,2010-2011,BALANCE AT 31 MARCH 2009,1,1,1.0
Grampian-2010-2011,2010-2011,BALANCE AT 31 MARCH 2010,1,1,1.0
Grampian-2010-2011,2010-2011,BALANCE SHEET AS AT 31 MARCH 2011,1,1,1.0
Grampian-2010-2011,2010-2011,C) MARKET RISK,1,1,1.0
Grampian-2010-2011,2010-2011,CAPITAL COMMITMENTS 2017 2010,1,1,1.0
Grampian-2010-2011,2010-2011,CONTINGENT ASSETS 650 525,1,1,1.0
Grampian-2010-2011,2010-2011,CORPORATE GOVERNANCE,1,1,1.0
Grampian-2010-2011,2010-2011,COST OF CAPITAL,1,1,1.0
Grampian-2010-2011,2010-2011,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2010-2011,2010-2011,DIRECTORS’ REPORT,5,5,1.0
Grampian-2010-2011,2010-2011,EXECUTIVE MEMBERS,1,1,1.0
Grampian-2010-2011,2010-2011,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2010-2011,2010-2011,FINANCIAL PERFORMANCE AND POSITION,1,1,1.0
Grampian-2010-2011,2010-2011,GENERAL FUND PAYABLE,1,1,1.0
Grampian-2010-2011,2010-2011,HCH INCOME,1,1,1.0
Grampian-2010-2011,2010-2011,INDEPENDENT AUDITOR'S REPORT,1,1,1.0
Grampian-2010-2011,2010-2011,LAND (LAND BUILDINGS DWELLINGS TRANSPORT PLANT AND INFORMATION FURNITURE AND,1,1,1.0
Grampian-2010-2011,2010-2011,LAND BUILDINGS DWELLINGS TRANSPORT PLANT & INFORMATION FURNITURE ASSETS TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,LAND BUILDINGS DWELLINGS § TRANSPORT PLANTAND = INFERMATION FURNITURE ASSETS UNDER TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,LOSSES AND SPECIAL PAYMENTS,1,1,1.0
Grampian-2010-2011,2010-2011,NET OPERATING COST,1,1,1.0
Grampian-2010-2011,2010-2011,NOTE OPENING,1,1,1.0
Grampian-2010-2011,2010-2011,OPERATING LEASES,1,1,1.0
Grampian-2010-2011,2010-2011,PATIENT FOCUS AND PUBLIC INVOLVEMENT COMMITTEE,1,1,1.0
Grampian-2010-2011,2010-2011,PENSIONS AND CLINICAL & MEDICAL EC CARBON TOTAL,1,1,1.0
Grampian-2010-2011,2010-2011,PENSIONS AND SIMILAR CLINICAL &,1,1,1.0
Grampian-2010-2011,2010-2011,PERFORMANCE AGAINST KEY NON FINANCIAL TARGETS,1,1,1.0
Grampian-2010-2011,2010-2011,RISK AND CONTROL FRAMEWORK,1,1,1.0
Grampian-2010-2011,2010-2011,SERVICE STRATEGY AND REDESIGN COMMITTEE,1,1,1.0
Grampian-2010-2011,2010-2011,STAFF COSTS,1,1,1.0
Grampian-2010-2011,2010-2011,STATEMENT ON INTERNAL CONTROL,1,1,1.0
Grampian-2010-2011,2010-2011,SUMMARY OF RESOURCE OUTTURN,1,1,1.0
Grampian-2010-2011,2010-2011,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,1,1,1.0
Grampian-2010-2011,2010-2011,UNIFIED BUDGET NON DISCRETIONARY,1,1,1.0
Grampian-2010-2011,2010-2011,USEFUL LIFE,2,2,1.0
Grampian-2010-2011,2010-2011,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,1,0,0.0
Grampian-2014-2015,2014-2015,1 DIRECTORS’ REPORT,1,1,1.0
Grampian-2014-2015,2014-2015,2015 2014,3,3,1.0
Grampian-2014-2015,2014-2015,"9, ANALYSIS OF CAPITAL EXPENDITURE",1,1,1.0
Grampian-2014-2015,2014-2015,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2014-2015,2014-2015,AMOUNTS PAYABLE TO GENERAL FUND,1,1,1.0
Grampian-2014-2015,2014-2015,AS AT 1ST APRI! 2013,1,1,1.0
Grampian-2014-2015,2014-2015,AS AT 1ST APRIL 2013,1,1,1.0
Grampian-2014-2015,2014-2015,AS AT 1ST APRIL 2014,2,2,1.0
Grampian-2014-2015,2014-2015,AS AT IST APRIL 2014,1,1,1.0
Grampian-2014-2015,2014-2015,AS AT TST APRIL 2014,1,1,1.0
Grampian-2014-2015,2014-2015,AT 1 APRIL 2014,1,1,1.0
Grampian-2014-2015,2014-2015,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2014-2015,2014-2015,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2014-2015,2014-2015,BALANCE SHEET,1,1,1.0
Grampian-2014-2015,2014-2015,CHARITABLE CHARITABLE,1,1,1.0
Grampian-2014-2015,2014-2015,CLINICAL AND MEDICAL NEGLIGENCE COSTS,1,1,1.0
Grampian-2014-2015,2014-2015,CONSOLIDATED BALANCE SHEET AS AT 31 MARCH 2015,1,1,1.0
Grampian-2014-2015,2014-2015,CONTINGENT LIABILITIES £000 £000,1,1,1.0
Grampian-2014-2015,2014-2015,CORPORATE GOVERNANCE AND STATUTORY REPORTING 628,1,1,1.0
Grampian-2014-2015,2014-2015,DIRECTORS’ REPORT,5,5,1.0
Grampian-2014-2015,2014-2015,DONATED ASSETS,1,1,1.0
Grampian-2014-2015,2014-2015,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2014-2015,2014-2015,FINANCIAL INSTRUMENTS,2,2,1.0
Grampian-2014-2015,2014-2015,GOVERMENT BANKING SERVICE ACCOUNT BALANCE,1,1,1.0
Grampian-2014-2015,2014-2015,GOVERNANCE STATEMENT,4,4,1.0
Grampian-2014-2015,2014-2015,GROSS MINIMUM LEASE PAYMENTS,1,1,1.0
Grampian-2014-2015,2014-2015,HOSPITAL AND COMMUNITY HEALTH SERVICES INCOME,1,1,1.0
Grampian-2014-2015,2014-2015,INVESTMENT INCOME,1,1,1.0
Grampian-2014-2015,2014-2015,OPERATING LEASES,1,1,1.0
Grampian-2014-2015,2014-2015,OTHER RECEIVABLES,1,1,1.0
Grampian-2014-2015,2014-2015,PREVIOUS ADJUSTMENT ADJUSTMENT THESE,1,1,1.0
Grampian-2014-2015,2014-2015,REMUNERATION REPORT,2,2,1.0
Grampian-2014-2015,2014-2015,STAFF COSTS,1,1,1.0
Grampian-2014-2015,2014-2015,STOCKS AND BONDS *,1,1,1.0
Grampian-2014-2015,2014-2015,STRATEGIC REPORT,9,9,1.0
Grampian-2014-2015,2014-2015,USEFUL LIFE,1,1,1.0
Grampian-2014-2015,2014-2015,INDIVIDUAL! CONSOLIDATED,2,1,0.5
Grampian-2014-2015,2014-2015,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE OFFICER OF,1,0,0.0
Grampian-2014-2015,2014-2015,SUB TOTAL,1,0,0.0
Grampian-2016-2017,2016-2017,17) EMPLOYEE BENEFITS,1,1,1.0
Grampian-2016-2017,2016-2017,20) VALUE ADDED TAX,1,1,1.0
Grampian-2016-2017,2016-2017,2016 GROSS GROSS 2017,1,1,1.0
Grampian-2016-2017,2016-2017,20167 2015/16,1,1,1.0
Grampian-2016-2017,2016-2017,2017 2016,3,3,1.0
Grampian-2016-2017,2016-2017,4) GOING CONCERN,1,1,1.0
Grampian-2016-2017,2016-2017,9. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2016-2017,2016-2017,AS AT 1 APRIL 2015,1,1,1.0
Grampian-2016-2017,2016-2017,AS AT 1 APRIL 2016,2,2,1.0
Grampian-2016-2017,2016-2017,ATI APRIL 2016,1,1,1.0
Grampian-2016-2017,2016-2017,ATNOURDS PAYABLA LO GENERAL FUND,1,1,1.0
Grampian-2016-2017,2016-2017,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2016-2017,2016-2017,B) PERFORMANCE ANALYSIS,1,1,1.0
Grampian-2016-2017,2016-2017,BUILDINGS ASSETS,1,1,1.0
Grampian-2016-2017,2016-2017,B} FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2016-2017,2016-2017,B} REMUNERATION AND STAFF REPORT,1,1,1.0
Grampian-2016-2017,2016-2017,CHARITABLE CHARITABLE,2,2,1.0
Grampian-2016-2017,2016-2017,CLINICAL SERVICES COSTS,1,1,1.0
Grampian-2016-2017,2016-2017,CONSOLIDATED BALANCE SHEET AS AT 31 MARCH 2017,1,1,1.0
Grampian-2016-2017,2016-2017,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2016-2017,2016-2017,GAVERNMEN BANKING SENÉCS SCCOUNL BALANCE,1,1,1.0
Grampian-2016-2017,2016-2017,GRAWIPIAN AEALIA BUARKL,1,1,1.0
Grampian-2016-2017,2016-2017,GROSS MINIMUM LEASE PAYMENTS,1,1,1.0
Grampian-2016-2017,2016-2017,INVESTMENT INCOME,1,1,1.0
Grampian-2016-2017,2016-2017,NOTE FUND RESERVE RESERVES,1,1,1.0
Grampian-2016-2017,2016-2017,OE BOL,1,1,1.0
Grampian-2016-2017,2016-2017,OPERATING LEASES,1,1,1.0
Grampian-2016-2017,2016-2017,PATENTS' TREVEL ATTENDING HOSPITALS 7130 146,1,1,1.0
Grampian-2016-2017,2016-2017,SAG TE A AEN WERSE,1,1,1.0
Grampian-2016-2017,2016-2017,SUB TOTAL,1,1,1.0
Grampian-2016-2017,2016-2017,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,1,1.0
Grampian-2016-2017,2016-2017,UNDER (EXCLUDING TRANSPORT PLANT& INFORMATION FURNITURE & ASSETS UNDER,1,1,1.0
Grampian-2016-2017,2016-2017,USEFUL LIFE,1,1,1.0
Grampian-2016-2017,2016-2017,ACCOUNTABILITY REPORT,17,16,0.9411764705882352
Grampian-2016-2017,2016-2017,PERFORMANCE REPORT,16,15,0.9375
Grampian-2017-2018,2017-2018,10) DONATED ASSETS,1,1,1.0
Grampian-2017-2018,2017-2018,2) BASIS OF CONSOLIDATION,1,1,1.0
Grampian-2017-2018,2017-2018,2. NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2017-2018,2017-2018,4) GOING CONCERN,1,1,1.0
Grampian-2017-2018,2017-2018,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2017-2018,2017-2018,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2017-2018,2017-2018,ARI PHASE 2 - SECTION 5,1,1,1.0
Grampian-2017-2018,2017-2018,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2017-2018,2017-2018,ASSETS UNDER,2,2,1.0
Grampian-2017-2018,2017-2018,AT 1 APRIL,1,1,1.0
Grampian-2017-2018,2017-2018,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2017-2018,2017-2018,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2017-2018,2017-2018,B) REMUNERATION AND STAFF REPORT,1,1,1.0
Grampian-2017-2018,2017-2018,CHARITABLE ENDOWMENT FUNDS,4,4,1.0
Grampian-2017-2018,2017-2018,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2017,1,1,1.0
Grampian-2017-2018,2017-2018,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2018,1,1,1.0
Grampian-2017-2018,2017-2018,CONTINGENT LIABILITIES*,1,1,1.0
Grampian-2017-2018,2017-2018,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2017-2018,2017-2018,ENDOWMENT FUNDS,1,1,1.0
Grampian-2017-2018,2017-2018,INTEGRATION JOINT BOARDS (IJB’S),1,1,1.0
Grampian-2017-2018,2017-2018,INTRA GROUP,5,5,1.0
Grampian-2017-2018,2017-2018,MEDICAL AND DENTAL,1,1,1.0
Grampian-2017-2018,2017-2018,MENTAL HEALTH &,1,1,1.0
Grampian-2017-2018,2017-2018,OPERATING LEASES,1,1,1.0
Grampian-2017-2018,2017-2018,SUB TOTAL,2,2,1.0
Grampian-2017-2018,2017-2018,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,1,1.0
Grampian-2017-2018,2017-2018,THE 1995 SECTION,1,1,1.0
Grampian-2017-2018,2017-2018,USEFUL LIFE,1,1,1.0
Grampian-2017-2018,2017-2018,PERFORMANCE REPORT,22,19,0.8636363636363636
Grampian-2017-2018,2017-2018,ACCOUNTABILITY REPORT,22,18,0.8181818181818182
Grampian-2018-2019,2018-2019,10) DONATED ASSETS,1,1,1.0
Grampian-2018-2019,2018-2019,12 TRADE AND OTHER PAYABLES,1,1,1.0
Grampian-2018-2019,2018-2019,12(D} HUB SCHEMES,1,1,1.0
Grampian-2018-2019,2018-2019,16) LOSSES AND SPECIAL PAYMENTS,1,1,1.0
Grampian-2018-2019,2018-2019,2. NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2018-2019,2018-2019,3) RETROSPECTIVE RESTATEMENTS,1,1,1.0
Grampian-2018-2019,2018-2019,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2018-2019,2018-2019,8 (C) AMORTISATION,1,1,1.0
Grampian-2018-2019,2018-2019,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2018-2019,2018-2019,AS AT 1 APRIL 2018,1,1,1.0
Grampian-2018-2019,2018-2019,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2018-2019,2018-2019,AT 1 APRIL 2017,1,1,1.0
Grampian-2018-2019,2018-2019,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2018-2019,2018-2019,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2018-2019,2018-2019,CONSOLICATED STATEMENT OF FINANCIAL POSITION AS AT 314 MARCH 2019,1,1,1.0
Grampian-2018-2019,2018-2019,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2078,1,1,1.0
Grampian-2018-2019,2018-2019,CONTINGENT LIABILITIES* £000 £000,1,1,1.0
Grampian-2018-2019,2018-2019,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2018-2019,2018-2019,ENDOWMENT CHARITABLE,1,1,1.0
Grampian-2018-2019,2018-2019,GOVERNMENT BANKING SENDCE ACCOUNT BALANCE,1,1,1.0
Grampian-2018-2019,2018-2019,INCOME FROM SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2018-2019,2018-2019,INTEGRATION JOINT BOARDS (IJBS},1,1,1.0
Grampian-2018-2019,2018-2019,INVESTMENT INCOME,2,2,1.0
Grampian-2018-2019,2018-2019,LAND FLNCHEDING TRANSPORT INFORMATION FURNITURE & ASSATA UNDER,1,1,1.0
Grampian-2018-2019,2018-2019,MENTAL HEALTH &,1,1,1.0
Grampian-2018-2019,2018-2019,MY MALCOLM VWRIGHT,1,1,1.0
Grampian-2018-2019,2018-2019,NET MOVEMENT,1,1,1.0
Grampian-2018-2019,2018-2019,NOTE GENERAL FUND RESERVE RESERVES,1,1,1.0
Grampian-2018-2019,2018-2019,OPERATING LEASES,1,1,1.0
Grampian-2018-2019,2018-2019,OTHER RECERVABLES,1,1,1.0
Grampian-2018-2019,2018-2019,PENSIONS AND CLINTCAL & PARTICIPATION,1,1,1.0
Grampian-2018-2019,2018-2019,RISK TITLE,1,1,1.0
Grampian-2018-2019,2018-2019,STAFF COSTS 3A,2,2,1.0
Grampian-2018-2019,2018-2019,STONEHAVEN RENAL DIALYSIS UNIT 0 134,1,1,1.0
Grampian-2018-2019,2018-2019,SUMMARY OF CORE REVENUE RESCURCE OUTTURN 2018/19 2018/19,1,1,1.0
Grampian-2018-2019,2018-2019,THE 1995 SECTION,1,1,1.0
Grampian-2018-2019,2018-2019,USEFUL LIFE,1,1,1.0
Grampian-2018-2019,2018-2019,ACCOUNTABILITY REPORT,30,27,0.9
Grampian-2018-2019,2018-2019,PERFORMANCE REPORT,24,21,0.875
Grampian-2018-2019,2018-2019,18) CLINICAL AND MEDICAL NEGLIGENCE COSTS,2,1,0.5
Grampian-2018-2019,2018-2019,EXECUTIVE MEMBERS,2,0,0.0
Grampian-2019-2020,2019-2020,10) DONATED ASSETS,1,1,1.0
Grampian-2019-2020,2019-2020,14) GENERAL FUND RECEIVABLES AND PAYABLES,1,1,1.0
Grampian-2019-2020,2019-2020,2B NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2019-2020,2019-2020,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2019-2020,2019-2020,8 (C) AMORTISATION,1,1,1.0
Grampian-2019-2020,2019-2020,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2019-2020,2019-2020,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2019-2020,2019-2020,ASSETS UNDER,2,2,1.0
Grampian-2019-2020,2019-2020,AT 1 APRIL,1,1,1.0
Grampian-2019-2020,2019-2020,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2019-2020,2019-2020,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2019-2020,2019-2020,CHARITABLE ENDOWMENT FUNDS,4,4,1.0
Grampian-2019-2020,2019-2020,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2019,1,1,1.0
Grampian-2019-2020,2019-2020,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2020,1,1,1.0
Grampian-2019-2020,2019-2020,CONTINGENT LIABILITIES*,1,1,1.0
Grampian-2019-2020,2019-2020,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2019-2020,2019-2020,ENDOWMENT FUNDS GROUP,1,1,1.0
Grampian-2019-2020,2019-2020,INCOME FROM SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2019-2020,2019-2020,INTEGRATION JOINT BOARDS,1,1,1.0
Grampian-2019-2020,2019-2020,INTEGRATION JOINT BOARDS (IJBS),1,1,1.0
Grampian-2019-2020,2019-2020,INTRA GROUP,6,6,1.0
Grampian-2019-2020,2019-2020,MEDICAL AND DENTAL,1,1,1.0
Grampian-2019-2020,2019-2020,MENTAL HEALTH &,1,1,1.0
Grampian-2019-2020,2019-2020,OPERATING LEASES,1,1,1.0
Grampian-2019-2020,2019-2020,PERFORMANCE REPORT,20,20,1.0
Grampian-2019-2020,2019-2020,RISK TITLE,1,1,1.0
Grampian-2019-2020,2019-2020,ROYAL CORNHILL HOSPITAL LIGATURE REDUCTION,1,1,1.0
Grampian-2019-2020,2019-2020,SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2019-2020,2019-2020,SUMMARY OF CORE REVENUE RESOURCE OUTTURN,1,1,1.0
Grampian-2019-2020,2019-2020,THE 1995 SECTION,1,1,1.0
Grampian-2019-2020,2019-2020,USEFUL LIFE,1,1,1.0
Grampian-2019-2020,2019-2020,ACCOUNTABILITY REPORT,38,33,0.868421052631579
Grampian-2019-2020,2019-2020,20) VALUE ADDED TAX,2,1,0.5
Grampian-2019-2020,2019-2020,SUB TOTAL,2,1,0.5
Grampian-2020-2021,2020-2021,10) DONATED ASSETS,1,1,1.0
Grampian-2020-2021,2020-2021,12(D) HUB SCHEMES,1,1,1.0
Grampian-2020-2021,2020-2021,16) LOSSES AND SPECIAL PAYMENTS,1,1,1.0
Grampian-2020-2021,2020-2021,2B NOTES TO THE CASH FLOW STATEMENT,1,1,1.0
Grampian-2020-2021,2020-2021,3) RETROSPECTIVE RESTATEMENTS,1,1,1.0
Grampian-2020-2021,2020-2021,7D. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2020-2021,2020-2021,8 (C) AMORTISATION,1,1,1.0
Grampian-2020-2021,2020-2021,A FINANCIAL INSTRUMENTS BY CATEGORY,1,1,1.0
Grampian-2020-2021,2020-2021,AND GOVERNANCE STATEMENT,1,1,1.0
Grampian-2020-2021,2020-2021,ASSETS HELD FOR SALE - CONSOLIDATED,1,1,1.0
Grampian-2020-2021,2020-2021,ASSETS UNDER,2,2,1.0
Grampian-2020-2021,2020-2021,AT 1 APRIL,1,1,1.0
Grampian-2020-2021,2020-2021,B) FINANCIAL RISK FACTORS,1,1,1.0
Grampian-2020-2021,2020-2021,B) FINANCIAL RISK FACTORS -,1,1,1.0
Grampian-2020-2021,2020-2021,CHARITABLE ENDOWMENT FUNDS,4,4,1.0
Grampian-2020-2021,2020-2021,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2020,1,1,1.0
Grampian-2020-2021,2020-2021,CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2021,1,1,1.0
Grampian-2020-2021,2020-2021,CONTINGENT LIABILITIES*,1,1,1.0
Grampian-2020-2021,2020-2021,DIRECTION BY THE SCOTTISH MINISTERS,1,1,1.0
Grampian-2020-2021,2020-2021,INCOME FROM SCOTTISH GOVERNMENT,1,1,1.0
Grampian-2020-2021,2020-2021,INTEGRATION JOINT BOARDS (IJBS),1,1,1.0
Grampian-2020-2021,2020-2021,INTRA GROUP,6,6,1.0
Grampian-2020-2021,2020-2021,KEY RISK/HAZZARD ACTIONS TO MITIGATE/MANAGE,1,1,1.0
Grampian-2020-2021,2020-2021,MEDICAL AND DENTAL,1,1,1.0
Grampian-2020-2021,2020-2021,MENTAL HEALTH &,1,1,1.0
Grampian-2020-2021,2020-2021,OPERATING LEASES,1,1,1.0
Grampian-2020-2021,2020-2021,ROYAL CORNHILL HOSPITAL LIGATURE REDUCTION,1,1,1.0
