query_id,question,expected_pages,expected_answer,rank,chunk_id,pages,is_table,section_title,subsection_title,snippet
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,4,p0158_002,[158],False,FINANCIAL STATEMENTS,Unknown,"employer contribution rate for the period from 1 April 2024 is 22.5% of pensionable pay. The employee rate applied is variable and is anticipated to provide a yield of 9.8% of pensionable pay. While a valuation was carried out as at 31 March 2016, work on the "
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,5,table_p0012,[12],True,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,Financial table on page 12 (Unknown) Contains 9 line items across 5 columns. Column headers: QuarterlyMilestonesProgress: | June2024Q1 | September2024Q2 | December2023Q3* | March2025Q4. Row labels: Complete; OnTrack; MinorDelay; SignificantDelay; Postponed. Ke
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,6,p0158_003,[158],False,FINANCIAL STATEMENTS,Unknown,". The 2020 actuarial valuations will take the report’s findings into account. The interim report is complete (restricted) and is currently being finalised with a consultation. Alongside these announcements, the UK Government confirmed that current employer con"
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,7,p0016_001,[16],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,2024/25.  The proportion of patients waiting over 12 weeks for in-patient/daycase treatment was 73.1% at the end of 2024/25 (77.1% at the end of 2023/24)  58.1% of patients on the new outpatient list were waiting over 12 weeks at the end of 2024/25 (54.1% at
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,8,p0046_000,[46],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS 8 Events after the end of the reporting period No events occurred after the end of the financial year and before the date of publication that will have a material impact on the content of these accounts as presented. .
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,9,p0020_000,[20],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Psychological Therapies: treatment within 18 weeks of referral (90%) Performance  Psychological Therapies performance has not met the 90% target during 2024/25, however this is our most consistent period of compliance"
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,10,p0126_001,[126],False,FINANCIAL STATEMENTS,Unknown,"panel and if successful, the pay award is backdated to when their duties changed or 1 April 2023 at the earliest. There is a degree of uncertainty around the level of claims made and those which will be successful. To account for this relevant costs have been "
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,1,p0011_001,[11],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,of enquiry and learning rather than to be punitive or seek to assign blame for under-performance. - Dual purpose of performance reporting within NHS Grampian; it is not only to provide assurance to the Board and Chief Executive Team whether targets are being m
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,2,p0062_000,[62],False,ACCOUNTABILITY REPORT,A CORPORATE GOVERNANCE REPORT,"A CORPORATE GOVERNANCE REPORT In support of this, a Three Year delivery plan 2024-2027 was agreed by the Board as part of a single coherent plan including the Annual Delivery Plan and Medium Term Financial Plan for NHS Grampian. This Delivery plan sets out how"
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,3,p0007_000,[7],False,PERFORMANCE REPORT,A OVERVIEW,PERFORMANCE REPORT A OVERVIEW NHS Grampian’s Delivery Plan which was adopted by the Board in June 2024. NHS Grampian Delivery Plan April 2024 – March 2027. The Delivery Plan covering the period April 2024 to March 2027 has been developed jointly with our three
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,4,p0043_000,[43],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS Sustainability and the Environment (Cont’d) Performance – Metrics and Targets This Annual Report reflects on our activities and progress during 2023/24. It highlights the successes and challenges towards our Annual Del
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,5,p0027_000,[27],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS There were no reserves carried forward from 2023/24 to be used within 2024/25 in order to offset expenditure. A copy of the 2024/25
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,6,table_p0012,[12],True,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,Financial table on page 12 (Unknown) Contains 9 line items across 5 columns. Column headers: QuarterlyMilestonesProgress: | June2024Q1 | September2024Q2 | December2023Q3* | March2025Q4. Row labels: Complete; OnTrack; MinorDelay; SignificantDelay; Postponed. Ke
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,7,p0046_000,[46],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS 8 Events after the end of the reporting period No events occurred after the end of the financial year and before the date of publication that will have a material impact on the content of these accounts as presented. .
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,8,p0097_000,[97],False,ACCOUNTABILITY REPORT,C PARLIAMENTARY ACCOUNTABILITY REPORT,C PARLIAMENTARY ACCOUNTABILITY REPORT 3. Contingent Liabilities Contingent liabilities are disclosed in note 14 and contractual obligations are disclosed in note 15. ............................................................. Interim Chief Executive Grampian
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,9,p0057_001,[57],False,ACCOUNTABILITY REPORT,A CORPORATE GOVERNANCE REPORT,"internal control systems are maintained and corporate governance matters are observed. Membership: Mr Roderick Murray (Chair), Cllr Tracy Colyer (to 14 June 2024), Mrs Colette Backwell (from 14 June 2024 – to 6 January 2025), Mr Albert Donald, Mr Ritchie Johns"
Q_EFF_2024_03,How many milestones were on track in Q1 (June 2024)?,"[11, 12]",67,10,p0025_002,[25],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,Grampian IJB’s are key partners and enablers to the whole system co- ordination and collaboration in delivering our vital services to the people of the North East of Scotland. With the whole Grampian Health system continuing to operate under significant operat
