k,doc_id,query_id,difficulty,generation_status,answer_correct,answer_status,latency_ms,context_chunks_used,context_chars_used,context_truncated
1,Grampian-2023-2024,Q_2024_FIN_12,MOD,ok,True,correct,2885.158,1,1449,False
1,Grampian-2023-2024,Q_2024_FIN_14,STR,insufficient_evidence,False,incorrect,1313.565,1,1490,False
1,Grampian-2023-2024,Q_2024_DEL_03,LEX,insufficient_evidence,False,incorrect,994.545,1,823,False
1,Grampian-2023-2024,Q_2024_GOV_04,LEX,ok,False,partial,2340.529,1,1387,False
1,Grampian-2023-2024,Q_2024_FIN_06,STR,insufficient_evidence,False,incorrect,1147.229,1,769,False
1,Grampian-2023-2024,Q_2024_IJB_03,LEX,ok,True,correct,2027.671,1,427,False
1,Grampian-2023-2024,Q_2024_FIN_01,LEX,ok,False,incorrect,2368.58,1,769,False
1,Grampian-2023-2024,Q_2024_FIN_02,STR,insufficient_evidence,False,incorrect,1159.158,1,769,False
1,Grampian-2024-2025,Q_2025_FIN_02,MOD,insufficient_evidence,False,incorrect,1068.132,1,910,False
1,Grampian-2024-2025,Q_2025_FIN_P3,STR,insufficient_evidence,False,incorrect,1139.9,1,1442,False
1,Grampian-2024-2025,Q_2025_FIN_06,STR,insufficient_evidence,False,incorrect,1062.224,1,910,False
1,Grampian-2024-2025,Q_2025_FIN_09,LEX,insufficient_evidence,False,incorrect,1294.845,1,1457,False
1,Grampian-2024-2025,Q_2025_FIN_10,STR,insufficient_evidence,False,incorrect,1058.391,1,924,False
1,Grampian-2024-2025,Q_2025_AE_P1,MOD,ok,False,partial,2414.438,1,937,False
1,Grampian-2024-2025,Q_2025_PLAN_01,STR,insufficient_evidence,False,incorrect,1244.955,1,1415,False
1,Grampian-2024-2025,Q_2025_STR_01,LEX,ok,False,partial,2562.051,1,1376,False
1,Grampian-2024-2025,Q_2025_IJB_04,LEX,insufficient_evidence,False,incorrect,906.348,1,603,False
1,Grampian-2024-2025,Q_2025_DEL_03,LEX,insufficient_evidence,False,incorrect,1150.208,1,1219,False
3,Grampian-2020-2021,Q_2021_GOV_03,LEX,ok,False,partial,5710.529,3,5150,False
3,Grampian-2020-2021,Q_2021_CAP_02,LEX,insufficient_evidence,False,incorrect,3004.65,3,3809,False
3,Grampian-2020-2021,Q_2021_IJB_07,LEX,insufficient_evidence,False,incorrect,2062.159,3,2887,False
3,Grampian-2020-2021,Q_2021_IJB_03,LEX,ok,True,correct,6735.63,3,4428,False
3,Grampian-2020-2021,Q_2021_IJB_01,MOD,insufficient_evidence,False,incorrect,6513.174,3,5049,False
3,Grampian-2020-2021,Q_2021_SAV_P2,MOD,ok,False,partial,4557.148,3,4109,False
3,Grampian-2020-2021,Q_2021_GOV_01,STR,ok,False,partial,5672.797,3,4314,False
3,Grampian-2020-2021,Q_2021_IJB_06,LEX,insufficient_evidence,False,incorrect,2192.805,3,2160,False
3,Grampian-2020-2021,Q_2021_IJB_P1,STR,insufficient_evidence,False,incorrect,2698.31,3,3117,False
3,Grampian-2020-2021,Q_2021_COV_03,LEX,ok,True,correct,4453.748,3,4253,False
3,Grampian-2021-2022,Q_2022_GOV_P1,STR,ok,False,partial,4421.006,3,4023,False
3,Grampian-2021-2022,Q_2022_SAV_P2,MOD,ok,False,partial,5591.338,3,4240,False
3,Grampian-2021-2022,Q_2022_IJB_05,LEX,insufficient_evidence,False,incorrect,3122.992,3,2937,False
3,Grampian-2021-2022,Q_2022_FIN_01,STR,insufficient_evidence,False,incorrect,3322.025,3,4250,False
3,Grampian-2021-2022,Q_2022_STR_04,STR,insufficient_evidence,False,incorrect,2836.493,3,4034,False
3,Grampian-2021-2022,Q_2022_AE_P1,MOD,ok,False,partial,3572.808,3,3625,False
3,Grampian-2021-2022,Q_2022_IJB_02,LEX,insufficient_evidence,False,incorrect,4236.391,3,3338,False
3,Grampian-2021-2022,Q_2022_GOPES_01,STR,ok,False,partial,5213.603,3,4047,False
3,Grampian-2021-2022,Q_2022_FIN_08,LEX,insufficient_evidence,False,incorrect,3554.393,3,4291,False
3,Grampian-2021-2022,Q_2022_FIN_P2,MOD,ok,False,partial,4861.894,3,4303,False
3,Grampian-2022-2023,Q_2023_FIN_15,LEX,insufficient_evidence,False,incorrect,3329.188,3,3535,False
3,Grampian-2022-2023,Q_2023_FIN_14,LEX,insufficient_evidence,False,incorrect,3081.34,3,3791,False
3,Grampian-2022-2023,Q_2023_FIN_P2,MOD,ok,False,partial,4246.47,3,3506,False
3,Grampian-2022-2023,Q_2023_FIN_02,LEX,ok,False,partial,4429.36,3,3628,False
3,Grampian-2022-2023,Q_2023_FIN_16,LEX,insufficient_evidence,False,incorrect,2880.715,3,3574,False
3,Grampian-2022-2023,Q_2023_FIN_07,STR,insufficient_evidence,False,incorrect,4199.007,3,3798,False
3,Grampian-2022-2023,Q_2023_FIN_10,LEX,insufficient_evidence,False,incorrect,2884.226,3,3626,False
3,Grampian-2022-2023,Q_2023_IJB_07,LEX,insufficient_evidence,False,incorrect,2023.441,3,1986,False
3,Grampian-2022-2023,Q_2023_FIN_09,LEX,insufficient_evidence,False,incorrect,3204.638,3,3535,False
3,Grampian-2022-2023,Q_2023_FIN_04,MOD,ok,False,partial,6202.47,3,4502,False
3,Grampian-2023-2024,Q_2024_DEL_01,LEX,ok,False,partial,4176.963,3,3542,False
3,Grampian-2023-2024,Q_2024_ESC_03,MOD,ok,False,partial,4555.359,3,3585,False
3,Grampian-2023-2024,Q_2024_FIN_12,MOD,ok,True,correct,5458.412,3,3901,False
3,Grampian-2023-2024,Q_2024_FIN_14,STR,insufficient_evidence,False,incorrect,3385.555,3,3724,False
3,Grampian-2023-2024,Q_2024_DEL_03,LEX,ok,False,partial,4019.026,3,3542,False
3,Grampian-2023-2024,Q_2024_GOV_04,LEX,insufficient_evidence,False,incorrect,3728.757,3,3722,False
3,Grampian-2023-2024,Q_2024_FIN_06,STR,insufficient_evidence,False,incorrect,3174.811,3,3724,False
3,Grampian-2023-2024,Q_2024_IJB_03,LEX,ok,True,correct,2937.252,3,1163,False
3,Grampian-2023-2024,Q_2024_FIN_01,LEX,ok,False,incorrect,3714.18,3,3122,False
3,Grampian-2023-2024,Q_2024_FIN_02,STR,insufficient_evidence,False,incorrect,3005.937,3,3078,False
3,Grampian-2024-2025,Q_2025_FIN_02,MOD,insufficient_evidence,False,incorrect,2974.011,3,3130,False
3,Grampian-2024-2025,Q_2025_FIN_P3,STR,ok,False,partial,4765.737,3,3677,False
3,Grampian-2024-2025,Q_2025_FIN_06,STR,insufficient_evidence,False,incorrect,3120.385,3,3130,False
3,Grampian-2024-2025,Q_2025_FIN_09,LEX,ok,False,partial,3828.316,3,3583,False
3,Grampian-2024-2025,Q_2025_FIN_10,STR,insufficient_evidence,False,incorrect,3040.255,3,3144,False
3,Grampian-2024-2025,Q_2025_AE_P1,MOD,ok,False,partial,4346.628,3,3054,False
3,Grampian-2024-2025,Q_2025_PLAN_01,STR,ok,False,partial,4655.087,3,4315,False
3,Grampian-2024-2025,Q_2025_STR_01,LEX,ok,False,partial,4539.241,3,3934,False
3,Grampian-2024-2025,Q_2025_IJB_04,LEX,insufficient_evidence,False,incorrect,2639.723,3,2955,False
3,Grampian-2024-2025,Q_2025_DEL_03,LEX,insufficient_evidence,False,incorrect,2910.318,3,3391,False
