arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,violations
baseline,Q_2023_FIN_10,Grampian-2022-2023,LEX,[25],"[27, 67, 75]",0,0,0,did_not_identify_gold,,[],[],8603,11422.825,0,evidence_span_not_in_context
baseline,Q_2023_IJB_07,Grampian-2022-2023,LEX,[25],"[21, 22]",0,0,0,did_not_identify_gold,,[],[],993,1645.745,0,
baseline,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5941.883,0,
baseline,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 148]",1,1,1,strict_correct,"1,546,903",[23],"[""Cash Requirement 1,546,903 1,546,903 -""]",2868,3844.718,0,
baseline,Q_2024_DEL_01,Grampian-2023-2024,LEX,"[6, 53]","[6, 53]",1,1,1,strict_correct,August 2023,[53],"[""The Delivery Plan 2023 \u2013 2026 was endorsed by the Board in August 2023, approved by""]",3546,3784.475,0,
baseline,Q_2024_ESC_03,Grampian-2023-2024,MOD,[4],"[4, 21, 59]",1,0,0,did_not_identify_gold,,[],[],3589,6010.34,0,parse_or_generation_error
baseline,Q_2024_FIN_12,Grampian-2023-2024,MOD,[23],"[23, 154]",1,0,0,did_not_identify_gold,,[],[],3905,7848.566,0,parse_or_generation_error
baseline,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3738.003,1,
baseline,Q_2024_DEL_03,Grampian-2023-2024,LEX,[6],"[6, 53]",1,1,1,strict_correct,1. Strengthen colleague and citizen engagement to improve health (People) 2. Create the conditions for sustainable change (Places) 3. Improve preventative and timely access to care (Pathways),[6],"[""The agreed objectives over the period August 2023 to March 2026 were: 1. Strengthen colleague and citizen engagement to improve health (People) 2. Create the conditions for sustainable change (Places) 3. Improve preventative and timely access to care (Pathways)""]",3546,6193.479,0,
baseline,Q_2024_GOV_04,Grampian-2023-2024,LEX,[33],"[33, 131]",1,1,1,strict_correct,14 days,[33],"[""- In 2023/24, the average credit taken was 14 days (2022/23 15 days).""]",3726,5007.896,0,
baseline,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3709,4575.594,0,
baseline,Q_2024_IJB_03,Grampian-2023-2024,LEX,[25],"[24, 25]",1,0,0,did_not_identify_gold,,[],[],1167,4981.816,0,parse_or_generation_error
baseline,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,4244.019,0,
baseline,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,0,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3882.17,1,
baseline,Q_2025_FIN_02,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,559,032",[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,4160.495,0,
baseline,Q_2025_FIN_P3,Grampian-2024-2025,STR,[29],"[29, 62]",1,0,0,did_not_identify_gold,,[],[],3681,5908.321,0,parse_or_generation_error
baseline,Q_2025_FIN_06,Grampian-2024-2025,STR,[29],"[28, 29]",1,1,1,strict_correct,4.17%,[29],"[""Underlying Deficit against Core Revenue Resource Limit -64,947 4.17%""]",3134,3984.372,0,
baseline,Q_2025_FIN_09,Grampian-2024-2025,LEX,[31],"[24, 31, 33]",1,1,1,strict_correct,£116 million,[31],"[""Net expenditure for the year was \u00a31,681 million (2023/24 \u00a31,565 million), an increase of \u00a3116 million from the prior year.""]",3587,4777.03,0,
baseline,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,1,1,strict_correct,"86,909",[28],"[""Core Capital Resource Limit 86,909 86,909 -""]",3148,4112.27,0,
baseline,Q_2025_AE_P1,Grampian-2024-2025,MOD,[14],"[14, 18, 93]",1,0,0,did_not_identify_gold,,[],[],3058,6085.929,0,parse_or_generation_error
baseline,Q_2025_PLAN_01,Grampian-2024-2025,STR,[30],"[30, 79]",1,0,0,did_not_identify_gold,,[],[],4319,5620.473,0,evidence_span_not_in_context
baseline,Q_2025_STR_01,Grampian-2024-2025,LEX,[7],"[7, 62, 72]",1,0,0,did_not_identify_gold,,[],[],3938,5152.998,0,evidence_span_not_in_context
baseline,Q_2025_IJB_04,Grampian-2024-2025,LEX,[27],"[26, 27]",1,1,1,strict_correct,£4.143 million,[27],"[""Moray IJB reported a deficit for the year of \u00a34.143 million (2023/24 deficit \u00a32.659 million).""]",1277,3158.598,0,
baseline,Q_2025_DEL_03,Grampian-2024-2025,LEX,[11],"[11, 12, 13]",1,1,1,strict_correct,38%,[11],"[""with 38% subject to minor delay, and 12% significant delays. ""]",4655,5806.473,0,
