arm,doc_id,query_id,difficulty,answer_type,generation_status,generation_model,latency_ms,prompt_chars,context_chunks_used,context_chars_used,context_truncated,citations_parsed,citations_valid,citations_rejected,parse_mode,quote_present,answer_correct,answer_status,generated_answer_empty
baseline,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,5906.404,7360,5,6770,False,1,1,0,json,False,False,partial,False
grounded_reasoning,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,4682.459,8014,5,7107,False,0,0,0,json,False,False,incorrect,True
grounded_reasoning,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,insufficient_evidence,qwen2.5:7b-instruct,4801.387,8035,5,7094,False,0,0,0,json,False,False,incorrect,True
grounded_reasoning,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,4279.058,6534,5,5633,False,1,1,0,json,False,False,partial,False
grounded_reasoning,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,5562.757,7417,5,6531,False,1,1,0,json,False,False,partial,False
grounded_reasoning,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,8218.609,9521,5,8583,False,0,0,0,json,False,False,incorrect,True
grounded_reasoning,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,5927.662,7847,5,6957,False,1,1,0,json,False,True,correct,False
grounded_reasoning,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,4524.423,6026,5,5082,False,1,1,0,json,False,False,partial,False
grounded_reasoning,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,4784.061,6021,5,5099,False,1,1,0,json,False,True,correct,False
grounded_reasoning,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,4246.145,7237,5,6350,False,0,0,0,json,False,False,incorrect,True
grounded_reasoning,Grampian-2023-2024,Q_2024_AE_04,MOD,number,ok,qwen2.5:7b-instruct,5864.997,6023,5,5100,False,1,1,0,json,False,True,correct,False
grounded_reasoning,Grampian-2023-2024,Q_2024_IJB_08,STR,number,ok,qwen2.5:7b-instruct,6965.104,4824,5,3916,False,1,1,0,json,False,True,correct,False
grounded_reasoning,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,6766.503,8029,5,7128,False,1,1,0,json,False,True,correct,False
grounded_reasoning,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,4490.429,7199,5,6274,False,0,0,0,json,False,False,incorrect,True
grounded_reasoning,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,ok,qwen2.5:7b-instruct,5160.382,7052,5,6150,False,1,1,0,json,False,False,incorrect,False
grounded_reasoning,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,7001.546,7662,5,6770,False,1,1,0,json,False,False,partial,False
quote_then_answer,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,5443.906,7970,5,7107,False,0,0,0,json,True,False,incorrect,True
quote_then_answer,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,7748.34,7991,5,7094,False,1,1,0,json,True,False,partial,False
quote_then_answer,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,6328.175,6490,5,5633,False,1,1,0,json,True,False,partial,False
quote_then_answer,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,7590.47,7373,5,6531,False,1,1,0,json,True,True,correct,False
quote_then_answer,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,8975.623,9477,5,8583,False,0,0,0,json,True,False,incorrect,True
quote_then_answer,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,7647.646,7803,5,6957,False,1,1,0,json,True,True,correct,False
quote_then_answer,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,5917.75,5982,5,5082,False,1,1,0,json,True,False,partial,False
quote_then_answer,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,6144.212,5977,5,5099,False,1,1,0,json,True,True,correct,False
quote_then_answer,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,ok,qwen2.5:7b-instruct,7090.253,7193,5,6350,False,1,1,0,json,True,False,partial,False
quote_then_answer,Grampian-2023-2024,Q_2024_AE_04,MOD,number,ok,qwen2.5:7b-instruct,7806.643,5979,5,5100,False,1,1,0,json,True,True,correct,False
quote_then_answer,Grampian-2023-2024,Q_2024_IJB_08,STR,number,ok,qwen2.5:7b-instruct,7969.751,4780,5,3916,False,1,1,0,json,True,True,correct,False
quote_then_answer,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,7373.605,7985,5,7128,False,1,1,0,json,True,False,partial,False
quote_then_answer,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,4467.165,7155,5,6274,False,0,0,0,json,True,False,incorrect,True
quote_then_answer,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,ok,qwen2.5:7b-instruct,6396.547,7008,5,6150,False,1,1,0,json,True,False,incorrect,False
quote_then_answer,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,8761.21,7618,5,6770,False,1,1,0,json,True,False,partial,False
constrained_extraction,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,ok,qwen2.5:7b-instruct,6511.528,0,5,7107,False,0,0,0,constrained_extraction,True,False,partial,False
constrained_extraction,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,6389.252,0,5,7094,False,0,0,0,constrained_extraction,True,False,incorrect,False
constrained_extraction,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,6951.183,0,5,5633,False,0,0,0,constrained_extraction,True,True,correct,False
constrained_extraction,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,6396.96,0,5,6531,False,0,0,0,constrained_extraction,True,False,partial,False
constrained_extraction,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,9487.482,0,5,8583,False,0,0,0,constrained_extraction,False,False,incorrect,True
constrained_extraction,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,8312.599,0,5,6957,False,0,0,0,constrained_extraction,True,True,correct,False
constrained_extraction,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,4889.06,0,5,5082,False,0,0,0,constrained_extraction,True,False,partial,False
constrained_extraction,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,5849.345,0,5,5099,False,0,0,0,constrained_extraction,True,True,correct,False
constrained_extraction,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,ok,qwen2.5:7b-instruct,7667.185,0,5,6350,False,0,0,0,constrained_extraction,True,False,partial,False
constrained_extraction,Grampian-2023-2024,Q_2024_AE_04,MOD,number,error,qwen2.5:7b-instruct,9995.517,0,5,5100,False,0,0,0,constrained_extraction_error,False,False,incorrect,True
constrained_extraction,Grampian-2023-2024,Q_2024_IJB_08,STR,number,error,qwen2.5:7b-instruct,10829.247,0,5,3916,False,0,0,0,constrained_extraction_error,False,False,incorrect,True
constrained_extraction,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,9043.202,0,5,7128,False,0,0,0,constrained_extraction,True,True,correct,False
constrained_extraction,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,4501.508,0,5,6274,False,0,0,0,constrained_extraction,False,False,incorrect,True
constrained_extraction,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,ok,qwen2.5:7b-instruct,5401.808,0,5,6150,False,0,0,0,constrained_extraction,True,False,incorrect,False
constrained_extraction,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,7318.097,0,5,6770,False,0,0,0,constrained_extraction,True,False,partial,False
