arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations
baseline,Q_2022_FIN_06,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"64,166",[21],"[""Core Capital Resource Limit 64,166 64,166 -""]",4302,4189.293,1,0,
baseline,Q_2022_GOV_02,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"28,485",[21],"[""Non-Core Revenue Resource Limit 28,485 28,485 -""]",4302,3977.108,1,0,
baseline,Q_2022_STR_03,Grampian-2021-2022,STR,[16],"[16, 29, 135]",1,1,1,strict_correct,28.4%,[16],"[""Aberdeen City 28.4% 23.1%""]",4120,3490.995,1,0,
baseline,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,4740.569,1,0,
baseline,Q_2023_FIN_01,Grampian-2022-2023,MOD,[23],"[23, 24]",1,1,1,strict_correct,"1,292,491",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3661,3790.72,1,0,
baseline,Q_2023_FIN_02,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,291,879",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3943.85,1,0,
baseline,Q_2023_FIN_03,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,612,[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,4358.106,1,0,
baseline,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 148]",1,1,1,strict_correct,"1,546,903",[23],"[""Cash Requirement 1,546,903 1,546,903 -""]",2868,3332.542,1,0,
baseline,Q_2023_FIN_05,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,338,691",[23],"[""Total Revenue Resource Limit 1,338,691 1,338,079 612""]",3632,3716.357,1,0,
baseline,Q_2023_FIN_06,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"104,268",[23],"[""Core Capital Resource Limit 104,268 104,268 -""]",3661,3556.34,1,0,
baseline,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5618.351,1,0,
baseline,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2701.01,1,0,
baseline,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,2834.152,1,0,
baseline,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,3887.365,1,0,
baseline,Q_2023_FIN_11,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"46,200",[23],"[""Non-Core Revenue Resource Limit 46,200 46,200 -""]",3661,3639.424,1,0,
baseline,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3126,3274.045,1,0,
baseline,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,0,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3285.049,1,1,
baseline,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,1,1,strict_correct,97,[27],"[""Surplus in 2023/24 97""]",3126,3111.44,1,0,
baseline,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 118]",1,0,0,did_not_identify_gold,"1,583,114",[118],"[""Netexpenditure |  |  |  | 1,583,114""]",10442,12122.874,1,0,
baseline,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3752.388,1,1,
baseline,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 99, 154]",1,0,0,did_not_identify_gold,"645,802",[22],"[""645,802 645,802 513,009""]",2189,2556.793,1,0,
baseline,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,3132.12,1,0,
baseline,Q_2025_FIN_02,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,559,032",[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3327.328,1,0,
baseline,Q_2025_FIN_03,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,253,[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3415.261,1,0,
baseline,Q_2025_FIN_04,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,706,002",[28],"[""Cash Requirement 1,706,002 1,706,002 -""]",3134,3204.563,1,0,
baseline,Q_2025_FIN_P2,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,599,504",[28],"[""Total Revenue Resource Limit 1,599,504 1,599,251 253""]",3134,3954.953,1,0,
baseline,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,1,1,strict_correct,"86,909",[28],"[""Core Capital Resource Limit 86,909 86,909 -""]",3148,3571.083,1,0,
row_preserving,Q_2021_FIN_01,Grampian-2020-2021,MOD,[28],"[25, 28]",1,1,1,strict_correct,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4039,5265.621,1,0,
row_preserving,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,0,0,did_not_identify_gold,,[],[],4362,3252.256,1,0,answer_not_in_context
row_preserving,Q_2021_FIN_03,Grampian-2020-2021,MOD,[28],"[28, 89]",1,1,1,strict_correct,769,[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3657.238,1,0,
row_preserving,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5161.816,1,0,parse_or_generation_error
row_preserving,Q_2021_FIN_04,Grampian-2020-2021,MOD,[28],"[28, 34]",1,1,1,strict_correct,"1,298,124",[28],"[""Cash Requirement 1,298,124 1,298,124 -""]",4300,3881.938,1,0,
row_preserving,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[24, 28]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4188,4250.128,1,0,
row_preserving,Q_2021_FIN_06,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"42,246",[28],"[""Core Capital Resource Limit 42,246 42,246 -""]",4304,3845.192,1,0,
row_preserving,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5009.936,1,0,evidence_span_not_in_context
row_preserving,Q_2021_CAP_P1,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"43,316",[28],"[""Core Capital Resource Limit 42,246 42,246 - Non-Core Capital Resource Limit 1,070 1,070 - Total 43,316 43,316 -""]",4362,4830.967,1,0,
row_preserving,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,4064.525,1,0,
row_preserving,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[23, 88, 114]",1,0,0,did_not_identify_gold,£45.441 million,[23],"[""The Charity had net assets of \u00a345.441 million at 31 March 2021 (\u00a336.767 million at 31 March 2020).""]",3877,5097.467,1,0,
row_preserving,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3581.751,1,0,
row_preserving,Q_2022_FIN_02,Grampian-2021-2022,MOD,[21],"[21, 22]",1,1,1,strict_correct,"1,357,936",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4548.418,1,0,
row_preserving,Q_2022_FIN_03,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,130,[21],"[""Core Revenue Resource Variance Surplus in 2021/22 130""]",4302,4398.235,1,0,
row_preserving,Q_2022_FIN_04,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"1,434,610",[21],"[""Cash Requirement 1,434,610 1,434,610 -""]",4302,4389.404,1,0,
row_preserving,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4306.193,1,0,
row_preserving,Q_2022_FIN_06,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"64,166",[21],"[""Core Capital Resource Limit 64,166 64,166 -""]",4302,4069.431,1,0,
row_preserving,Q_2022_GOV_02,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"28,485",[21],"[""Non-Core Revenue Resource Limit 28,485 28,485 -""]",4302,4273.31,1,0,
row_preserving,Q_2022_STR_03,Grampian-2021-2022,STR,[16],"[16, 29, 135]",1,1,1,strict_correct,28.4%,[16],"[""Aberdeen City 28.4% 23.1%""]",4120,3614.856,1,0,
row_preserving,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,5375.974,1,0,
row_preserving,Q_2023_FIN_01,Grampian-2022-2023,MOD,[23],"[23, 24]",1,1,1,strict_correct,"1,292,491",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3661,4195.912,1,0,
row_preserving,Q_2023_FIN_02,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,291,879",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,4194.824,1,0,
row_preserving,Q_2023_FIN_03,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,612,[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3871.306,1,0,
row_preserving,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 73, 148]",1,0,0,did_not_identify_gold,,[],[],2831,2349.36,1,0,
row_preserving,Q_2023_FIN_05,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,338,691",[23],"[""Total Revenue Resource Limit 1,338,691 1,338,079 612""]",3632,3855.835,1,0,
row_preserving,Q_2023_FIN_06,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"104,268",[23],"[""Core Capital Resource Limit 104,268 104,268 -""]",3661,3854.942,1,0,
row_preserving,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5336.816,1,0,
row_preserving,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2912.134,1,0,
row_preserving,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,3181.317,1,0,
row_preserving,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,4320.304,1,0,
row_preserving,Q_2023_FIN_11,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"46,200",[23],"[""Non-Core Revenue Resource Limit 46,200 46,200 -""]",3661,4297.039,1,0,
row_preserving,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,4052.182,1,0,
row_preserving,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,97,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3838.311,1,1,
row_preserving,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],3082,5835.519,1,0,parse_or_generation_error
row_preserving,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 31]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3728,4434.09,1,0,
row_preserving,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3827.686,1,1,
row_preserving,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 154]",1,0,0,did_not_identify_gold,,[],[],1281,1908.628,1,0,answer_not_in_context
row_preserving,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,3340.482,1,0,
row_preserving,Q_2025_FIN_02,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,559,032",[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,4124.658,1,0,
row_preserving,Q_2025_FIN_03,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,253,[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,4229.362,1,0,
row_preserving,Q_2025_FIN_04,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,706,002",[28],"[""Cash Requirement 1,706,002 1,706,002 -""]",3134,4342.676,1,0,
row_preserving,Q_2025_FIN_P2,Grampian-2024-2025,LEX,[28],"[28, 29, 33]",1,1,1,strict_correct,"1,599,504",[28],"[""Total Revenue Resource Limit 1,599,504 1,599,251 253""]",2601,4111.519,1,0,
row_preserving,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,0,0,did_not_identify_gold,"87,532",[28],"[""Total Capital Resource Limit 87,532 87,532 -""]",3148,4258.415,1,0,
two_stage,Q_2021_FIN_01,Grampian-2020-2021,MOD,[28],"[25, 28]",1,1,1,strict_correct,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4039,5058.384,1,0,
two_stage,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,0,0,did_not_identify_gold,,[],[],4362,3252.351,1,0,answer_not_in_context
two_stage,Q_2021_FIN_03,Grampian-2020-2021,MOD,[28],"[28, 89]",1,1,1,strict_correct,769,[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3611.534,1,0,
two_stage,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5129.043,1,0,parse_or_generation_error
two_stage,Q_2021_FIN_04,Grampian-2020-2021,MOD,[28],"[28, 34]",1,1,1,strict_correct,"1,298,124",[28],"[""Cash Requirement 1,298,124 1,298,124 -""]",4300,3771.349,1,0,
two_stage,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[24, 28]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4188,4111.561,1,0,
two_stage,Q_2021_FIN_06,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"42,246",[28],"[""Core Capital Resource Limit 42,246 42,246 -""]",4304,3754.998,1,0,
two_stage,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,4945.638,1,0,evidence_span_not_in_context
two_stage,Q_2021_CAP_P1,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"43,316",[28],"[""Core Capital Resource Limit 42,246 42,246 - Non-Core Capital Resource Limit 1,070 1,070 - Total 43,316 43,316 -""]",4362,4853.677,1,0,
two_stage,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,4004.553,1,0,
two_stage,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[23, 88, 114]",1,0,0,did_not_identify_gold,£45.441 million,[23],"[""The Charity had net assets of \u00a345.441 million at 31 March 2021 (\u00a336.767 million at 31 March 2020).""]",3877,4895.52,1,0,
two_stage,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3495.069,1,0,
two_stage,Q_2022_FIN_02,Grampian-2021-2022,MOD,[21],"[21, 22]",1,1,1,strict_correct,"1,357,936",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4509.501,1,0,
two_stage,Q_2022_FIN_03,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,130,[21],"[""Core Revenue Resource Variance Surplus in 2021/22 130""]",4302,4208.287,1,0,
two_stage,Q_2022_FIN_04,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"1,434,610",[21],"[""Cash Requirement 1,434,610 1,434,610 -""]",4302,4288.125,1,0,
two_stage,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4382.945,1,0,
two_stage,Q_2022_FIN_06,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"64,166",[21],"[""Core Capital Resource Limit 64,166 64,166 -""]",4302,4242.265,1,0,
two_stage,Q_2022_GOV_02,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"28,485",[21],"[""Non-Core Revenue Resource Limit 28,485 28,485 -""]",4302,4395.011,1,0,
two_stage,Q_2022_STR_03,Grampian-2021-2022,STR,[16],"[16, 29, 135]",1,1,1,strict_correct,28.4%,[16],"[""Aberdeen City 28.4% 23.1%""]",4120,3477.288,1,0,
two_stage,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,4761.175,1,0,
two_stage,Q_2023_FIN_01,Grampian-2022-2023,MOD,[23],"[23, 24]",1,1,1,strict_correct,"1,292,491",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3661,3815.259,1,0,
two_stage,Q_2023_FIN_02,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,291,879",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3897.46,1,0,
two_stage,Q_2023_FIN_03,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,612,[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,3855.905,1,0,
two_stage,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 73, 148]",1,0,0,did_not_identify_gold,,[],[],2831,2598.62,1,0,
two_stage,Q_2023_FIN_05,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,338,691",[23],"[""Total Revenue Resource Limit 1,338,691 1,338,079 612""]",3632,3892.51,1,0,
two_stage,Q_2023_FIN_06,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"104,268",[23],"[""Core Capital Resource Limit 104,268 104,268 -""]",3661,4033.997,1,0,
two_stage,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5396.044,1,0,
two_stage,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2558.37,1,0,
two_stage,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,2776.453,1,0,
two_stage,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,3999.314,1,0,
two_stage,Q_2023_FIN_11,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"46,200",[23],"[""Non-Core Revenue Resource Limit 46,200 46,200 -""]",3661,3723.822,1,0,
two_stage,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3634.603,1,0,
two_stage,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,97,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3300.934,1,1,
two_stage,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],3082,5387.914,1,0,parse_or_generation_error
two_stage,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 31]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3728,4155.296,1,0,
two_stage,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3203.906,1,1,
two_stage,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 154]",1,0,0,did_not_identify_gold,,[],[],1281,1667.349,1,0,answer_not_in_context
two_stage,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,2757.694,1,0,
two_stage,Q_2025_FIN_02,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,559,032",[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3511.379,1,0,
two_stage,Q_2025_FIN_03,Grampian-2024-2025,MOD,[28],"[28, 29]",1,1,1,strict_correct,253,[28],"[""Core Revenue Resource Limit 1,559,285 1,559,032 253""]",3134,3616.429,1,0,
two_stage,Q_2025_FIN_04,Grampian-2024-2025,LEX,[28],"[28, 29]",1,1,1,strict_correct,"1,706,002",[28],"[""Cash Requirement 1,706,002 1,706,002 -""]",3134,3690.327,1,0,
two_stage,Q_2025_FIN_P2,Grampian-2024-2025,LEX,[28],"[28, 29, 33]",1,1,1,strict_correct,"1,599,504",[28],"[""Total Revenue Resource Limit 1,599,504 1,599,251 253""]",2601,3378.766,1,0,
two_stage,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,0,0,did_not_identify_gold,"87,532",[28],"[""Total Capital Resource Limit 87,532 87,532 -""]",3148,3485.319,1,0,
