arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations,question,expected_answer,answer_type,audit_label,audit_reason
baseline,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 118]",1,0,0,did_not_identify_gold,"1,583,114",[118],"[""Netexpenditure |  |  |  | 1,583,114""]",10442,12122.874,1,0,,What share of the total revenue resource ceiling related to non-core technical accounting items in 2023/24?,"Limit: £1,489,048 thousand; Actual: £1,488,951 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 99, 154]",1,0,0,did_not_identify_gold,"645,802",[22],"[""645,802 645,802 513,009""]",2189,2556.793,1,0,,What were the consolidated net assets for all three IJBs as a joint venture in 2023/24?,"Aberdeen City: £4,918k; Aberdeenshire: £0; Moray: £1,012k; total consolidated group net assets: £700,580k",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,3132.12,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2024/25?,"£1,559,285 (£000)",number,context_missing,gold page not in top-3
row_preserving,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,0,0,did_not_identify_gold,,[],[],4362,3252.256,1,0,answer_not_in_context,How much did NHS Grampian actually spend against its core resource budget in 2020/21?,"£1,278,002 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[24, 28]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4188,4250.128,1,0,,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[23, 88, 114]",1,0,0,did_not_identify_gold,£45.441 million,[23],"[""The Charity had net assets of \u00a345.441 million at 31 March 2021 (\u00a336.767 million at 31 March 2020).""]",3877,5097.467,1,0,,What were the total consolidated net assets of NHS Grampian group at 31 March 2021?,"£418,000 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
row_preserving,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3581.751,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4306.193,1,0,,What was the Total Revenue Resource Limit for 2021/22?,"£1,386,551 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,5375.974,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2022?,"£461,044 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
row_preserving,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2912.134,1,0,,What cost-reduction measures did NHS Grampian deploy to bring branded pharmaceuticals expenditure down in 2022/23?,£9.96 million,number,context_missing,gold page not in top-3
row_preserving,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 73, 148]",1,0,0,did_not_identify_gold,,[],[],2831,2349.36,1,0,,What was the approved cash financing requirement for NHS Grampian in 2022/23?,"£1,546,903 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5336.816,1,0,,What was the total COVID-19 expenditure across NHS Grampian and its IJBs in 2022/23?,"£41.04 million total (£23.06 million NHS Grampian, £17.97 million IJBs)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
row_preserving,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,4320.304,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2023?,"£580,541 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
row_preserving,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,4052.182,1,0,,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,97,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3838.311,1,1,,What gap existed between the resource ceiling and actual spend on core NHS Grampian services in 2023/24?,"£1,440,535 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],3082,5835.519,1,0,parse_or_generation_error,What surplus did NHS Grampian report against the Core Revenue Resource Limit in 2023/24?,£97 thousand,number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 31]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3728,4434.09,1,0,,What share of the total revenue resource ceiling related to non-core technical accounting items in 2023/24?,"Limit: £1,489,048 thousand; Actual: £1,488,951 thousand",number,model_extraction_error,evidence matched gold but final answer field mismatched
row_preserving,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3827.686,1,1,,What was the net expenditure figure in Note 2A Summary of Core Revenue Resource Outturn for 2023/24?,"£1,583,114 thousand",number,context_missing,gold page not in top-3
row_preserving,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 154]",1,0,0,did_not_identify_gold,,[],[],1281,1908.628,1,0,answer_not_in_context,What were the consolidated net assets for all three IJBs as a joint venture in 2023/24?,"Aberdeen City: £4,918k; Aberdeenshire: £0; Moray: £1,012k; total consolidated group net assets: £700,580k",number,model_extraction_error,retrieval hit but model failed to produce gold answer
row_preserving,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,3340.482,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2024/25?,"£1,559,285 (£000)",number,context_missing,gold page not in top-3
row_preserving,Q_2025_FIN_10,Grampian-2024-2025,STR,[28],"[28, 33]",1,0,0,did_not_identify_gold,"87,532",[28],"[""Total Capital Resource Limit 87,532 87,532 -""]",3148,4258.415,1,0,,What approved capital expenditure envelope was NHS Grampian operating within for infrastructure and equipment investment in 2024/25?,"£86,909 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[24, 28]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4188,4111.561,1,0,,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5129.043,1,0,parse_or_generation_error,"Did NHS Grampian overspend or underspend its Core Revenue Resource Limit in 2020/21, and by how much?","Underspend of £769,000",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,4945.638,1,0,evidence_span_not_in_context,How did NHS Grampian's total cash financing requirement compare to the limit set by the Scottish Government in 2020/21?,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance",text,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3495.069,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4382.945,1,0,,What was the Total Revenue Resource Limit for 2021/22?,"£1,386,551 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,4761.175,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2022?,"£461,044 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
two_stage,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2558.37,1,0,,What cost-reduction measures did NHS Grampian deploy to bring branded pharmaceuticals expenditure down in 2022/23?,£9.96 million,number,context_missing,gold page not in top-3
two_stage,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,2776.453,1,0,,How much was spent on Test and Protect activities in 2022/23?,£3.97 million,number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2023_FIN_04,Grampian-2022-2023,MOD,[23],"[23, 73, 148]",1,0,0,did_not_identify_gold,,[],[],2831,2598.62,1,0,,What was the approved cash financing requirement for NHS Grampian in 2022/23?,"£1,546,903 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2023_FIN_09,Grampian-2022-2023,LEX,[25],"[20, 24, 25]",1,0,0,did_not_identify_gold,Expenditure of £23.1 million was incurred on non-delegated Board services.,[24],"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",3539,5396.044,1,0,,What was the total COVID-19 expenditure across NHS Grampian and its IJBs in 2022/23?,"£41.04 million total (£23.06 million NHS Grampian, £17.97 million IJBs)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
two_stage,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,3999.314,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2023?,"£580,541 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
two_stage,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,97,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3300.934,1,1,,What gap existed between the resource ceiling and actual spend on core NHS Grampian services in 2023/24?,"£1,440,535 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2024_FIN_03,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],3082,5387.914,1,0,parse_or_generation_error,What surplus did NHS Grampian report against the Core Revenue Resource Limit in 2023/24?,£97 thousand,number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2024_FIN_06,Grampian-2023-2024,STR,[26],"[26, 27, 31]",1,0,1,saw_gold_but_answer_incorrect,97,[26],"[""Non-Core Revenue Resource Limit 1,489,048 1,488,951 97""]",3728,4155.296,1,0,,What share of the total revenue resource ceiling related to non-core technical accounting items in 2023/24?,"Limit: £1,489,048 thousand; Actual: £1,488,951 thousand",number,model_extraction_error,evidence matched gold but final answer field mismatched
two_stage,Q_2024_FIN_14,Grampian-2023-2024,STR,[118],"[26, 27, 31]",0,0,0,did_not_identify_gold,,[],[],3728,3203.906,1,1,,What was the net expenditure figure in Note 2A Summary of Core Revenue Resource Outturn for 2023/24?,"£1,583,114 thousand",number,context_missing,gold page not in top-3
two_stage,Q_2024_IJB_06,Grampian-2023-2024,STR,[22],"[22, 154]",1,0,0,did_not_identify_gold,,[],[],1281,1667.349,1,0,answer_not_in_context,What were the consolidated net assets for all three IJBs as a joint venture in 2023/24?,"Aberdeen City: £4,918k; Aberdeenshire: £0; Moray: £1,012k; total consolidated group net assets: £700,580k",number,model_extraction_error,retrieval hit but model failed to produce gold answer
two_stage,Q_2025_FIN_01,Grampian-2024-2025,STR,[28],"[29, 30]",0,0,0,did_not_identify_gold,,[],[],3427,2757.694,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2024/25?,"£1,559,285 (£000)",number,context_missing,gold page not in top-3
