variant,doc_id,query_id,hit3,pred_pages,gold_pages
baseline,Grampian-2021-2022,Q_2022_SAV_P1,1,[22],[22]
baseline,Grampian-2021-2022,Q_2022_IJB_01,0,"[6, 38, 41]",[19]
baseline,Grampian-2021-2022,Q_2022_IJB_02,1,"[19, 20, 140]",[19]
baseline,Grampian-2021-2022,Q_2022_IJB_03,1,"[20, 21, 146]",[20]
baseline,Grampian-2021-2022,Q_2022_IJB_04,1,"[19, 20]",[20]
baseline,Grampian-2021-2022,Q_2022_IJB_05,1,"[17, 20, 146]",[20]
baseline,Grampian-2021-2022,Q_2022_IJB_06,1,"[19, 20]",[20]
baseline,Grampian-2021-2022,Q_2022_IJB_P1,1,"[19, 20]",[19]
baseline,Grampian-2021-2022,Q_2022_AE_01,1,"[12, 31]",[12]
baseline,Grampian-2021-2022,Q_2022_AE_02,1,"[12, 32]",[12]
baseline,Grampian-2021-2022,Q_2022_AE_03,1,"[12, 32]",[12]
baseline,Grampian-2021-2022,Q_2022_AE_04,1,"[12, 13]",[12]
baseline,Grampian-2021-2022,Q_2022_AE_P1,1,"[12, 32]",[12]
baseline,Grampian-2021-2022,Q_2022_STR_01,0,"[46, 51, 66]",[16]
baseline,Grampian-2021-2022,Q_2022_STR_02,1,"[5, 9, 16]",[16]
baseline,Grampian-2021-2022,Q_2022_STR_P1,0,"[5, 15, 80]",[16]
baseline,Grampian-2021-2022,Q_2022_GOV_01,1,"[21, 25]",[21]
baseline,Grampian-2021-2022,Q_2022_GOV_02,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_CAP_01,0,"[21, 22]",[25]
baseline,Grampian-2021-2022,Q_2022_CAP_02,1,"[25, 32, 82]",[25]
baseline,Grampian-2021-2022,Q_2022_CAP_03,1,"[25, 68, 82]",[25]
baseline,Grampian-2021-2022,Q_2022_COV_01,1,[22],[22]
baseline,Grampian-2021-2022,Q_2022_GOPES_01,1,"[37, 38, 54]",[54]
baseline,Grampian-2021-2022,Q_2022_FIN_08,0,"[12, 27, 80]",[23]
baseline,Grampian-2021-2022,Q_2022_FIN_P2,1,"[23, 28, 76]",[23]
baseline,Grampian-2021-2022,Q_2022_IJB_P2,1,"[17, 22, 23]",[23]
baseline,Grampian-2021-2022,Q_2022_STR_03,1,"[16, 29, 135]",[16]
baseline,Grampian-2021-2022,Q_2022_AE_P2,1,"[12, 31]",[12]
baseline,Grampian-2021-2022,Q_2022_GOV_P1,1,"[31, 53]",[31]
baseline,Grampian-2021-2022,Q_2022_CAP_P1,1,"[21, 25]",[25]
baseline,Grampian-2021-2022,Q_2022_FIN_09,1,"[22, 23, 115]",[23]
baseline,Grampian-2021-2022,Q_2022_SAV_P2,1,"[22, 28]",[22]
baseline,Grampian-2021-2022,Q_2022_STR_04,1,"[15, 46]",[15]
baseline,Grampian-2021-2022,Q_2022_IJB_07,1,"[19, 20]",[19]
baseline,Grampian-2021-2022,Q_2022_GOV_03,1,"[17, 96, 122]",[17]
baseline,Grampian-2021-2022,Q_2022_STR_P2,0,"[7, 28, 63]",[12]
baseline,Grampian-2021-2022,Q_2022_FIN_12_P1,0,"[18, 81, 140]",[24]
baseline,Grampian-2021-2022,Q_2022_GOV_05,0,"[27, 82, 135]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_01,1,"[23, 24]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_02,1,"[23, 24, 121]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_03,1,"[23, 24]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_04,1,"[23, 151]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_05,1,"[23, 24]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_06,1,"[23, 24]",[23]
baseline,Grampian-2022-2023,Q_2023_FIN_07,0,"[20, 78, 117]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_08,1,"[20, 25, 149]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_P1,1,"[23, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_01,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_02,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_03,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_04,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_P1,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_IJB_01,1,"[5, 21, 53]",[21]
baseline,Grampian-2022-2023,Q_2023_IJB_02,1,[21],[21]
baseline,Grampian-2022-2023,Q_2023_IJB_03,1,"[4, 21, 31]",[21]
baseline,Grampian-2022-2023,Q_2023_IJB_04,1,[21],[21]
baseline,Grampian-2022-2023,Q_2023_IJB_05,0,"[5, 6, 53]",[22]
baseline,Grampian-2022-2023,Q_2023_IJB_06,1,"[21, 22]",[22]
baseline,Grampian-2022-2023,Q_2023_IJB_P1,1,"[21, 22]",[21]
baseline,Grampian-2022-2023,Q_2023_AE_01,1,"[10, 11, 12]",[10]
baseline,Grampian-2022-2023,Q_2023_AE_02,1,"[10, 12, 14]",[10]
baseline,Grampian-2022-2023,Q_2023_AE_03,1,"[10, 12, 20]",[10]
baseline,Grampian-2022-2023,Q_2023_AE_04,1,"[10, 12, 20]",[10]
baseline,Grampian-2022-2023,Q_2023_AE_P1,1,"[10, 67, 79]",[10]
baseline,Grampian-2022-2023,Q_2023_DEL_01,1,"[9, 11, 12]",[11]
baseline,Grampian-2022-2023,Q_2023_DEL_02,1,"[10, 11, 12]",[12]
baseline,Grampian-2022-2023,Q_2023_DEL_P1,1,"[10, 11, 21]",[11]
baseline,Grampian-2022-2023,Q_2023_GOV_01,1,"[23, 24, 78]",[23]
baseline,Grampian-2022-2023,Q_2023_GOV_02,1,"[24, 35, 92]",[24]
baseline,Grampian-2022-2023,Q_2023_FIN_09,1,"[20, 24, 25]",[25]
baseline,Grampian-2022-2023,Q_2023_COV_01,0,"[24, 39, 103]",[25]
baseline,Grampian-2022-2023,Q_2023_COV_02,1,"[25, 79, 148]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_10,0,"[27, 67, 110]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_P2,1,"[25, 67]",[25]
baseline,Grampian-2022-2023,Q_2023_PLAN_01,1,"[24, 39, 98]",[24]
baseline,Grampian-2022-2023,Q_2023_GOV_03,0,"[90, 121, 149]",[19]
baseline,Grampian-2022-2023,Q_2023_IJB_07,0,"[21, 29]",[25]
baseline,Grampian-2022-2023,Q_2023_AE_P2,1,"[10, 11, 24]",[10]
baseline,Grampian-2022-2023,Q_2023_PLAN_02,1,"[4, 24, 74]",[4]
baseline,Grampian-2022-2023,Q_2023_FIN_11,1,"[23, 24]",[23]
baseline,Grampian-2022-2023,Q_2023_GOV_P1,1,"[24, 34]",[24]
baseline,Grampian-2022-2023,Q_2023_SAV_P2,1,"[4, 24]",[24]
baseline,Grampian-2022-2023,Q_2023_IJB_P2,1,[21],[21]
baseline,Grampian-2022-2023,Q_2023_FIN_14,1,"[24, 25]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_15,1,"[20, 24, 25]",[25]
baseline,Grampian-2022-2023,Q_2023_FIN_16,0,"[24, 77]",[25]
baseline,Grampian-2022-2023,Q_2023_GOV_05,1,"[4, 24, 34]",[4]
baseline,Grampian-2022-2023,Q_2023_AE_07,1,"[10, 11, 12]",[11]
baseline,Grampian-2023-2024,Q_2024_FIN_01,1,"[26, 27]",[26]
baseline,Grampian-2023-2024,Q_2024_FIN_02,1,"[26, 27]","[26, 118]"
baseline,Grampian-2023-2024,Q_2024_FIN_03,1,"[26, 27]",[26]
baseline,Grampian-2023-2024,Q_2024_FIN_04,1,"[26, 27]",[27]
baseline,Grampian-2023-2024,Q_2024_FIN_05,1,"[4, 27, 39]",[27]
baseline,Grampian-2023-2024,Q_2024_FIN_06,1,"[26, 27, 118]",[26]
baseline,Grampian-2023-2024,Q_2024_FIN_07,1,"[29, 31, 154]",[29]
baseline,Grampian-2023-2024,Q_2024_FIN_08,0,"[4, 85]",[29]
baseline,Grampian-2023-2024,Q_2024_FIN_09,1,"[27, 28, 70]",[27]
baseline,Grampian-2023-2024,Q_2024_FIN_10,1,"[29, 73]",[29]
baseline,Grampian-2023-2024,Q_2024_FIN_11,0,"[116, 138]",[30]
baseline,Grampian-2023-2024,Q_2024_FIN_12,1,"[23, 154]",[23]
baseline,Grampian-2023-2024,Q_2024_FIN_13,1,"[5, 35, 84]",[5]
baseline,Grampian-2023-2024,Q_2024_FIN_14,0,"[26, 27, 31]",[118]
baseline,Grampian-2023-2024,Q_2024_SAV_01,1,"[4, 28]",[28]
baseline,Grampian-2023-2024,Q_2024_SAV_02,1,"[4, 28, 29]",[29]
baseline,Grampian-2023-2024,Q_2024_SAV_03,1,"[4, 28, 66]",[28]
baseline,Grampian-2023-2024,Q_2024_SAV_04,1,"[4, 11, 28]",[28]
baseline,Grampian-2023-2024,Q_2024_SAV_05,1,"[4, 28, 59]",[28]
baseline,Grampian-2023-2024,Q_2024_SAV_06,1,"[4, 28, 66]",[28]
baseline,Grampian-2023-2024,Q_2024_IJB_01,1,"[24, 25]",[24]
baseline,Grampian-2023-2024,Q_2024_IJB_02,1,[24],[24]
baseline,Grampian-2023-2024,Q_2024_IJB_03,1,"[24, 25]",[25]
baseline,Grampian-2023-2024,Q_2024_IJB_04,1,"[24, 30]",[24]
baseline,Grampian-2023-2024,Q_2024_IJB_05,1,"[24, 29]",[24]
baseline,Grampian-2023-2024,Q_2024_IJB_06,1,"[22, 99, 154]",[22]
baseline,Grampian-2023-2024,Q_2024_IJB_07,1,"[29, 30, 154]",[30]
baseline,Grampian-2023-2024,Q_2024_IJB_08,1,"[24, 25]",[24]
baseline,Grampian-2023-2024,Q_2024_AE_01,1,"[12, 85, 87]",[12]
baseline,Grampian-2023-2024,Q_2024_AE_02,1,"[12, 14, 87]",[12]
baseline,Grampian-2023-2024,Q_2024_AE_03,1,"[3, 12, 14]",[12]
baseline,Grampian-2023-2024,Q_2024_AE_04,1,"[12, 14, 16]",[12]
baseline,Grampian-2023-2024,Q_2024_AE_05,1,"[12, 13, 14]",[13]
baseline,Grampian-2023-2024,Q_2024_AE_06,1,"[12, 13, 14]",[13]
baseline,Grampian-2023-2024,Q_2024_DEL_01,1,"[6, 53]","[6, 53]"
baseline,Grampian-2023-2024,Q_2024_DEL_02,0,"[10, 53]",[54]
baseline,Grampian-2023-2024,Q_2024_DEL_03,1,"[6, 53]",[6]
baseline,Grampian-2023-2024,Q_2024_DEL_04,1,"[6, 53]",[53]
baseline,Grampian-2023-2024,Q_2024_DEL_05,1,"[6, 10, 54]","[6, 54]"
baseline,Grampian-2023-2024,Q_2024_ESC_01,1,"[4, 27, 62]","[4, 27]"
baseline,Grampian-2023-2024,Q_2024_ESC_02,0,"[34, 84, 154]","[4, 27]"
baseline,Grampian-2023-2024,Q_2024_ESC_03,1,"[4, 21, 59]",[4]
baseline,Grampian-2023-2024,Q_2024_ESC_04,1,"[56, 59]",[56]
baseline,Grampian-2023-2024,Q_2024_GOPES_01,1,"[53, 56]",[56]
baseline,Grampian-2023-2024,Q_2024_GOPES_02,1,"[48, 56]",[56]
baseline,Grampian-2023-2024,Q_2024_GOV_01,1,"[28, 64]",[28]
baseline,Grampian-2023-2024,Q_2024_GOV_02,1,"[28, 30]",[28]
baseline,Grampian-2023-2024,Q_2024_GOV_03,0,"[28, 31, 102]",[4]
baseline,Grampian-2023-2024,Q_2024_GOV_04,1,"[33, 131]",[33]
baseline,Grampian-2023-2024,Q_2024_GOV_05,1,"[4, 23, 31]",[31]
baseline,Grampian-2024-2025,Q_2025_FIN_01,0,"[29, 30]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_02,1,"[28, 29]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_03,1,"[28, 29]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_04,1,"[28, 29]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_05,1,"[28, 29]",[29]
baseline,Grampian-2024-2025,Q_2025_FIN_06,1,"[28, 29]",[29]
baseline,Grampian-2024-2025,Q_2025_FIN_07,1,"[4, 29]",[29]
baseline,Grampian-2024-2025,Q_2025_FIN_P1,1,"[29, 30]",[29]
baseline,Grampian-2024-2025,Q_2025_FIN_08,0,"[25, 35, 95]",[31]
baseline,Grampian-2024-2025,Q_2025_FIN_09,1,"[24, 31, 33]",[31]
baseline,Grampian-2024-2025,Q_2025_FIN_P2,1,"[28, 29]",[28]
baseline,Grampian-2024-2025,Q_2025_SAV_01,0,"[3, 74, 96]",[31]
baseline,Grampian-2024-2025,Q_2025_SAV_02,0,"[25, 95, 158]",[31]
baseline,Grampian-2024-2025,Q_2025_SAV_03,1,"[29, 31]",[31]
baseline,Grampian-2024-2025,Q_2025_SAV_04,1,"[29, 31]",[31]
baseline,Grampian-2024-2025,Q_2025_SAV_P1,1,"[31, 33]",[31]
baseline,Grampian-2024-2025,Q_2025_SAV_P2,1,"[3, 29, 31]",[31]
baseline,Grampian-2024-2025,Q_2025_IJB_01,1,"[26, 27, 32]",[26]
baseline,Grampian-2024-2025,Q_2025_IJB_02,1,"[26, 32, 165]",[26]
baseline,Grampian-2024-2025,Q_2025_IJB_03,1,"[26, 32]",[26]
baseline,Grampian-2024-2025,Q_2025_IJB_04,1,"[27, 29]",[27]
baseline,Grampian-2024-2025,Q_2025_IJB_05,1,"[26, 30]",[26]
baseline,Grampian-2024-2025,Q_2025_IJB_06,1,"[26, 27]",[27]
baseline,Grampian-2024-2025,Q_2025_IJB_P1,1,"[30, 32, 74]",[32]
baseline,Grampian-2024-2025,Q_2025_AE_01,0,"[9, 35, 79]",[14]
baseline,Grampian-2024-2025,Q_2025_AE_02,1,"[14, 15, 72]",[14]
baseline,Grampian-2024-2025,Q_2025_AE_03,1,"[14, 15, 16]",[14]
baseline,Grampian-2024-2025,Q_2025_AE_04,1,"[14, 15, 16]",[14]
baseline,Grampian-2024-2025,Q_2025_AE_P1,1,"[14, 18, 93]",[14]
baseline,Grampian-2024-2025,Q_2025_DEL_01,1,"[11, 13, 62]",[11]
baseline,Grampian-2024-2025,Q_2025_DEL_02,1,"[11, 13, 16]",[11]
baseline,Grampian-2024-2025,Q_2025_DEL_03,1,"[11, 13, 16]",[11]
baseline,Grampian-2024-2025,Q_2025_DEL_04,1,"[11, 13, 16]",[11]
baseline,Grampian-2024-2025,Q_2025_DEL_P1,0,"[11, 62, 74]",[7]
baseline,Grampian-2024-2025,Q_2025_STR_01,1,"[7, 54, 62]",[7]
baseline,Grampian-2024-2025,Q_2025_ESC_01,1,"[9, 29, 30]",[30]
baseline,Grampian-2024-2025,Q_2025_ESC_02,1,"[4, 30]",[4]
baseline,Grampian-2024-2025,Q_2025_ESC_P1,1,"[4, 30]",[4]
baseline,Grampian-2024-2025,Q_2025_ESC_P2,1,"[4, 30]",[30]
baseline,Grampian-2024-2025,Q_2025_PLAN_01,1,"[30, 79]",[30]
baseline,Grampian-2024-2025,Q_2025_GOPES_01,1,"[9, 65]",[65]
baseline,Grampian-2024-2025,Q_2025_FIN_10,1,"[28, 33]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_11,1,"[25, 33, 74]",[33]
baseline,Grampian-2024-2025,Q_2025_FIN_12,1,"[31, 82, 89]",[31]
baseline,Grampian-2024-2025,Q_2025_FIN_13,1,"[32, 125, 148]",[32]
baseline,Grampian-2024-2025,Q_2025_GOV_01,1,"[28, 29]",[28]
baseline,Grampian-2024-2025,Q_2025_FIN_P3,1,"[29, 62]",[29]
baseline,Grampian-2024-2025,Q_2025_FIN_17,1,"[25, 33, 74]",[33]
baseline,Grampian-2024-2025,Q_2025_FIN_18,1,"[31, 82]",[31]
baseline,Grampian-2024-2025,Q_2025_GOV_02,1,"[11, 13, 62]",[11]
fix1_only,Grampian-2020-2021,Q_2021_FIN_01,1,"[28, 29]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_02,1,"[28, 29]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_03,1,"[28, 105]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_P1,1,"[28, 105]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_04,1,"[28, 34, 84]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_05,1,"[28, 115]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_06,1,"[28, 115]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_07,1,"[28, 105, 115]",[28]
fix1_only,Grampian-2020-2021,Q_2021_FIN_P2,1,"[28, 89]",[28]
fix1_only,Grampian-2020-2021,Q_2021_SAV_01,1,"[29, 40]",[29]
fix1_only,Grampian-2020-2021,Q_2021_SAV_02,0,"[34, 68]",[29]
fix1_only,Grampian-2020-2021,Q_2021_SAV_03,1,"[28, 29]",[29]
fix1_only,Grampian-2020-2021,Q_2021_SAV_04,1,[29],[29]
fix1_only,Grampian-2020-2021,Q_2021_SAV_P1,1,[29],[29]
fix1_only,Grampian-2020-2021,Q_2021_COV_01,1,"[28, 29]",[29]
fix1_only,Grampian-2020-2021,Q_2021_COV_02,0,[30],[29]
fix1_only,Grampian-2020-2021,Q_2021_COV_P1,0,"[7, 14, 24]",[28]
fix1_only,Grampian-2020-2021,Q_2021_IJB_01,0,"[80, 132]",[26]
fix1_only,Grampian-2020-2021,Q_2021_IJB_02,1,"[26, 27, 132]",[26]
fix1_only,Grampian-2020-2021,Q_2021_IJB_03,1,"[27, 34, 82]",[27]
fix1_only,Grampian-2020-2021,Q_2021_IJB_04,1,"[27, 132]",[27]
fix1_only,Grampian-2020-2021,Q_2021_IJB_05,1,"[23, 27, 28]",[27]
fix1_only,Grampian-2020-2021,Q_2021_IJB_06,1,"[26, 27]",[27]
fix1_only,Grampian-2020-2021,Q_2021_IJB_P1,0,"[6, 28]",[27]
fix1_only,Grampian-2020-2021,Q_2021_GOV_01,1,"[7, 28]",[28]
fix1_only,Grampian-2020-2021,Q_2021_GOV_02,1,"[28, 31]",[28]
fix1_only,Grampian-2020-2021,Q_2021_STR_01,0,"[38, 68, 74]",[6]
fix1_only,Grampian-2020-2021,Q_2021_STR_02,1,"[6, 30, 89]",[6]
fix1_only,Grampian-2020-2021,Q_2021_STR_03,1,"[6, 17, 38]",[6]
fix1_only,Grampian-2020-2021,Q_2021_STR_P1,0,"[4, 22, 38]",[6]
fix1_only,Grampian-2020-2021,Q_2021_CAP_01,1,"[32, 73, 108]",[32]
fix1_only,Grampian-2020-2021,Q_2021_CAP_02,1,"[28, 32]",[32]
fix1_only,Grampian-2020-2021,Q_2021_CAP_P1,1,"[28, 105]",[28]
fix1_only,Grampian-2020-2021,Q_2021_COV_03,1,"[30, 63, 108]",[30]
fix1_only,Grampian-2020-2021,Q_2021_COV_04,1,"[30, 80, 108]",[30]
fix1_only,Grampian-2020-2021,Q_2021_GOV_03,1,"[28, 105]",[28]
fix1_only,Grampian-2020-2021,Q_2021_IJB_07,0,"[17, 68, 132]",[31]
fix1_only,Grampian-2020-2021,Q_2021_IJB_P2,1,"[29, 30]",[30]
fix1_only,Grampian-2020-2021,Q_2021_FIN_08,1,"[30, 104, 122]",[30]
fix1_only,Grampian-2020-2021,Q_2021_CAP_03,1,"[4, 32]",[32]
fix1_only,Grampian-2020-2021,Q_2021_COV_P2,1,"[29, 30]",[29]
fix1_only,Grampian-2020-2021,Q_2021_STR_04,1,"[8, 17]",[17]
fix1_only,Grampian-2020-2021,Q_2021_GOV_04,0,"[80, 86, 114]",[23]
fix1_only,Grampian-2020-2021,Q_2021_STR_05,1,"[7, 34, 47]",[7]
fix1_only,Grampian-2020-2021,Q_2021_STR_P2,1,"[7, 28, 34]",[7]
fix1_only,Grampian-2020-2021,Q_2021_CAP_04,1,"[30, 32, 63]",[32]
fix1_only,Grampian-2020-2021,Q_2021_FIN_P3,1,"[29, 30]",[30]
fix1_only,Grampian-2020-2021,Q_2021_GOV_P1,0,"[37, 89, 132]",[23]
fix1_only,Grampian-2020-2021,Q_2021_SAV_P2,1,[29],[29]
fix1_only,Grampian-2020-2021,Q_2021_IJB_08,1,"[26, 27, 86]",[26]
fix1_only,Grampian-2021-2022,Q_2022_FIN_01,1,"[12, 21, 22]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_02,1,"[21, 22]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_03,1,"[21, 113]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_04,1,"[21, 22]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_05,1,"[21, 113, 123]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_06,1,"[21, 123]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_07,1,"[21, 123]",[21]
fix1_only,Grampian-2021-2022,Q_2022_FIN_P1,0,"[21, 27, 36]",[22]
fix1_only,Grampian-2021-2022,Q_2022_SAV_01,1,"[22, 43]",[22]
fix1_only,Grampian-2021-2022,Q_2022_SAV_02,0,"[27, 28, 31]",[22]
fix1_only,Grampian-2021-2022,Q_2022_SAV_03,1,"[22, 90, 135]",[22]
fix1_only,Grampian-2021-2022,Q_2022_SAV_04,1,"[9, 22]",[22]
fix1_only,Grampian-2021-2022,Q_2022_SAV_P1,1,[22],[22]
fix1_only,Grampian-2021-2022,Q_2022_IJB_01,0,"[6, 38, 88]",[19]
fix1_only,Grampian-2021-2022,Q_2022_IJB_02,1,"[19, 20, 140]",[19]
fix1_only,Grampian-2021-2022,Q_2022_IJB_03,1,"[20, 21, 146]",[20]
fix1_only,Grampian-2021-2022,Q_2022_IJB_04,1,"[19, 20]",[20]
fix1_only,Grampian-2021-2022,Q_2022_IJB_05,1,"[17, 20, 146]",[20]
fix1_only,Grampian-2021-2022,Q_2022_IJB_06,1,"[19, 20]",[20]
fix1_only,Grampian-2021-2022,Q_2022_IJB_P1,1,"[19, 20]",[19]
fix1_only,Grampian-2021-2022,Q_2022_AE_01,1,"[12, 31]",[12]
fix1_only,Grampian-2021-2022,Q_2022_AE_02,1,"[12, 32]",[12]
fix1_only,Grampian-2021-2022,Q_2022_AE_03,1,"[12, 32]",[12]
fix1_only,Grampian-2021-2022,Q_2022_AE_04,1,"[12, 13]",[12]
fix1_only,Grampian-2021-2022,Q_2022_AE_P1,1,"[12, 32]",[12]
fix1_only,Grampian-2021-2022,Q_2022_STR_01,0,"[46, 51, 66]",[16]
