doc_id,query_id,hit3_base,pred_pages_base,hit3_var,pred_pages_var,delta
Grampian-2020-2021,Q_2021_STR_01,0,"[38, 74, 127]",0,"[38, 68, 74]",0
Grampian-2020-2021,Q_2021_STR_02,1,"[6, 30, 89]",1,"[6, 30, 89]",0
Grampian-2020-2021,Q_2021_STR_03,1,"[6, 38, 63]",1,"[6, 17, 38]",0
Grampian-2020-2021,Q_2021_STR_P1,0,"[22, 38, 131]",0,"[4, 22, 38]",0
Grampian-2020-2021,Q_2021_CAP_01,1,"[24, 32, 73]",1,"[32, 73, 108]",0
Grampian-2020-2021,Q_2021_CAP_02,1,"[28, 32]",1,"[28, 32]",0
Grampian-2020-2021,Q_2021_CAP_P1,1,"[28, 29]",1,"[28, 105]",0
Grampian-2020-2021,Q_2021_COV_03,1,"[30, 63]",1,"[30, 63, 108]",0
Grampian-2020-2021,Q_2021_COV_04,1,"[30, 60, 63]",1,"[30, 80, 108]",0
Grampian-2020-2021,Q_2021_GOV_03,1,"[28, 89]",1,"[28, 105]",0
Grampian-2020-2021,Q_2021_IJB_07,0,"[17, 30, 132]",0,"[17, 68, 132]",0
Grampian-2020-2021,Q_2021_IJB_P2,1,"[29, 30]",1,"[29, 30]",0
Grampian-2020-2021,Q_2021_FIN_08,1,"[30, 75, 122]",1,"[30, 104, 122]",0
Grampian-2020-2021,Q_2021_CAP_03,1,"[4, 32]",1,"[4, 32]",0
Grampian-2020-2021,Q_2021_COV_P2,1,"[29, 30]",1,"[29, 30]",0
Grampian-2020-2021,Q_2021_STR_04,1,"[7, 8, 17]",1,"[8, 17]",0
Grampian-2020-2021,Q_2021_GOV_04,0,"[88, 114]",0,"[80, 86, 114]",0
Grampian-2020-2021,Q_2021_STR_05,1,"[7, 34, 38]",1,"[7, 34, 47]",0
Grampian-2020-2021,Q_2021_STR_P2,1,"[7, 28, 34]",1,"[7, 28, 34]",0
Grampian-2020-2021,Q_2021_CAP_04,1,"[30, 32, 63]",1,"[30, 32, 63]",0
Grampian-2020-2021,Q_2021_FIN_P3,0,"[28, 29]",1,"[29, 30]",1
Grampian-2020-2021,Q_2021_GOV_P1,0,"[37, 89, 132]",0,"[37, 89, 132]",0
Grampian-2020-2021,Q_2021_SAV_P2,1,[29],1,[29],0
Grampian-2020-2021,Q_2021_IJB_08,1,"[26, 27, 132]",1,"[26, 27, 86]",0
Grampian-2021-2022,Q_2022_FIN_01,1,"[12, 21, 22]",1,"[12, 21, 22]",0
Grampian-2021-2022,Q_2022_FIN_02,1,"[21, 22]",1,"[21, 22]",0
Grampian-2021-2022,Q_2022_FIN_03,1,"[21, 22]",1,"[21, 113]",0
Grampian-2021-2022,Q_2022_FIN_04,1,"[21, 22]",1,"[21, 22]",0
Grampian-2021-2022,Q_2022_FIN_05,1,"[21, 22]",1,"[21, 113, 123]",0
Grampian-2021-2022,Q_2022_FIN_06,1,"[21, 22]",1,"[21, 123]",0
Grampian-2021-2022,Q_2022_FIN_07,1,"[21, 22]",1,"[21, 123]",0
Grampian-2021-2022,Q_2022_FIN_P1,0,"[21, 27, 36]",0,"[21, 27, 36]",0
Grampian-2021-2022,Q_2022_SAV_01,1,"[22, 43]",1,"[22, 43]",0
Grampian-2021-2022,Q_2022_SAV_02,0,"[27, 28, 31]",0,"[27, 28, 31]",0
Grampian-2021-2022,Q_2022_SAV_03,1,"[22, 135]",1,"[22, 90, 135]",0
Grampian-2021-2022,Q_2022_SAV_04,1,"[9, 22]",1,"[9, 22]",0
Grampian-2021-2022,Q_2022_SAV_P1,1,[22],1,[22],0
Grampian-2021-2022,Q_2022_IJB_01,0,"[6, 38, 41]",0,"[6, 38, 88]",0
Grampian-2021-2022,Q_2022_IJB_02,1,"[19, 20, 140]",1,"[19, 20, 140]",0
Grampian-2021-2022,Q_2022_IJB_03,1,"[20, 21, 146]",1,"[20, 21, 146]",0
Grampian-2021-2022,Q_2022_IJB_04,1,"[19, 20]",1,"[19, 20]",0
Grampian-2021-2022,Q_2022_IJB_05,1,"[17, 20, 146]",1,"[17, 20, 146]",0
Grampian-2021-2022,Q_2022_IJB_06,1,"[19, 20]",1,"[19, 20]",0
Grampian-2021-2022,Q_2022_IJB_P1,1,"[19, 20]",1,"[19, 20]",0
Grampian-2021-2022,Q_2022_AE_01,1,"[12, 31]",1,"[12, 31]",0
Grampian-2021-2022,Q_2022_AE_02,1,"[12, 32]",1,"[12, 32]",0
Grampian-2021-2022,Q_2022_AE_03,1,"[12, 32]",1,"[12, 32]",0
Grampian-2021-2022,Q_2022_AE_04,1,"[12, 13]",1,"[12, 13]",0
Grampian-2021-2022,Q_2022_AE_P1,1,"[12, 32]",1,"[12, 32]",0
Grampian-2021-2022,Q_2022_STR_01,0,"[46, 51, 66]",0,"[46, 51, 66]",0
Grampian-2021-2022,Q_2022_STR_02,1,"[5, 9, 16]",1,"[5, 9, 16]",0
Grampian-2021-2022,Q_2022_STR_P1,0,"[5, 15, 80]",0,"[5, 15, 57]",0
Grampian-2021-2022,Q_2022_GOV_01,1,"[21, 25]",1,"[21, 25]",0
Grampian-2021-2022,Q_2022_GOV_02,1,"[21, 22]",1,"[21, 113]",0
Grampian-2021-2022,Q_2022_CAP_01,0,"[21, 22]",0,"[21, 22]",0
Grampian-2021-2022,Q_2022_CAP_02,1,"[25, 32, 82]",1,"[25, 32, 132]",0
Grampian-2021-2022,Q_2022_CAP_03,1,"[25, 68, 82]",1,"[25, 68, 82]",0
Grampian-2021-2022,Q_2022_COV_01,1,[22],1,[22],0
Grampian-2021-2022,Q_2022_GOPES_01,1,"[37, 38, 54]",1,"[37, 38, 54]",0
Grampian-2021-2022,Q_2022_FIN_08,0,"[12, 27, 80]",0,"[71, 78, 80]",0
Grampian-2021-2022,Q_2022_FIN_P2,1,"[23, 28, 76]",1,"[23, 71, 78]",0
Grampian-2021-2022,Q_2022_IJB_P2,1,"[17, 22, 23]",1,"[17, 22, 23]",0
Grampian-2021-2022,Q_2022_STR_03,1,"[16, 29, 135]",1,"[15, 16, 135]",0
Grampian-2021-2022,Q_2022_AE_P2,1,"[12, 31]",1,"[12, 31]",0
Grampian-2021-2022,Q_2022_GOV_P1,1,"[31, 53]",1,"[31, 53]",0
Grampian-2021-2022,Q_2022_CAP_P1,1,"[21, 25]",1,"[21, 25]",0
Grampian-2021-2022,Q_2022_FIN_09,1,"[22, 23, 115]",1,"[23, 88, 116]",0
Grampian-2021-2022,Q_2022_SAV_P2,1,"[22, 28]",1,"[22, 28]",0
Grampian-2021-2022,Q_2022_STR_04,1,"[15, 46]",1,"[15, 46]",0
Grampian-2021-2022,Q_2022_IJB_07,1,"[19, 20]",1,"[19, 94]",0
Grampian-2021-2022,Q_2022_GOV_03,1,"[17, 96, 122]",1,"[17, 94, 96]",0
Grampian-2021-2022,Q_2022_STR_P2,0,"[7, 28, 63]",0,"[7, 28, 63]",0
Grampian-2021-2022,Q_2022_FIN_12_P1,0,"[18, 81, 140]",0,"[81, 88, 89]",0
Grampian-2021-2022,Q_2022_GOV_05,0,"[27, 82, 135]",0,"[27, 28, 135]",0
Grampian-2022-2023,Q_2023_FIN_01,1,"[23, 24]",1,"[23, 24]",0
Grampian-2022-2023,Q_2023_FIN_02,1,"[23, 24, 121]",1,"[23, 24, 111]",0
Grampian-2022-2023,Q_2023_FIN_03,1,"[23, 24]",1,"[23, 24, 111]",0
Grampian-2022-2023,Q_2023_FIN_04,1,"[23, 151]",1,"[23, 151]",0
Grampian-2022-2023,Q_2023_FIN_05,1,"[23, 24]",1,"[23, 24, 111]",0
Grampian-2022-2023,Q_2023_FIN_06,1,"[23, 24]",1,"[23, 111, 122]",0
Grampian-2022-2023,Q_2023_FIN_07,0,"[20, 78, 117]",0,"[20, 117]",0
Grampian-2022-2023,Q_2023_FIN_08,1,"[20, 25, 149]",0,"[86, 149]",-1
Grampian-2022-2023,Q_2023_FIN_P1,1,"[23, 24]",1,"[23, 24]",0
Grampian-2022-2023,Q_2023_SAV_01,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_SAV_02,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_SAV_03,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_SAV_04,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_SAV_P1,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_IJB_01,1,"[5, 21, 53]",1,"[5, 21, 53]",0
Grampian-2022-2023,Q_2023_IJB_02,1,[21],1,[21],0
Grampian-2022-2023,Q_2023_IJB_03,1,"[4, 21, 31]",1,"[4, 21, 31]",0
Grampian-2022-2023,Q_2023_IJB_04,1,[21],1,[21],0
Grampian-2022-2023,Q_2023_IJB_05,0,"[5, 6, 53]",0,"[5, 6, 53]",0
Grampian-2022-2023,Q_2023_IJB_06,1,"[21, 22]",1,"[21, 22]",0
Grampian-2022-2023,Q_2023_IJB_P1,1,"[21, 22]",1,"[21, 22]",0
Grampian-2022-2023,Q_2023_AE_01,1,"[10, 11, 12]",1,"[10, 11, 12]",0
Grampian-2022-2023,Q_2023_AE_02,1,"[10, 12, 14]",1,"[10, 11, 12]",0
Grampian-2022-2023,Q_2023_AE_03,1,"[10, 12, 20]",1,"[10, 12, 20]",0
Grampian-2022-2023,Q_2023_AE_04,1,"[10, 12, 20]",1,"[10, 12, 20]",0
Grampian-2022-2023,Q_2023_AE_P1,1,"[10, 67, 79]",1,"[10, 67, 79]",0
Grampian-2022-2023,Q_2023_DEL_01,1,"[9, 11, 12]",1,"[9, 11, 12]",0
Grampian-2022-2023,Q_2023_DEL_02,1,"[10, 11, 12]",1,"[10, 11, 12]",0
Grampian-2022-2023,Q_2023_DEL_P1,1,"[10, 11, 21]",1,"[6, 11, 21]",0
Grampian-2022-2023,Q_2023_GOV_01,1,"[23, 24, 78]",1,"[23, 24, 78]",0
Grampian-2022-2023,Q_2023_GOV_02,1,"[24, 35, 92]",1,"[24, 35, 92]",0
Grampian-2022-2023,Q_2023_FIN_09,1,"[20, 24, 25]",1,"[20, 24, 25]",0
Grampian-2022-2023,Q_2023_COV_01,0,"[24, 39, 103]",0,"[24, 103, 149]",0
Grampian-2022-2023,Q_2023_COV_02,1,"[25, 79, 148]",1,"[25, 62, 79]",0
Grampian-2022-2023,Q_2023_FIN_10,0,"[27, 67, 110]",0,"[67, 75]",0
Grampian-2022-2023,Q_2023_FIN_P2,1,"[25, 67]",1,"[25, 67]",0
Grampian-2022-2023,Q_2023_PLAN_01,1,"[24, 39, 98]",1,"[24, 39, 98]",0
Grampian-2022-2023,Q_2023_GOV_03,0,"[90, 121, 149]",0,"[90, 119, 150]",0
Grampian-2022-2023,Q_2023_IJB_07,0,"[21, 29]",0,"[21, 29]",0
Grampian-2022-2023,Q_2023_AE_P2,1,"[10, 11, 24]",1,"[10, 11, 24]",0
Grampian-2022-2023,Q_2023_PLAN_02,1,"[4, 24, 74]",1,"[4, 24, 74]",0
Grampian-2022-2023,Q_2023_FIN_11,1,"[23, 24]",1,"[23, 24, 111]",0
Grampian-2022-2023,Q_2023_GOV_P1,1,"[24, 34]",1,"[24, 34]",0
Grampian-2022-2023,Q_2023_SAV_P2,1,"[4, 24]",1,"[4, 24]",0
Grampian-2022-2023,Q_2023_IJB_P2,1,[21],1,[21],0
Grampian-2022-2023,Q_2023_FIN_14,1,"[24, 25]",0,"[24, 78]",-1
Grampian-2022-2023,Q_2023_FIN_15,1,"[20, 24, 25]",1,"[20, 24, 25]",0
Grampian-2022-2023,Q_2023_FIN_16,0,"[24, 77]",0,"[24, 77]",0
Grampian-2022-2023,Q_2023_GOV_05,1,"[4, 24, 34]",1,"[4, 24, 58]",0
Grampian-2022-2023,Q_2023_AE_07,1,"[10, 11, 12]",1,"[10, 11, 12]",0
Grampian-2023-2024,Q_2024_FIN_01,1,"[26, 27]",1,"[26, 27, 118]",0
Grampian-2023-2024,Q_2024_FIN_02,1,"[26, 27]",1,"[26, 27]",0
Grampian-2023-2024,Q_2024_FIN_03,1,"[26, 27]",1,"[26, 27]",0
Grampian-2023-2024,Q_2024_FIN_04,1,"[26, 27]",1,"[26, 27, 118]",0
Grampian-2023-2024,Q_2024_FIN_05,1,"[4, 27, 39]",1,"[4, 27, 39]",0
Grampian-2023-2024,Q_2024_FIN_06,1,"[26, 27, 118]",1,"[26, 27, 118]",0
Grampian-2023-2024,Q_2024_FIN_07,1,"[29, 31, 154]",1,"[29, 155, 157]",0
Grampian-2023-2024,Q_2024_FIN_08,0,"[4, 85]",0,"[4, 124]",0
Grampian-2023-2024,Q_2024_FIN_09,1,"[27, 28, 70]",1,"[27, 28, 70]",0
Grampian-2023-2024,Q_2024_FIN_10,1,"[29, 73]",1,"[29, 122]",0
Grampian-2023-2024,Q_2024_FIN_11,0,"[116, 138]",0,"[88, 116, 138]",0
Grampian-2023-2024,Q_2024_FIN_12,1,"[23, 154]",1,"[23, 154]",0
Grampian-2023-2024,Q_2024_FIN_13,1,"[5, 35, 84]",0,"[35, 82, 84]",-1
Grampian-2023-2024,Q_2024_FIN_14,0,"[26, 27, 31]",1,"[27, 118]",1
Grampian-2023-2024,Q_2024_SAV_01,1,"[4, 28]",1,"[4, 28]",0
Grampian-2023-2024,Q_2024_SAV_02,1,"[4, 28, 29]",1,"[4, 28, 29]",0
Grampian-2023-2024,Q_2024_SAV_03,1,"[4, 28, 66]",1,"[4, 28, 66]",0
Grampian-2023-2024,Q_2024_SAV_04,1,"[4, 11, 28]",1,"[4, 11, 28]",0
Grampian-2023-2024,Q_2024_SAV_05,1,"[4, 28, 59]",1,"[4, 28]",0
Grampian-2023-2024,Q_2024_SAV_06,1,"[4, 28, 66]",1,"[4, 28]",0
Grampian-2023-2024,Q_2024_IJB_01,1,"[24, 25]",1,"[24, 25]",0
Grampian-2023-2024,Q_2024_IJB_02,1,[24],1,[24],0
Grampian-2023-2024,Q_2024_IJB_03,1,"[24, 25]",1,"[24, 25]",0
Grampian-2023-2024,Q_2024_IJB_04,1,"[24, 30]",1,"[24, 30]",0
Grampian-2023-2024,Q_2024_IJB_05,1,"[24, 29]",1,"[24, 29]",0
Grampian-2023-2024,Q_2024_IJB_06,1,"[22, 99, 154]",1,"[22, 95, 154]",0
Grampian-2023-2024,Q_2024_IJB_07,1,"[29, 30, 154]",1,"[29, 30, 155]",0
Grampian-2023-2024,Q_2024_IJB_08,1,"[24, 25]",1,"[24, 25]",0
Grampian-2023-2024,Q_2024_AE_01,1,"[12, 85, 87]",1,"[12, 34, 85]",0
Grampian-2023-2024,Q_2024_AE_02,1,"[12, 14, 87]",1,"[12, 14, 87]",0
Grampian-2023-2024,Q_2024_AE_03,1,"[3, 12, 14]",1,"[3, 12, 14]",0
Grampian-2023-2024,Q_2024_AE_04,1,"[12, 14, 16]",1,"[12, 14, 16]",0
Grampian-2023-2024,Q_2024_AE_05,1,"[12, 13, 14]",1,"[12, 13, 14]",0
Grampian-2023-2024,Q_2024_AE_06,1,"[12, 13, 14]",1,"[12, 13, 14]",0
Grampian-2023-2024,Q_2024_DEL_01,1,"[6, 53]",1,"[6, 53]",0
Grampian-2023-2024,Q_2024_DEL_02,0,"[10, 53]",0,"[10, 53]",0
Grampian-2023-2024,Q_2024_DEL_03,1,"[6, 53]",1,"[6, 53]",0
Grampian-2023-2024,Q_2024_DEL_04,1,"[6, 53]",1,"[6, 53]",0
Grampian-2023-2024,Q_2024_DEL_05,1,"[6, 10, 54]",1,"[6, 10, 54]",0
Grampian-2023-2024,Q_2024_ESC_01,1,"[4, 27, 62]",1,"[4, 27]",0
Grampian-2023-2024,Q_2024_ESC_02,0,"[34, 84, 154]",0,"[34, 84, 154]",0
Grampian-2023-2024,Q_2024_ESC_03,1,"[4, 21, 59]",1,"[4, 21, 59]",0
Grampian-2023-2024,Q_2024_ESC_04,1,"[56, 59]",1,"[54, 56]",0
Grampian-2023-2024,Q_2024_GOPES_01,1,"[53, 56]",1,"[53, 56]",0
Grampian-2023-2024,Q_2024_GOPES_02,1,"[48, 56]",1,"[48, 56]",0
Grampian-2023-2024,Q_2024_GOV_01,1,"[28, 64]",1,"[26, 28]",0
Grampian-2023-2024,Q_2024_GOV_02,1,"[28, 30]",1,"[28, 30]",0
Grampian-2023-2024,Q_2024_GOV_03,0,"[28, 31, 102]",0,"[28, 31, 102]",0
Grampian-2023-2024,Q_2024_GOV_04,1,"[33, 131]",1,"[33, 131]",0
Grampian-2023-2024,Q_2024_GOV_05,1,"[4, 23, 31]",1,"[4, 31, 123]",0
Grampian-2024-2025,Q_2025_FIN_01,0,"[29, 30]",0,"[29, 30]",0
Grampian-2024-2025,Q_2025_FIN_02,1,"[28, 29]",1,"[28, 29]",0
Grampian-2024-2025,Q_2025_FIN_03,1,"[28, 29]",1,"[28, 29]",0
Grampian-2024-2025,Q_2025_FIN_04,1,"[28, 29]",1,"[28, 168]",0
Grampian-2024-2025,Q_2025_FIN_05,1,"[28, 29]",1,"[28, 29, 128]",0
Grampian-2024-2025,Q_2025_FIN_06,1,"[28, 29]",1,"[28, 29, 128]",0
Grampian-2024-2025,Q_2025_FIN_07,1,"[4, 29]",1,"[4, 29]",0
Grampian-2024-2025,Q_2025_FIN_P1,1,"[29, 30]",1,"[29, 30]",0
Grampian-2024-2025,Q_2025_FIN_08,0,"[25, 35, 95]",0,"[35, 103, 166]",0
Grampian-2024-2025,Q_2025_FIN_09,1,"[24, 31, 33]",1,"[31, 33, 45]",0
Grampian-2024-2025,Q_2025_FIN_P2,1,"[28, 29]",1,"[28, 29, 128]",0
Grampian-2024-2025,Q_2025_SAV_01,0,"[3, 74, 96]",0,"[3, 74, 96]",0
Grampian-2024-2025,Q_2025_SAV_02,0,"[25, 95, 158]",0,"[25, 95, 158]",0
Grampian-2024-2025,Q_2025_SAV_03,1,"[29, 31]",1,"[29, 31]",0
Grampian-2024-2025,Q_2025_SAV_04,1,"[29, 31]",1,"[31, 45]",0
Grampian-2024-2025,Q_2025_SAV_P1,1,"[31, 33]",1,"[31, 33]",0
Grampian-2024-2025,Q_2025_SAV_P2,1,"[3, 29, 31]",1,"[31, 44, 45]",0
Grampian-2024-2025,Q_2025_IJB_01,1,"[26, 27, 32]",1,"[26, 84, 87]",0
Grampian-2024-2025,Q_2025_IJB_02,1,"[26, 32, 165]",1,"[26, 165]",0
Grampian-2024-2025,Q_2025_IJB_03,1,"[26, 32]",0,"[84, 106, 166]",-1
Grampian-2024-2025,Q_2025_IJB_04,1,"[27, 29]",1,"[26, 27]",0
Grampian-2024-2025,Q_2025_IJB_05,1,"[26, 30]",1,"[26, 30]",0
Grampian-2024-2025,Q_2025_IJB_06,1,"[26, 27]",1,"[26, 27]",0
Grampian-2024-2025,Q_2025_IJB_P1,1,"[30, 32, 74]",1,"[30, 32, 45]",0
Grampian-2024-2025,Q_2025_AE_01,0,"[9, 35, 79]",0,"[9, 15, 35]",0
Grampian-2024-2025,Q_2025_AE_02,1,"[14, 15, 72]",1,"[14, 15, 72]",0
Grampian-2024-2025,Q_2025_AE_03,1,"[14, 15, 16]",1,"[14, 15, 16]",0
Grampian-2024-2025,Q_2025_AE_04,1,"[14, 15, 16]",1,"[14, 15, 16]",0
Grampian-2024-2025,Q_2025_AE_P1,1,"[14, 18, 93]",1,"[14, 45, 93]",0
Grampian-2024-2025,Q_2025_DEL_01,1,"[11, 13, 62]",1,"[11, 12, 13]",0
Grampian-2024-2025,Q_2025_DEL_02,1,"[11, 13, 16]",1,"[11, 12, 13]",0
Grampian-2024-2025,Q_2025_DEL_03,1,"[11, 13, 16]",1,"[11, 12, 16]",0
Grampian-2024-2025,Q_2025_DEL_04,1,"[11, 13, 16]",1,"[11, 12, 16]",0
Grampian-2024-2025,Q_2025_DEL_P1,0,"[11, 62, 74]",0,"[11, 62, 74]",0
Grampian-2024-2025,Q_2025_STR_01,1,"[7, 54, 62]",1,"[7, 54, 62]",0
Grampian-2024-2025,Q_2025_ESC_01,1,"[9, 29, 30]",1,"[9, 29, 30]",0
Grampian-2024-2025,Q_2025_ESC_02,1,"[4, 30]",1,"[4, 30]",0
Grampian-2024-2025,Q_2025_ESC_P1,1,"[4, 30]",1,"[4, 30]",0
Grampian-2024-2025,Q_2025_ESC_P2,1,"[4, 30]",1,"[4, 30]",0
Grampian-2024-2025,Q_2025_PLAN_01,1,"[30, 79]",1,"[30, 79]",0
Grampian-2024-2025,Q_2025_GOPES_01,1,"[9, 65]",1,"[9, 65]",0
Grampian-2024-2025,Q_2025_FIN_10,1,"[28, 33]",0,"[33, 133, 168]",-1
Grampian-2024-2025,Q_2025_FIN_11,1,"[25, 33, 74]",1,"[25, 33, 133]",0
Grampian-2024-2025,Q_2025_FIN_12,1,"[31, 82, 89]",1,"[31, 45, 91]",0
Grampian-2024-2025,Q_2025_FIN_13,1,"[32, 125, 148]",1,"[32, 125, 148]",0
Grampian-2024-2025,Q_2025_GOV_01,1,"[28, 29]",1,"[28, 29]",0
Grampian-2024-2025,Q_2025_FIN_P3,1,"[29, 62]",1,"[29, 62]",0
Grampian-2024-2025,Q_2025_FIN_17,1,"[25, 33, 74]",1,"[25, 33, 133]",0
Grampian-2024-2025,Q_2025_FIN_18,1,"[31, 82]",1,"[31, 91]",0
Grampian-2024-2025,Q_2025_GOV_02,1,"[11, 13, 62]",1,"[11, 12, 62]",0
