arm,doc_id,query_id,difficulty,judge_status,judge_label,judge_rationale_short,quote_contains_gold,answer_mismatch_type,expected_answer,model_answer,evidence_quote,judge_raw_output
quote_then_answer,Grampian-2022-2023,Q_2023_PLAN_02,STR,ok,quote_supports_gold_but_answer_misread,"The quote mentions the initiation of a value and sustainability programme, but the model answer omits the details about short-term efficiency savings and longer-term sustainable services and pathways of care.",True,misread_number,A local value and sustainability programme to develop and deliver short-term efficiency savings and longer-term sustainable services and pathways of care,A value and sustainability programme was initiated in 2022/23.,"During this period of preparing for the future your input and support will be important, and I would thank you in advance for working with colleagues and services as we make the necessary changes over the coming months. It is a privilege to be the Chief Executive at this time and I am incredibly grateful for your support.","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote mentions the initiation of a value and sustainability programme, but the model answer omits the details about short-term efficiency savings and longer-term sustainable services and pathways of care."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
quote_then_answer,Grampian-2023-2024,Q_2024_SAV_01,LEX,ok,quote_supports_gold_but_answer_misread,The quote contains the correct figures but the model answer misreads the target amount.,True,misread_number,£17.52 million achieved against a target of £16.51 million,Efficiency savings of £17.52 million were achieved against a target of £16.51 million for NHS Grampian services.,Efficiency savings of £17.52 million (2022/23 £10.2 million) were achieved against a target of £16.51 million (2022/23 £5.4 million) for NHS Grampian services.,"{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct figures but the model answer misreads the target amount."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
quote_then_answer,Grampian-2024-2025,Q_2025_FIN_07,LEX,ok,quote_supports_gold_but_answer_misread,"The quote contains the correct amount, but the model answer uses the wrong unit (million instead of thousand).",True,wrong_unit,"£65,200 (£000)",£65.2 million,The Scottish Government has provided the Board with financial support in the form of repayable brokerage of £65.2 million for a second year (2023/24 £24.8 million).,"{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct amount, but the model answer uses the wrong unit (million instead of thousand)."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""wrong_unit""
}"
quote_then_answer,Grampian-2024-2025,Q_2025_SAV_P1,MOD,ok,quote_supports_gold_but_answer_misread,"The quote contains the correct information, but the model answer misreads the 'technical adjustments' amount as part of the savings, which is not mentioned in the question.",True,misread_number,"Agency spend including medical locum and nursing costs, hospital drug cost savings from switching to generic medicines, staff cost control including vacancy freeze and overtime reduction, procurement, increased catering charges","The main sources of efficiency savings delivered in 2024/25 were in the areas of agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.","The main savings achieved in addition to technical adjustments (£28.6m) were in the areas of agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.","{
    ""judge_label"": ""quote_supports_gold_but_answer_misread"",
    ""judge_rationale_short"": ""The quote contains the correct information, but the model answer misreads the 'technical adjustments' amount as part of the savings, which is not mentioned in the question."",
    ""quote_contains_gold"": true,
    ""answer_mismatch_type"": ""misread_number""
}"
constrained_extraction,Grampian-2020-2021,Q_2021_FIN_02,MOD,ok,quote_supports_gold_but_answer_misread,The quote contains the correct amount but the model answer is missing the currency symbol and thousand separator.,True,misread_number,"£1,278,002 (£000)","1,278,002","Core Revenue Resource Limit 1,278,771 1,278,002 769","{
    ""judge_label"": ""quote_supports_gold_but_answer_misread"",
    ""judge_rationale_short"": ""The quote contains the correct amount but the model answer is missing the currency symbol and thousand separator."",
    ""quote_contains_gold"": true,
    ""answer_mismatch_type"": ""misread_number""
}"
constrained_extraction,Grampian-2020-2021,Q_2021_FIN_P2,STR,ok,quote_supports_gold_but_answer_misread,"The quote contains the exact Cash Requirement amount, but the model answer is missing the context of 'NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance'.",True,misread_number,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance","1,298,124","Cash Requirement 1,298,124 1,298,124 -","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the exact Cash Requirement amount, but the model answer is missing the context of 'NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance'."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
constrained_extraction,Grampian-2021-2022,Q_2022_FIN_04,LEX,ok,quote_supports_gold_but_answer_misread,The quote contains the correct number but the model answer is missing the currency symbol and the thousand separator.,True,misread_number,"£1,434,610 (£000)","1,434,610","Cash Requirement 1,434,610 1,434,610 -","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct number but the model answer is missing the currency symbol and the thousand separator."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
constrained_extraction,Grampian-2022-2023,Q_2023_DEL_01,MOD,ok,quote_supports_gold_but_answer_misread,"The quote correctly states 70 patients were more than 3 days delayed, but the model answer incorrectly omits the '70' and only provides the number '72'.",True,wrong_span,72 patients (70 delayed more than 3 days),70,70 were more than 3 days delayed at the March 2023 census date,"{
    ""judge_label"": ""quote_supports_gold_but_answer_misread"",
    ""judge_rationale_short"": ""The quote correctly states 70 patients were more than 3 days delayed, but the model answer incorrectly omits the '70' and only provides the number '72'."",
    ""quote_contains_gold"": true,
    ""answer_mismatch_type"": ""wrong_span""
}"
constrained_extraction,Grampian-2022-2023,Q_2023_PLAN_02,STR,ok,quote_irrelevant,The quoted text does not mention the value and sustainability programme initiated in 2022/23.,False,uncertain,A local value and sustainability programme to develop and deliver short-term efficiency savings and longer-term sustainable services and pathways of care,"During this period of preparing for the future your input and support will be important, and I would thank you in advance for working with colleagues and services as we make the necessary changes over the coming months. It is a privilege to be the Chief Executive at this time and I am incredibly grateful for your support.","During this period of preparing for the future your input and support will be important, and I would thank you in advance for working with colleagues and services as we make the necessary changes over the coming months. It is a privilege to be the Chief Executive at this time and I am incredibly grateful for your support.","{
    ""judge_label"": ""quote_irrelevant"",
    ""judge_rationale_short"": ""The quoted text does not mention the value and sustainability programme initiated in 2022/23."",
    ""quote_contains_gold"": false,
    ""answer_mismatch_type"": ""uncertain""
}"
constrained_extraction,Grampian-2024-2025,Q_2025_FIN_07,LEX,ok,quote_supports_gold_but_answer_misread,"The quote contains the correct amount, but the model answer uses a different format (million vs thousand).",True,misread_number,"£65,200 (£000)",£65.2 million,repayable brokerage of £65.2 million for a second year (2023/24 £24.8 million).,"{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct amount, but the model answer uses a different format (million vs thousand)."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
constrained_extraction,Grampian-2024-2025,Q_2025_SAV_P1,MOD,ok,quote_supports_gold_but_answer_misread,The quote contains the correct information but the model answer misreads the 'increased charges for catering' part as 'increased catering charges'.,True,wrong_span,"Agency spend including medical locum and nursing costs, hospital drug cost savings from switching to generic medicines, staff cost control including vacancy freeze and overtime reduction, procurement, increased catering charges","agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.","The main savings achieved in addition to technical adjustments (£28.6m) were in the areas of agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct information but the model answer misreads the 'increased charges for catering' part as 'increased catering charges'."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""wrong_span""
}"
