page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
20,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4243,,,,,,,,
21,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4447,,,,,,,,
22,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4271,,,,,,,,
23,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3933,,,,,,,,
24,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2724,,,,,,,,
25,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1195,,,,,,,,
26,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1289,,,,,,,,
27,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1626,,,,,,,,
28,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1287,,,,,,,,
29,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1647,,,,,,,,
30,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,227,,,,,,,,
31,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1095,,,,,,,,
32,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1619,,,,,,,,
33,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1223,,,,,,,,
34,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3919,,,,,,,,
35,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3698,,,,,,,,
36,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,915,,,,,,,,
37,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1055,,,,,,,,
38,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1106,,,,,,,,
39,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1319,,,,,,,,
40,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1836,,,,,,,,
41,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1918,,,,,,,,
42,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3238,,,,,,,,
43,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3289,,,,,,,,
44,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3575,,,,,,,,
45,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2550,,,,,,,,
46,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3011,,,,,,,,
47,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3287,,,,,,,,
48,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3541,,,,,,,,
49,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3893,,,,,,,,
50,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3240,,,,,,,,
51,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3848,,,,,,,,
52,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3511,,,,,,,,
53,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1850,,,,,,,,
54,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1030,,,,,,,,
55,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1563,,,,,,,,
56,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,992,,,,,,,,
57,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1651,,,,,,,,
58,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1269,,,,,,,,
59,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1136,,,,,,,,
60,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1216,,,,,,,,
61,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1155,,,,,,,,
62,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2114,,,,,,,,
63,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1158,,,,,,,,
64,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1305,,,,,,,,
65,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1630,,,,,,,,
66,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2084,,,,,,,,
67,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3451,,,,,,,,
68,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1366,,,,,,,,
69,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1722,,,,,,,,
70,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3184,,,,,,,,
71,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1194,,,,,,,,
72,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1031,,,,,,,,
73,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1894,,,,,,,,
74,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1554,,,,,,,,
75,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2894,,,,,,,,
76,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2497,,,,,,,,
77,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,905,,,,,,,,
78,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1305,,,,,,,,
79,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1740,,,,,,,,
80,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1137,,,,,,,,
