strategy,doc_id,query_id,failure_type,page_hit
rrf,Grampian-2020-2021,Q_2021_IJB_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_GOV_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_GOV_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_STR_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_STR_02,HIT,1
rrf,Grampian-2020-2021,Q_2021_STR_03,HIT,1
rrf,Grampian-2020-2021,Q_2021_STR_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_CAP_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_CAP_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_CAP_P1,FP7_INCOMPLETE,1
rrf,Grampian-2020-2021,Q_2021_COV_03,HIT,1
rrf,Grampian-2020-2021,Q_2021_COV_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_GOV_03,FP7_INCOMPLETE,1
rrf,Grampian-2020-2021,Q_2021_IJB_07,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_IJB_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_FIN_08,HIT,1
rrf,Grampian-2020-2021,Q_2021_CAP_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_COV_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_STR_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_GOV_04,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_STR_05,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_STR_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_CAP_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_FIN_P3,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_GOV_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_SAV_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_IJB_08,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_FIN_01,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_02,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_FIN_04,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_05,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_06,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_07,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_FIN_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_SAV_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_SAV_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_SAV_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_SAV_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_SAV_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_IJB_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_IJB_02,HIT,1
rrf,Grampian-2021-2022,Q_2022_IJB_03,HIT,1
rrf,Grampian-2021-2022,Q_2022_IJB_04,HIT,1
rrf,Grampian-2021-2022,Q_2022_IJB_05,HIT,1
rrf,Grampian-2021-2022,Q_2022_IJB_06,HIT,1
rrf,Grampian-2021-2022,Q_2022_IJB_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_AE_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_AE_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_AE_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_AE_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_AE_P1,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_STR_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_STR_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_STR_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_GOV_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_GOV_02,FP7_INCOMPLETE,1
rrf,Grampian-2021-2022,Q_2022_CAP_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_CAP_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_CAP_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_COV_01,HIT,1
rrf,Grampian-2021-2022,Q_2022_GOPES_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_FIN_08,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_FIN_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_IJB_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_STR_03,HIT,1
rrf,Grampian-2021-2022,Q_2022_AE_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_GOV_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_CAP_P1,HIT,1
rrf,Grampian-2021-2022,Q_2022_FIN_09,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_SAV_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2021-2022,Q_2022_STR_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_IJB_07,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2021-2022,Q_2022_GOV_03,HIT,1
rrf,Grampian-2021-2022,Q_2022_STR_P2,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_FIN_12_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2021-2022,Q_2022_GOV_05,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_FIN_01,FP5_WRONG_FORMAT,1
rrf,Grampian-2022-2023,Q_2023_FIN_02,FP5_WRONG_FORMAT,1
rrf,Grampian-2022-2023,Q_2023_FIN_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_FIN_04,FP5_WRONG_FORMAT,1
rrf,Grampian-2022-2023,Q_2023_FIN_05,FP7_INCOMPLETE,1
rrf,Grampian-2022-2023,Q_2023_FIN_06,FP5_WRONG_FORMAT,1
rrf,Grampian-2022-2023,Q_2023_FIN_07,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_FIN_08,FP7_INCOMPLETE,1
rrf,Grampian-2022-2023,Q_2023_FIN_P1,FP4_NOT_EXTRACTED,1
rrf,Grampian-2022-2023,Q_2023_SAV_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_SAV_02,HIT,1
rrf,Grampian-2022-2023,Q_2023_SAV_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_SAV_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_SAV_P1,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_IJB_01,HIT,1
rrf,Grampian-2022-2023,Q_2023_IJB_02,HIT,1
rrf,Grampian-2022-2023,Q_2023_IJB_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_IJB_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_IJB_05,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_IJB_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_IJB_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_AE_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_AE_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_AE_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_AE_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_AE_P1,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_DEL_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_DEL_02,HIT,1
rrf,Grampian-2022-2023,Q_2023_DEL_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_GOV_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_GOV_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_FIN_09,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_COV_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_COV_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_FIN_10,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_FIN_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_PLAN_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_GOV_03,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_IJB_07,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_AE_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_PLAN_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_FIN_11,FP5_WRONG_FORMAT,1
rrf,Grampian-2022-2023,Q_2023_GOV_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_SAV_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_IJB_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_FIN_14,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_FIN_15,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2022-2023,Q_2023_FIN_16,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2022-2023,Q_2023_GOV_05,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2022-2023,Q_2023_AE_07,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_01,HIT,1
rrf,Grampian-2023-2024,Q_2024_FIN_02,HIT,1
rrf,Grampian-2023-2024,Q_2024_FIN_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_04,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_FIN_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_07,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_08,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_FIN_09,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_10,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_11,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_FIN_12,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_FIN_13,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_FIN_14,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_SAV_01,FP5_WRONG_FORMAT,1
rrf,Grampian-2023-2024,Q_2024_SAV_02,FP5_WRONG_FORMAT,1
rrf,Grampian-2023-2024,Q_2024_SAV_03,FP5_WRONG_FORMAT,1
rrf,Grampian-2023-2024,Q_2024_SAV_04,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_SAV_05,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_SAV_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_IJB_01,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_IJB_02,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_IJB_03,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_IJB_04,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_IJB_05,HIT,1
rrf,Grampian-2023-2024,Q_2024_IJB_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_IJB_07,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_IJB_08,FP7_INCOMPLETE,1
rrf,Grampian-2023-2024,Q_2024_AE_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_AE_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_AE_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_AE_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_AE_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_AE_06,HIT,1
rrf,Grampian-2023-2024,Q_2024_DEL_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_DEL_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_DEL_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2023-2024,Q_2024_DEL_04,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_DEL_05,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_ESC_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_ESC_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_ESC_03,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_ESC_04,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_GOPES_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_GOPES_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_GOV_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_GOV_02,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2023-2024,Q_2024_GOV_03,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2023-2024,Q_2024_GOV_04,HIT,1
rrf,Grampian-2023-2024,Q_2024_GOV_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_FIN_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_04,FP7_INCOMPLETE,1
rrf,Grampian-2024-2025,Q_2025_FIN_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_07,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_P1,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_08,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_FIN_09,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_SAV_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_SAV_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_SAV_03,HIT,1
rrf,Grampian-2024-2025,Q_2025_SAV_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_SAV_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_SAV_P2,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_IJB_01,HIT,1
rrf,Grampian-2024-2025,Q_2025_IJB_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_IJB_03,HIT,1
rrf,Grampian-2024-2025,Q_2025_IJB_04,HIT,1
rrf,Grampian-2024-2025,Q_2025_IJB_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_IJB_06,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_IJB_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_AE_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_AE_02,HIT,1
rrf,Grampian-2024-2025,Q_2025_AE_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_AE_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_AE_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_DEL_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_DEL_02,HIT,1
rrf,Grampian-2024-2025,Q_2025_DEL_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_DEL_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_DEL_P1,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2024-2025,Q_2025_STR_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_ESC_01,FP7_INCOMPLETE,1
rrf,Grampian-2024-2025,Q_2025_ESC_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_ESC_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_ESC_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_PLAN_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_GOPES_01,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_FIN_10,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_11,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_12,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_13,HIT,1
rrf,Grampian-2024-2025,Q_2025_GOV_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_P3,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2024-2025,Q_2025_FIN_17,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_FIN_18,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2024-2025,Q_2025_GOV_02,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_01,FP5_WRONG_FORMAT,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_02,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_03,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_P1,FP4_NOT_EXTRACTED,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_04,FP5_WRONG_FORMAT,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_05,FP7_INCOMPLETE,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_06,FP7_INCOMPLETE,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_07,FP4_NOT_EXTRACTED,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_P2,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_SAV_01,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_SAV_02,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_SAV_03,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_SAV_04,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_SAV_P1,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_COV_01,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_COV_02,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_COV_P1,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_IJB_01,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_IJB_02,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_03,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_04,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_05,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_06,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_P1,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_GOV_01,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_GOV_02,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_STR_01,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_STR_02,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_STR_03,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_STR_P1,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_CAP_01,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_CAP_02,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_CAP_P1,FP7_INCOMPLETE,1
score_fusion,Grampian-2020-2021,Q_2021_COV_03,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_COV_04,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_GOV_03,FP7_INCOMPLETE,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_07,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_IJB_P2,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_08,HIT,1
score_fusion,Grampian-2020-2021,Q_2021_CAP_03,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_COV_P2,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_STR_04,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_GOV_04,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_STR_05,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_STR_P2,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_CAP_04,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2020-2021,Q_2021_FIN_P3,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_GOV_P1,FP2_MISSED_TOP_RANK,0
score_fusion,Grampian-2020-2021,Q_2021_SAV_P2,FP3_NOT_IN_CONTEXT,1
score_fusion,Grampian-2020-2021,Q_2021_IJB_08,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_01,FP7_INCOMPLETE,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_02,FP7_INCOMPLETE,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_03,FP6_INCORRECT_SPECIFICITY,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_04,FP7_INCOMPLETE,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_05,FP7_INCOMPLETE,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_06,FP7_INCOMPLETE,1
score_fusion,Grampian-2021-2022,Q_2022_FIN_07,FP7_INCOMPLETE,1
