variant_base,doc_id,query_id,hit3_base,gold_pages_base,pred_pages_base,variant_fix12,hit3_fix12,gold_pages_fix12,pred_pages_fix12,delta_hit
baseline,Grampian-2020-2021,Q_2021_IJB_P1,0,[27],"[28, 30]",fix12,0,[27],"[6, 28]",0
baseline,Grampian-2020-2021,Q_2021_GOV_01,1,[28],"[7, 28]",fix12,1,[28],"[7, 28]",0
baseline,Grampian-2020-2021,Q_2021_GOV_02,1,[28],"[28, 31]",fix12,1,[28],"[28, 31]",0
baseline,Grampian-2020-2021,Q_2021_STR_01,0,[6],"[38, 74, 127]",fix12,0,[6],"[38, 68, 74]",0
baseline,Grampian-2020-2021,Q_2021_STR_02,1,[6],"[6, 30, 89]",fix12,1,[6],"[6, 30, 89]",0
baseline,Grampian-2020-2021,Q_2021_STR_03,1,[6],"[6, 38, 63]",fix12,1,[6],"[6, 17, 38]",0
baseline,Grampian-2020-2021,Q_2021_STR_P1,0,[6],"[22, 38, 131]",fix12,0,[6],"[22, 38, 131]",0
baseline,Grampian-2020-2021,Q_2021_CAP_01,1,[32],"[24, 32, 73]",fix12,1,[32],"[32, 73, 108]",0
baseline,Grampian-2020-2021,Q_2021_CAP_02,1,[32],"[28, 32]",fix12,1,[32],"[28, 32]",0
baseline,Grampian-2020-2021,Q_2021_CAP_P1,1,[28],"[28, 29]",fix12,1,[28],"[28, 105]",0
baseline,Grampian-2020-2021,Q_2021_COV_03,1,[30],"[30, 63]",fix12,1,[30],"[30, 63, 108]",0
baseline,Grampian-2020-2021,Q_2021_COV_04,1,[30],"[30, 60, 63]",fix12,1,[30],"[30, 80, 108]",0
baseline,Grampian-2020-2021,Q_2021_GOV_03,1,[28],"[28, 89]",fix12,1,[28],"[28, 105]",0
baseline,Grampian-2020-2021,Q_2021_IJB_07,0,[31],"[17, 30, 132]",fix12,0,[31],"[17, 68, 132]",0
baseline,Grampian-2020-2021,Q_2021_IJB_P2,1,[30],"[29, 30]",fix12,1,[30],"[29, 30]",0
baseline,Grampian-2020-2021,Q_2021_FIN_08,1,[30],"[30, 75, 122]",fix12,1,[30],"[30, 104, 122]",0
baseline,Grampian-2020-2021,Q_2021_CAP_03,1,[32],"[4, 32]",fix12,1,[32],"[4, 32]",0
baseline,Grampian-2020-2021,Q_2021_COV_P2,1,[29],"[29, 30]",fix12,1,[29],"[29, 30]",0
baseline,Grampian-2020-2021,Q_2021_STR_04,1,[17],"[7, 8, 17]",fix12,1,[17],"[8, 17]",0
baseline,Grampian-2020-2021,Q_2021_GOV_04,0,[23],"[88, 114]",fix12,0,[23],"[80, 86, 114]",0
baseline,Grampian-2020-2021,Q_2021_STR_05,1,[7],"[7, 34, 38]",fix12,1,[7],"[7, 34, 38]",0
baseline,Grampian-2020-2021,Q_2021_STR_P2,1,[7],"[7, 28, 34]",fix12,1,[7],"[7, 28, 34]",0
baseline,Grampian-2020-2021,Q_2021_CAP_04,1,[32],"[30, 32, 63]",fix12,1,[32],"[30, 32, 63]",0
baseline,Grampian-2020-2021,Q_2021_FIN_P3,0,[30],"[28, 29]",fix12,1,[30],"[29, 30]",1
baseline,Grampian-2020-2021,Q_2021_GOV_P1,0,[23],"[37, 89, 132]",fix12,1,[23],"[23, 89, 132]",1
baseline,Grampian-2020-2021,Q_2021_SAV_P2,1,[29],[29],fix12,1,[29],[29],0
baseline,Grampian-2020-2021,Q_2021_IJB_08,1,[26],"[26, 27, 132]",fix12,1,[26],"[26, 27, 86]",0
baseline,Grampian-2021-2022,Q_2022_FIN_01,1,[21],"[12, 21, 22]",fix12,1,[21],"[12, 21, 22]",0
baseline,Grampian-2021-2022,Q_2022_FIN_02,1,[21],"[21, 22]",fix12,1,[21],"[21, 22]",0
baseline,Grampian-2021-2022,Q_2022_FIN_03,1,[21],"[21, 22]",fix12,1,[21],"[21, 113]",0
baseline,Grampian-2021-2022,Q_2022_FIN_04,1,[21],"[21, 22]",fix12,1,[21],"[21, 22]",0
baseline,Grampian-2021-2022,Q_2022_FIN_05,1,[21],"[21, 22]",fix12,1,[21],"[21, 113, 123]",0
baseline,Grampian-2021-2022,Q_2022_FIN_06,1,[21],"[21, 22]",fix12,1,[21],"[21, 123]",0
baseline,Grampian-2021-2022,Q_2022_FIN_07,1,[21],"[21, 22]",fix12,1,[21],"[21, 123]",0
baseline,Grampian-2021-2022,Q_2022_FIN_P1,0,[22],"[21, 27, 36]",fix12,0,[22],"[21, 27, 36]",0
baseline,Grampian-2021-2022,Q_2022_SAV_01,1,[22],"[22, 43]",fix12,1,[22],"[22, 43]",0
baseline,Grampian-2021-2022,Q_2022_SAV_02,0,[22],"[27, 28, 31]",fix12,0,[22],"[27, 28, 31]",0
baseline,Grampian-2021-2022,Q_2022_SAV_03,1,[22],"[22, 135]",fix12,1,[22],"[22, 90, 135]",0
baseline,Grampian-2021-2022,Q_2022_SAV_04,1,[22],"[9, 22]",fix12,1,[22],"[9, 22]",0
baseline,Grampian-2021-2022,Q_2022_SAV_P1,1,[22],[22],fix12,1,[22],[22],0
baseline,Grampian-2021-2022,Q_2022_IJB_01,0,[19],"[6, 38, 41]",fix12,0,[19],"[6, 41, 88]",0
baseline,Grampian-2021-2022,Q_2022_IJB_02,1,[19],"[19, 20, 140]",fix12,1,[19],"[19, 20, 140]",0
baseline,Grampian-2021-2022,Q_2022_IJB_03,1,[20],"[20, 21, 146]",fix12,1,[20],"[20, 21, 146]",0
baseline,Grampian-2021-2022,Q_2022_IJB_04,1,[20],"[19, 20]",fix12,1,[20],"[19, 20]",0
baseline,Grampian-2021-2022,Q_2022_IJB_05,1,[20],"[17, 20, 146]",fix12,1,[20],"[17, 20, 146]",0
baseline,Grampian-2021-2022,Q_2022_IJB_06,1,[20],"[19, 20]",fix12,1,[20],"[19, 20]",0
baseline,Grampian-2021-2022,Q_2022_IJB_P1,1,[19],"[19, 20]",fix12,1,[19],"[19, 20]",0
baseline,Grampian-2021-2022,Q_2022_AE_01,1,[12],"[12, 31]",fix12,1,[12],"[12, 31]",0
baseline,Grampian-2021-2022,Q_2022_AE_02,1,[12],"[12, 32]",fix12,1,[12],"[12, 32]",0
baseline,Grampian-2021-2022,Q_2022_AE_03,1,[12],"[12, 32]",fix12,1,[12],"[12, 32]",0
baseline,Grampian-2021-2022,Q_2022_AE_04,1,[12],"[12, 13]",fix12,1,[12],"[12, 13]",0
baseline,Grampian-2021-2022,Q_2022_AE_P1,1,[12],"[12, 32]",fix12,1,[12],"[12, 32]",0
baseline,Grampian-2021-2022,Q_2022_STR_01,0,[16],"[46, 51, 66]",fix12,0,[16],"[46, 51, 66]",0
baseline,Grampian-2021-2022,Q_2022_STR_02,1,[16],"[5, 9, 16]",fix12,1,[16],"[5, 9, 16]",0
baseline,Grampian-2021-2022,Q_2022_STR_P1,0,[16],"[5, 15, 80]",fix12,0,[16],"[5, 15, 57]",0
baseline,Grampian-2021-2022,Q_2022_GOV_01,1,[21],"[21, 25]",fix12,1,[21],"[21, 25]",0
baseline,Grampian-2021-2022,Q_2022_GOV_02,1,[21],"[21, 22]",fix12,1,[21],"[21, 113]",0
baseline,Grampian-2021-2022,Q_2022_CAP_01,0,[25],"[21, 22]",fix12,0,[25],"[21, 22]",0
baseline,Grampian-2021-2022,Q_2022_CAP_02,1,[25],"[25, 32, 82]",fix12,1,[25],"[25, 32, 132]",0
baseline,Grampian-2021-2022,Q_2022_CAP_03,1,[25],"[25, 68, 82]",fix12,1,[25],"[25, 68, 82]",0
baseline,Grampian-2021-2022,Q_2022_COV_01,1,[22],[22],fix12,1,[22],[22],0
baseline,Grampian-2021-2022,Q_2022_GOPES_01,1,[54],"[37, 38, 54]",fix12,1,[54],"[37, 38, 54]",0
baseline,Grampian-2021-2022,Q_2022_FIN_08,0,[23],"[12, 27, 80]",fix12,0,[23],"[71, 78, 80]",0
baseline,Grampian-2021-2022,Q_2022_FIN_P2,1,[23],"[23, 28, 76]",fix12,1,[23],"[23, 71, 78]",0
baseline,Grampian-2021-2022,Q_2022_IJB_P2,1,[23],"[17, 22, 23]",fix12,1,[23],"[17, 22, 23]",0
baseline,Grampian-2021-2022,Q_2022_STR_03,1,[16],"[16, 29, 135]",fix12,1,[16],"[15, 16, 135]",0
baseline,Grampian-2021-2022,Q_2022_AE_P2,1,[12],"[12, 31]",fix12,1,[12],"[12, 31]",0
baseline,Grampian-2021-2022,Q_2022_GOV_P1,1,[31],"[31, 53]",fix12,1,[31],"[31, 53]",0
baseline,Grampian-2021-2022,Q_2022_CAP_P1,1,[25],"[21, 25]",fix12,1,[25],"[21, 25]",0
baseline,Grampian-2021-2022,Q_2022_FIN_09,1,[23],"[22, 23, 115]",fix12,1,[23],"[23, 88, 116]",0
baseline,Grampian-2021-2022,Q_2022_SAV_P2,1,[22],"[22, 28]",fix12,1,[22],"[22, 28]",0
baseline,Grampian-2021-2022,Q_2022_STR_04,1,[15],"[15, 46]",fix12,1,[15],"[15, 46]",0
baseline,Grampian-2021-2022,Q_2022_IJB_07,1,[19],"[19, 20]",fix12,1,[19],"[19, 94]",0
baseline,Grampian-2021-2022,Q_2022_GOV_03,1,[17],"[17, 96, 122]",fix12,1,[17],"[17, 94, 96]",0
baseline,Grampian-2021-2022,Q_2022_STR_P2,0,[12],"[7, 28, 63]",fix12,0,[12],"[7, 28, 63]",0
baseline,Grampian-2021-2022,Q_2022_FIN_12_P1,0,[24],"[18, 81, 140]",fix12,0,[24],"[81, 88, 89]",0
baseline,Grampian-2021-2022,Q_2022_GOV_05,0,[25],"[27, 82, 135]",fix12,0,[25],"[27, 28, 135]",0
baseline,Grampian-2022-2023,Q_2023_FIN_01,1,[23],"[23, 24]",fix12,1,[23],"[23, 24]",0
baseline,Grampian-2022-2023,Q_2023_FIN_02,1,[23],"[23, 24, 121]",fix12,1,[23],"[23, 24, 111]",0
baseline,Grampian-2022-2023,Q_2023_FIN_03,1,[23],"[23, 24]",fix12,1,[23],"[23, 24, 111]",0
baseline,Grampian-2022-2023,Q_2023_FIN_04,1,[23],"[23, 151]",fix12,1,[23],"[23, 151]",0
baseline,Grampian-2022-2023,Q_2023_FIN_05,1,[23],"[23, 24]",fix12,1,[23],"[23, 24, 111]",0
baseline,Grampian-2022-2023,Q_2023_FIN_06,1,[23],"[23, 24]",fix12,1,[23],"[23, 111, 122]",0
baseline,Grampian-2022-2023,Q_2023_FIN_07,0,[25],"[20, 78, 117]",fix12,0,[25],"[20, 117]",0
baseline,Grampian-2022-2023,Q_2023_FIN_08,1,[25],"[20, 25, 149]",fix12,0,[25],"[86, 149]",-1
baseline,Grampian-2022-2023,Q_2023_FIN_P1,1,[24],"[23, 24]",fix12,1,[24],"[23, 24]",0
baseline,Grampian-2022-2023,Q_2023_SAV_01,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_SAV_02,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_SAV_03,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_SAV_04,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_SAV_P1,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_IJB_01,1,[21],"[5, 21, 53]",fix12,1,[21],"[5, 21, 53]",0
baseline,Grampian-2022-2023,Q_2023_IJB_02,1,[21],[21],fix12,1,[21],[21],0
baseline,Grampian-2022-2023,Q_2023_IJB_03,1,[21],"[4, 21, 31]",fix12,1,[21],"[4, 21, 31]",0
baseline,Grampian-2022-2023,Q_2023_IJB_04,1,[21],[21],fix12,1,[21],[21],0
baseline,Grampian-2022-2023,Q_2023_IJB_05,0,[22],"[5, 6, 53]",fix12,0,[22],"[5, 6, 53]",0
baseline,Grampian-2022-2023,Q_2023_IJB_06,1,[22],"[21, 22]",fix12,1,[22],"[21, 22]",0
baseline,Grampian-2022-2023,Q_2023_IJB_P1,1,[21],"[21, 22]",fix12,1,[21],"[21, 22]",0
baseline,Grampian-2022-2023,Q_2023_AE_01,1,[10],"[10, 11, 12]",fix12,1,[10],"[10, 11, 12]",0
baseline,Grampian-2022-2023,Q_2023_AE_02,1,[10],"[10, 12, 14]",fix12,1,[10],"[10, 11, 12]",0
baseline,Grampian-2022-2023,Q_2023_AE_03,1,[10],"[10, 12, 20]",fix12,1,[10],"[10, 12, 20]",0
baseline,Grampian-2022-2023,Q_2023_AE_04,1,[10],"[10, 12, 20]",fix12,1,[10],"[10, 12, 20]",0
baseline,Grampian-2022-2023,Q_2023_AE_P1,1,[10],"[10, 67, 79]",fix12,1,[10],"[10, 67, 79]",0
baseline,Grampian-2022-2023,Q_2023_DEL_01,1,[11],"[9, 11, 12]",fix12,1,[11],"[9, 11, 12]",0
baseline,Grampian-2022-2023,Q_2023_DEL_02,1,[12],"[10, 11, 12]",fix12,1,[12],"[10, 11, 12]",0
baseline,Grampian-2022-2023,Q_2023_DEL_P1,1,[11],"[10, 11, 21]",fix12,1,[11],"[6, 11, 21]",0
baseline,Grampian-2022-2023,Q_2023_GOV_01,1,[23],"[23, 24, 78]",fix12,1,[23],"[23, 24, 78]",0
baseline,Grampian-2022-2023,Q_2023_GOV_02,1,[24],"[24, 35, 92]",fix12,1,[24],"[24, 35, 92]",0
baseline,Grampian-2022-2023,Q_2023_FIN_09,1,[25],"[20, 24, 25]",fix12,1,[25],"[20, 24, 25]",0
baseline,Grampian-2022-2023,Q_2023_COV_01,0,[25],"[24, 39, 103]",fix12,0,[25],"[24, 103, 149]",0
baseline,Grampian-2022-2023,Q_2023_COV_02,1,[25],"[25, 79, 148]",fix12,1,[25],"[25, 62, 79]",0
baseline,Grampian-2022-2023,Q_2023_FIN_10,0,[25],"[27, 67, 110]",fix12,0,[25],"[67, 75]",0
baseline,Grampian-2022-2023,Q_2023_FIN_P2,1,[25],"[25, 67]",fix12,1,[25],"[25, 67]",0
baseline,Grampian-2022-2023,Q_2023_PLAN_01,1,[24],"[24, 39, 98]",fix12,1,[24],"[24, 39, 98]",0
baseline,Grampian-2022-2023,Q_2023_GOV_03,0,[19],"[90, 121, 149]",fix12,0,[19],"[90, 119, 150]",0
baseline,Grampian-2022-2023,Q_2023_IJB_07,0,[25],"[21, 29]",fix12,0,[25],"[21, 29]",0
baseline,Grampian-2022-2023,Q_2023_AE_P2,1,[10],"[10, 11, 24]",fix12,1,[10],"[10, 11, 24]",0
baseline,Grampian-2022-2023,Q_2023_PLAN_02,1,[4],"[4, 24, 74]",fix12,1,[4],"[4, 24, 74]",0
baseline,Grampian-2022-2023,Q_2023_FIN_11,1,[23],"[23, 24]",fix12,1,[23],"[23, 24, 111]",0
baseline,Grampian-2022-2023,Q_2023_GOV_P1,1,[24],"[24, 34]",fix12,1,[24],"[24, 34]",0
baseline,Grampian-2022-2023,Q_2023_SAV_P2,1,[24],"[4, 24]",fix12,1,[24],"[4, 24]",0
baseline,Grampian-2022-2023,Q_2023_IJB_P2,1,[21],[21],fix12,1,[21],[21],0
baseline,Grampian-2022-2023,Q_2023_FIN_14,1,[25],"[24, 25]",fix12,0,[25],"[24, 78]",-1
baseline,Grampian-2022-2023,Q_2023_FIN_15,1,[25],"[20, 24, 25]",fix12,1,[25],"[20, 24, 25]",0
baseline,Grampian-2022-2023,Q_2023_FIN_16,0,[25],"[24, 77]",fix12,0,[25],"[24, 77]",0
baseline,Grampian-2022-2023,Q_2023_GOV_05,1,[4],"[4, 24, 34]",fix12,1,[4],"[4, 24, 58]",0
baseline,Grampian-2022-2023,Q_2023_AE_07,1,[11],"[10, 11, 12]",fix12,1,[11],"[10, 11, 12]",0
baseline,Grampian-2023-2024,Q_2024_FIN_01,1,[26],"[26, 27]",fix12,1,[26],"[26, 27, 118]",0
baseline,Grampian-2023-2024,Q_2024_FIN_02,1,"[26, 118]","[26, 27]",fix12,1,"[26, 118]","[26, 27]",0
baseline,Grampian-2023-2024,Q_2024_FIN_03,1,[26],"[26, 27]",fix12,1,[26],"[26, 27]",0
baseline,Grampian-2023-2024,Q_2024_FIN_04,1,[27],"[26, 27]",fix12,1,[27],"[26, 27, 118]",0
baseline,Grampian-2023-2024,Q_2024_FIN_05,1,[27],"[4, 27, 39]",fix12,1,[27],"[4, 27, 39]",0
baseline,Grampian-2023-2024,Q_2024_FIN_06,1,[26],"[26, 27, 118]",fix12,1,[26],"[26, 27, 118]",0
baseline,Grampian-2023-2024,Q_2024_FIN_07,1,[29],"[29, 31, 154]",fix12,1,[29],"[29, 31, 154]",0
baseline,Grampian-2023-2024,Q_2024_FIN_08,0,[29],"[4, 85]",fix12,0,[29],"[4, 124]",0
baseline,Grampian-2023-2024,Q_2024_FIN_09,1,[27],"[27, 28, 70]",fix12,1,[27],"[27, 28, 70]",0
baseline,Grampian-2023-2024,Q_2024_FIN_10,1,[29],"[29, 73]",fix12,1,[29],"[29, 122]",0
baseline,Grampian-2023-2024,Q_2024_FIN_11,0,[30],"[116, 138]",fix12,0,[30],"[88, 116, 138]",0
baseline,Grampian-2023-2024,Q_2024_FIN_12,1,[23],"[23, 154]",fix12,1,[23],"[23, 154]",0
baseline,Grampian-2023-2024,Q_2024_FIN_13,1,[5],"[5, 35, 84]",fix12,0,[5],"[35, 82, 84]",-1
baseline,Grampian-2023-2024,Q_2024_FIN_14,0,[118],"[26, 27, 31]",fix12,1,[118],"[27, 118]",1
baseline,Grampian-2023-2024,Q_2024_SAV_01,1,[28],"[4, 28]",fix12,1,[28],"[4, 28]",0
baseline,Grampian-2023-2024,Q_2024_SAV_02,1,[29],"[4, 28, 29]",fix12,1,[29],"[4, 28, 29]",0
baseline,Grampian-2023-2024,Q_2024_SAV_03,1,[28],"[4, 28, 66]",fix12,1,[28],"[4, 28, 66]",0
baseline,Grampian-2023-2024,Q_2024_SAV_04,1,[28],"[4, 11, 28]",fix12,1,[28],"[4, 11, 28]",0
baseline,Grampian-2023-2024,Q_2024_SAV_05,1,[28],"[4, 28, 59]",fix12,1,[28],"[4, 28]",0
baseline,Grampian-2023-2024,Q_2024_SAV_06,1,[28],"[4, 28, 66]",fix12,1,[28],"[4, 28]",0
baseline,Grampian-2023-2024,Q_2024_IJB_01,1,[24],"[24, 25]",fix12,1,[24],"[24, 25]",0
baseline,Grampian-2023-2024,Q_2024_IJB_02,1,[24],[24],fix12,1,[24],[24],0
baseline,Grampian-2023-2024,Q_2024_IJB_03,1,[25],"[24, 25]",fix12,1,[25],"[24, 25]",0
baseline,Grampian-2023-2024,Q_2024_IJB_04,1,[24],"[24, 30]",fix12,1,[24],"[24, 30]",0
baseline,Grampian-2023-2024,Q_2024_IJB_05,1,[24],"[24, 29]",fix12,1,[24],"[24, 99]",0
baseline,Grampian-2023-2024,Q_2024_IJB_06,1,[22],"[22, 99, 154]",fix12,1,[22],"[22, 95, 154]",0
baseline,Grampian-2023-2024,Q_2024_IJB_07,1,[30],"[29, 30, 154]",fix12,1,[30],"[29, 30, 155]",0
baseline,Grampian-2023-2024,Q_2024_IJB_08,1,[24],"[24, 25]",fix12,1,[24],"[24, 25]",0
baseline,Grampian-2023-2024,Q_2024_AE_01,1,[12],"[12, 85, 87]",fix12,1,[12],"[12, 34, 85]",0
baseline,Grampian-2023-2024,Q_2024_AE_02,1,[12],"[12, 14, 87]",fix12,1,[12],"[12, 14, 87]",0
baseline,Grampian-2023-2024,Q_2024_AE_03,1,[12],"[3, 12, 14]",fix12,1,[12],"[3, 12, 14]",0
baseline,Grampian-2023-2024,Q_2024_AE_04,1,[12],"[12, 14, 16]",fix12,1,[12],"[12, 14, 16]",0
baseline,Grampian-2023-2024,Q_2024_AE_05,1,[13],"[12, 13, 14]",fix12,1,[13],"[12, 13, 14]",0
baseline,Grampian-2023-2024,Q_2024_AE_06,1,[13],"[12, 13, 14]",fix12,1,[13],"[12, 13, 14]",0
baseline,Grampian-2023-2024,Q_2024_DEL_01,1,"[6, 53]","[6, 53]",fix12,1,"[6, 53]","[6, 53]",0
baseline,Grampian-2023-2024,Q_2024_DEL_02,0,[54],"[10, 53]",fix12,0,[54],"[10, 53]",0
baseline,Grampian-2023-2024,Q_2024_DEL_03,1,[6],"[6, 53]",fix12,1,[6],"[6, 53]",0
baseline,Grampian-2023-2024,Q_2024_DEL_04,1,[53],"[6, 53]",fix12,1,[53],"[6, 53]",0
baseline,Grampian-2023-2024,Q_2024_DEL_05,1,"[6, 54]","[6, 10, 54]",fix12,1,"[6, 54]","[6, 10, 54]",0
baseline,Grampian-2023-2024,Q_2024_ESC_01,1,"[4, 27]","[4, 27, 62]",fix12,1,"[4, 27]","[4, 27]",0
baseline,Grampian-2023-2024,Q_2024_ESC_02,0,"[4, 27]","[34, 84, 154]",fix12,0,"[4, 27]","[34, 84, 154]",0
baseline,Grampian-2023-2024,Q_2024_ESC_03,1,[4],"[4, 21, 59]",fix12,1,[4],"[4, 21, 59]",0
baseline,Grampian-2023-2024,Q_2024_ESC_04,1,[56],"[56, 59]",fix12,1,[56],"[54, 56]",0
baseline,Grampian-2023-2024,Q_2024_GOPES_01,1,[56],"[53, 56]",fix12,1,[56],"[53, 56]",0
baseline,Grampian-2023-2024,Q_2024_GOPES_02,1,[56],"[48, 56]",fix12,1,[56],"[48, 56]",0
baseline,Grampian-2023-2024,Q_2024_GOV_01,1,[28],"[28, 64]",fix12,1,[28],"[26, 28]",0
baseline,Grampian-2023-2024,Q_2024_GOV_02,1,[28],"[28, 30]",fix12,1,[28],"[28, 30]",0
baseline,Grampian-2023-2024,Q_2024_GOV_03,0,[4],"[28, 31, 102]",fix12,0,[4],"[28, 31, 102]",0
baseline,Grampian-2023-2024,Q_2024_GOV_04,1,[33],"[33, 131]",fix12,1,[33],"[33, 131]",0
baseline,Grampian-2023-2024,Q_2024_GOV_05,1,[31],"[4, 23, 31]",fix12,1,[31],"[4, 31, 123]",0
baseline,Grampian-2024-2025,Q_2025_FIN_01,0,[28],"[29, 30]",fix12,0,[28],"[29, 30]",0
baseline,Grampian-2024-2025,Q_2025_FIN_02,1,[28],"[28, 29]",fix12,1,[28],"[28, 29]",0
baseline,Grampian-2024-2025,Q_2025_FIN_03,1,[28],"[28, 29]",fix12,1,[28],"[28, 29]",0
baseline,Grampian-2024-2025,Q_2025_FIN_04,1,[28],"[28, 29]",fix12,1,[28],"[28, 168]",0
baseline,Grampian-2024-2025,Q_2025_FIN_05,1,[29],"[28, 29]",fix12,1,[29],"[28, 29, 128]",0
baseline,Grampian-2024-2025,Q_2025_FIN_06,1,[29],"[28, 29]",fix12,1,[29],"[28, 29, 128]",0
baseline,Grampian-2024-2025,Q_2025_FIN_07,1,[29],"[4, 29]",fix12,1,[29],"[4, 29]",0
baseline,Grampian-2024-2025,Q_2025_FIN_P1,1,[29],"[29, 30]",fix12,1,[29],"[29, 30]",0
baseline,Grampian-2024-2025,Q_2025_FIN_08,0,[31],"[25, 35, 95]",fix12,0,[31],"[35, 103, 166]",0
baseline,Grampian-2024-2025,Q_2025_FIN_09,1,[31],"[24, 31, 33]",fix12,1,[31],"[31, 33, 45]",0
baseline,Grampian-2024-2025,Q_2025_FIN_P2,1,[28],"[28, 29]",fix12,1,[28],"[28, 29, 128]",0
baseline,Grampian-2024-2025,Q_2025_SAV_01,0,[31],"[3, 74, 96]",fix12,0,[31],"[3, 74, 96]",0
baseline,Grampian-2024-2025,Q_2025_SAV_02,0,[31],"[25, 95, 158]",fix12,0,[31],"[25, 95, 158]",0
baseline,Grampian-2024-2025,Q_2025_SAV_03,1,[31],"[29, 31]",fix12,1,[31],"[29, 31]",0
baseline,Grampian-2024-2025,Q_2025_SAV_04,1,[31],"[29, 31]",fix12,1,[31],"[31, 45]",0
baseline,Grampian-2024-2025,Q_2025_SAV_P1,1,[31],"[31, 33]",fix12,1,[31],"[31, 33]",0
baseline,Grampian-2024-2025,Q_2025_SAV_P2,1,[31],"[3, 29, 31]",fix12,1,[31],"[31, 44, 45]",0
baseline,Grampian-2024-2025,Q_2025_IJB_01,1,[26],"[26, 27, 32]",fix12,1,[26],"[26, 84, 87]",0
baseline,Grampian-2024-2025,Q_2025_IJB_02,1,[26],"[26, 32, 165]",fix12,1,[26],"[26, 165]",0
baseline,Grampian-2024-2025,Q_2025_IJB_03,1,[26],"[26, 32]",fix12,0,[26],"[106, 166, 168]",-1
baseline,Grampian-2024-2025,Q_2025_IJB_04,1,[27],"[27, 29]",fix12,1,[27],"[26, 27]",0
baseline,Grampian-2024-2025,Q_2025_IJB_05,1,[26],"[26, 30]",fix12,1,[26],"[26, 30]",0
baseline,Grampian-2024-2025,Q_2025_IJB_06,1,[27],"[26, 27]",fix12,1,[27],"[26, 27]",0
baseline,Grampian-2024-2025,Q_2025_IJB_P1,1,[32],"[30, 32, 74]",fix12,1,[32],"[30, 32, 45]",0
