page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
21,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3506,,,,,,,,
22,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3057,,,,,,,,
23,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3601,,,,,,,,
24,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1580,,,,,,,,
25,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1182,,,,,,,,
26,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,873,,,,,,,,
27,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1323,,,,,,,,
28,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1710,,,,,,,,
29,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1266,,,,,,,,
30,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1360,,,,,,,,
31,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2976,,,,,,,,
32,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3562,,,,,,,,
33,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3505,,,,,,,,
34,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2285,,,,,,,,
35,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3089,,,,,,,,
36,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3162,,,,,,,,
37,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3735,,,,,,,,
38,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3850,,,,,,,,
39,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3299,,,,,,,,
40,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4135,,,,,,,,
41,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2968,,,,,,,,
42,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3620,,,,,,,,
43,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,495,,,,,,,,
44,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,825,,,,,,,,
45,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,788,,,,,,,,
46,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,909,,,,,,,,
47,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1358,,,,,,,,
48,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1485,,,,,,,,
49,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1397,,,,,,,,
50,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,742,,,,,,,,
51,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,622,,,,,,,,
52,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,431,,,,,,,,
53,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1604,,,,,,,,
54,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1564,,,,,,,,
55,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1016,,,,,,,,
56,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,954,,,,,,,,
57,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1004,,,,,,,,
58,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1362,,,,,,,,
59,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1261,,,,,,,,
60,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2396,,,,,,,,
61,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,597,,,,,,,,
62,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,717,,,,,,,,
63,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1565,,,,,,,,
64,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1200,,,,,,,,
65,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2249,,,,,,,,
66,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1013,,,,,,,,
67,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2236,,,,,,,,
68,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1985,,,,,,,,
69,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1322,,,,,,,,
70,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4279,,,,,,,,
71,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,899,,,,,,,,
72,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1733,,,,,,,,
73,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1341,,,,,,,,
74,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2832,,,,,,,,
75,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2260,,,,,,,,
76,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1180,,,,,,,,
77,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,806,,,,,,,,
78,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1125,,,,,,,,
