query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_15_FIN_04,FIN,15,4,5,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,1.0,"[17, 16, 31, 68, 36]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:p0016_004', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0068_001', 'Grampian-2014-2015:p0036_002']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_04,FIN,15,4,10,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.1,1.0,1.0,"[17, 16, 31, 68, 36, 71, 52, 67]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:p0016_004', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0068_001', 'Grampian-2014-2015:p0036_002']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_05,FIN,15,5,1,text,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[17],['Grampian-2014-2015:table_ocr_p0017'],['Grampian-2014-2015']
Q_15_FIN_05,FIN,15,5,3,text,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[17, 31, 49]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0049']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_05,FIN,15,5,5,text,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,1.0,"[17, 31, 49, 62, 21]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0049', 'Grampian-2014-2015:table_ocr_p0062', 'Grampian-2014-2015:p0021_001']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_05,FIN,15,5,10,text,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.1,1.0,1.0,"[17, 31, 49, 62, 21, 29, 75, 36, 74]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0049', 'Grampian-2014-2015:table_ocr_p0062', 'Grampian-2014-2015:p0021_001']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_06,FIN,15,6,1,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[31],['Grampian-2014-2015:table_ocr_p0031'],['Grampian-2014-2015']
Q_15_FIN_06,FIN,15,6,3,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[31, 17, 10]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0010']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_06,FIN,15,6,5,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,1.0,"[31, 17, 10, 71, 33]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0010', 'Grampian-2014-2015:p0071_001', 'Grampian-2014-2015:table_ocr_p0033']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_06,FIN,15,6,10,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,1.0,"[31, 17, 10, 71, 33, 32, 16, 49, 8, 72]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0010', 'Grampian-2014-2015:p0071_001', 'Grampian-2014-2015:table_ocr_p0033']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_01,STF,15,1,1,number,Grampian-2014-2015,,,[47],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[47],['Grampian-2014-2015:table_ocr_p0047'],['Grampian-2014-2015']
Q_15_STF_01,STF,15,1,3,number,Grampian-2014-2015,,,[47],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[47, 20, 8]","['Grampian-2014-2015:table_ocr_p0047', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0008_002']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_01,STF,15,1,5,number,Grampian-2014-2015,,,[47],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,1.0,"[47, 20, 8, 71, 10]","['Grampian-2014-2015:table_ocr_p0047', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0008_002', 'Grampian-2014-2015:p0071_002', 'Grampian-2014-2015:table_ocr_p0010']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_01,STF,15,1,10,number,Grampian-2014-2015,,,[47],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.1,1.0,1.0,"[47, 20, 8, 71, 10, 60, 50, 11, 13]","['Grampian-2014-2015:table_ocr_p0047', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0008_002', 'Grampian-2014-2015:p0071_002', 'Grampian-2014-2015:table_ocr_p0010']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_03,STF,15,3,1,number,Grampian-2014-2015,,,[71],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[71],['Grampian-2014-2015:p0071_001'],['Grampian-2014-2015']
Q_15_STF_03,STF,15,3,3,number,Grampian-2014-2015,,,[71],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[71, 20, 18]","['Grampian-2014-2015:p0071_001', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0018_004']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_03,STF,15,3,5,number,Grampian-2014-2015,,,[71],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.2,1.0,0.0,"[71, 20, 18, 8]","['Grampian-2014-2015:p0071_001', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0018_004', 'Grampian-2014-2015:p0020_000', 'Grampian-2014-2015:p0008_002']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_STF_03,STF,15,3,10,number,Grampian-2014-2015,,,[71],,hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.3,1.0,0.0,"[71, 20, 18, 8, 10, 68, 60]","['Grampian-2014-2015:p0071_001', 'Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:p0018_004', 'Grampian-2014-2015:p0020_000', 'Grampian-2014-2015:p0008_002']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_OPS_01,OPS,15,1,1,number,Grampian-2014-2015,,,[20],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[20],['Grampian-2014-2015:p0020_001'],['Grampian-2014-2015']
Q_15_OPS_01,OPS,15,1,3,number,Grampian-2014-2015,,,[20],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[20, 50, 51]","['Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:table_ocr_p0050', 'Grampian-2014-2015:table_ocr_p0051']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_OPS_01,OPS,15,1,5,number,Grampian-2014-2015,,,[20],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,0.0,"[20, 50, 51, 74]","['Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:table_ocr_p0050', 'Grampian-2014-2015:table_ocr_p0051', 'Grampian-2014-2015:p0074_002', 'Grampian-2014-2015:p0020_003']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_OPS_01,OPS,15,1,10,number,Grampian-2014-2015,,,[20],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.3,1.0,0.0,"[20, 50, 51, 74, 71, 5, 18, 8]","['Grampian-2014-2015:p0020_001', 'Grampian-2014-2015:table_ocr_p0050', 'Grampian-2014-2015:table_ocr_p0051', 'Grampian-2014-2015:p0074_002', 'Grampian-2014-2015:p0020_003']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
