id,x,y,label,text,page,section,category,highlight
Shetland-2023-2024:p0009_000,8.073028,11.448367,DIRECTLY PROVIDED HEALTHCARE,"services from partners. - Table 1 - NHS Shetland at a glance Directly Provided Healthcare Commissioned Healthcare Services 1 GP Practice with 823 registered patients 9 General Practitioner (GP) Practices with 22,028 reg…",9,DIRECTLY PROVIDED HEALTHCARE,Strategy / narrative,False
Shetland-2023-2024:p0009_001,7.5802283,11.538407,DIRECTLY PROVIDED HEALTHCARE,Services - Summary of NHS Shetland Priority Outcomes in 2023–24 The 2023–2024 Annual Delivery Plan (ADP) was submitted to Scottish Government in June 20203. Scottish Government formally approved the plan on 2 August 202…,9,DIRECTLY PROVIDED HEALTHCARE,Strategy / narrative,False
Shetland-2023-2024:p0010_000,8.075937,10.991502,DIRECTLY PROVIDED HEALTHCARE,"localities and communities across Shetland. Amongst the feedback in the PIA consultation, travel to Aberdeen was highlighted as a challenge, together with the provision of accommodation in Aberdeen. As highlighted in th…",10,DIRECTLY PROVIDED HEALTHCARE,Clinical performance,False
Shetland-2023-2024:p0010_001,6.893793,10.956073,DIRECTLY PROVIDED HEALTHCARE,"which was seen to have great staff and short waiting times. The Ask my GP and Video Conferencing services were seen as very good, offering the right support quickly and saving on travel time. A number of people highligh…",10,DIRECTLY PROVIDED HEALTHCARE,Financial narrative,False
Shetland-2023-2024:p0011_000,6.625213,10.891706,DIRECTLY PROVIDED HEALTHCARE,"2023–24, with an interim report going to a Board meeting in December 2023 and a further update in April 2024. The Board reviewed the Risk Management Summary Report for 2023–24 and work plan for 2024–25 at its April 2024…",11,DIRECTLY PROVIDED HEALTHCARE,Governance,False
Shetland-2023-2024:p0011_001,7.1685715,11.043077,DIRECTLY PROVIDED HEALTHCARE,"there will be a negative impact on the service delivery, - If we fail to existing staff and patients care. Resulting in: attract and recruit - reduction in services delivered; to vacancies or - increased workload of exi…",11,DIRECTLY PROVIDED HEALTHCARE,Clinical performance,False
Shetland-2023-2024:p0011_002,5.8479137,11.214539,DIRECTLY PROVIDED HEALTHCARE,"(Information could experience system downtime and/or loss of data and/or Technology) data disclosure. Failure Due to This could result in disruption to services caused by system Cyber Attack downtime, risk of delays in…",11,DIRECTLY PROVIDED HEALTHCARE,Clinical performance,False
Shetland-2023-2024:table_p0012,-1.4706261,2.5116096,RISK DESCRIPTION,Financial table on page 12 (Unknown) Contains 2 line items across 2 columns. Column headers: Theme | RiskDescription. Row labels: SR13:Accesstoservices. Key items: SR13:Accesstoservices | Iftherearesignificantgapsduetor…,12,RISK DESCRIPTION,Financial table,False
Shetland-2023-2024:p0013_000,3.7690167,8.834287,SECTION 4 - PERFORMANCE SUMMARY APPRAISAL,"conditions fell by 20.4% in 2023–24, the excess costs are the principle risk for financial and clinical services’ sustainability. Section 4 - Performance Summary Appraisal - Financial Performance The Scottish Government…",13,SECTION 4 - PERFORMANCE SUMMARY APPRAISAL,Financial narrative,False
Shetland-2023-2024:p0013_001,3.9311566,8.780238,SECTION 4 - PERFORMANCE SUMMARY APPRAISAL,"- Out-turn against net expenditure limits Limit as set by Actual Out- Variance Scottish Government turn Under/(over) Health and Social Care Directorate £000 £000 £000 Core RRL 79,418 79,418 0 Non-core RRL 2,813 2,813 0…",13,SECTION 4 - PERFORMANCE SUMMARY APPRAISAL,Financial table,False
Shetland-2023-2024:table_p0014,-1.688148,2.448038,CAPITAL RESOURCE LIMIT (CRL),Financial table on page 14 (Unknown) Contains 3 line items across 6 columns. Column headers: Compliance | NationalTarget | 2021–22 | 2022–23 | 2023–24 | Movement. Row labels: ×; ✓; ×. Key items: × | 18weeksfromGPreferra…,14,CAPITAL RESOURCE LIMIT (CRL),Financial table,False
Shetland-2023-2024:table_p0015,-1.6949314,2.4617078,COMPLIANCE NATIONAL TARGET,Financial table on page 15 (Unknown) Contains 8 line items across 6 columns. Column headers: Compliance | NationalTarget | 2021–22 | 2022–23 | 2023–24 | Movement. Row labels: ✓; ✓; ×; ×; ✓. Key items: ✓ | MentalHealth:1…,15,COMPLIANCE NATIONAL TARGET,Financial table,False
Shetland-2023-2024:p0016_000,7.7508736,11.729117,SECTION 5 PERFORMANCE ANALYSIS REPORT,"- Objectives of NHS Shetland During 2023–24, NHS Shetland has continued to focus on delivering the key Board Objectives prioritised in our ADP alongside focusing on addressing the significant continuing issues arising f…",16,SECTION 5 PERFORMANCE ANALYSIS REPORT,Governance,False
Shetland-2023-2024:p0016_001,8.110626,11.5312195,SECTION 5 PERFORMANCE ANALYSIS REPORT,the health of the local population and tackle inequalities. Some steps that have been taken as part of this strategy include: - Using feedback from patients and their families or carers to learn from incidents and adver…,16,SECTION 5 PERFORMANCE ANALYSIS REPORT,Clinical performance,False
Shetland-2023-2024:p0017_000,8.128188,11.161015,SECTION 5 PERFORMANCE ANALYSIS REPORT,"services, delivered in the most appropriate setting for the patient”, “redesign services where appropriate, in partnership, to ensure a modern sustainable local health service” and “ensure sufficient organisational capa…",17,SECTION 5 PERFORMANCE ANALYSIS REPORT,Clinical performance,False
Shetland-2023-2024:p0017_001,8.283275,11.0346985,SECTION 5 PERFORMANCE ANALYSIS REPORT,has been providing local access to Acute and Maternity Services in Shetland since it opened in 1961. The Board was continuing to progress through the NHS Scotland governance process for large capital expenditure program…,17,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial narrative,False
Shetland-2023-2024:p0017_002,8.408655,11.050548,SECTION 5 PERFORMANCE ANALYSIS REPORT,"they are not well. Among new local services, 2023–24 saw the first coronary angiogram in Shetland . The new CT was scanner installed in 2021, and one of the most important new features of the equipment is cardiac scans.…",17,SECTION 5 PERFORMANCE ANALYSIS REPORT,Clinical performance,False
Shetland-2023-2024:table_p0018,-1.8362526,2.2713156,SECTION 5 PERFORMANCE ANALYSIS REPORT,"Financial table on page 18 (Unknown) Contains 20 line items across 1 columns. Column headers: •CollaborationwithShetlandIslands’HealthandSocialCarePartnership. Row labels: During2023–24,NHSShetlandhascontinuedtoworkclos…",18,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial table,False
Shetland-2023-2024:table_p0019,-1.020009,1.7488922,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial table on page 19 (Unknown) Contains 6 line items across 6 columns. Column headers: EfficiencySavings | 2019–20 | 2020–21 | 2021–22 | 2022–23 | 2023–24. Row labels: EfficiencySavings; Recurring; Non-Recurring;…,19,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial table,False
Shetland-2023-2024:p0020_000,4.1499815,9.021687,SECTION 5 PERFORMANCE ANALYSIS REPORT,"Year 2020–21 2021–22 2022–23 2023–24 £m £m £m £m Savings Delivered 0.40 0.46 0.51 0.58 Journeys avoided 1,328 trips 1,717 trips 2,588 trips 2,551 trips In-year non-recurrent savings of £2.2m were achieved, as outlined i…",20,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial table,False
Shetland-2023-2024:p0020_001,3.9266539,8.920274,SECTION 5 PERFORMANCE ANALYSIS REPORT,"is a between-year decrease in expenditure of £1.657m, 20.4%. The principle cause was the reduction in agency nursing costs by £1.165m, 52.6%. The use of agency GPs fell by 37.7%, accounting for £0.305m of this reduction…",20,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial narrative,False
Shetland-2023-2024:p0020_002,4.233451,9.025662,SECTION 5 PERFORMANCE ANALYSIS REPORT,"to achieve financial balance over a three-year period. The draft financial plan requires £3.482m in efficiency savings to be achieved in 2024– 25 to address the recurring gap. In addition to that, non-recurring savings…",20,SECTION 5 PERFORMANCE ANALYSIS REPORT,Financial narrative,False
Shetland-2023-2024:p0021_000,3.432187,8.856867,CAPITAL RESOURCE LIMIT (CRL),"due to the overall position of public finances, economic conditions and how the Board manages our work force challenges highlighted in our Strategic Risk Register . The ongoing risk associated with the delivery of the F…",21,CAPITAL RESOURCE LIMIT (CRL),Governance,False
Shetland-2023-2024:p0021_001,3.6122797,9.017675,CAPITAL RESOURCE LIMIT (CRL),"in the IJB. These figures are included in the financial commentary below. The Board’s net assets at 31 March 2024 stood at £32.931m. When compared with £30.797m at 31 March 2023, this represents an increase of £2.134m.…",21,CAPITAL RESOURCE LIMIT (CRL),Financial narrative,False
Shetland-2023-2024:p0021_002,3.59929,8.964499,CAPITAL RESOURCE LIMIT (CRL),"Board carried three provisions totalling £2.181m for future liabilities (compared to £2.101m in 2022–23), as laid out in Note 13 . Payment Policy The Scottish Government is committed to supporting business by paying bil…",21,CAPITAL RESOURCE LIMIT (CRL),Governance,False
Shetland-2023-2024:table_p0022,-1.638452,2.5747724,PENSION LIABILITIES,Financial table on page 22 (Staff Costs) Contains 4 line items across 2 columns. Column headers: • | In2023–24theaveragecredittakenwas22days(comparedwith22daysin. Row labels: •; •. Key items: • | In2023–24theBoardpaid87…,22,PENSION LIABILITIES,Financial table,False
Shetland-2023-2024:p0023_000,8.955997,11.685576,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,"Mental Health NHS Shetland has continued to build on its previous investment in the local Mental Health Service, although progress remains challenging. There are still ongoing difficulties in recruiting to all the subst…",23,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,Clinical performance,False
Shetland-2023-2024:p0023_001,8.750154,11.757766,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,"over a year, with the longest wait at 80 weeks. While the service has been impacted by Covid-19, Figure 4 shows the performance- trend over the last five years has been significantly below the 90% access target, but has…",23,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,Clinical performance,False
Shetland-2023-2024:p0024_000,8.867665,11.843745,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,"17 weeks. This compares favourably to an average waiting period in 2022–23 of 12.2 weeks, with a longest wait of 39 weeks. At the end of March 2024, the longest wait on the waiting list was 16 weeks. This is both below…",24,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,Clinical performance,False
Shetland-2023-2024:p0024_001,8.794403,11.84483,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,"attention in pathway redesigns for a seamless transfer back to the most appropriate setting. In March 2024, there was one patient in hospital as a result of delayed discharge, which is an improvement on March 2023 where…",24,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,Clinical performance,False
Shetland-2023-2024:table_p0025,-1.7178841,2.511854,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,"Financial table on page 25 (Unknown) Contains 14 line items across 1 columns. Column headers: Figure6-DelayedDischarges:Peoplewaitingmorethan14daystobe. Row labels: dischargedfromhospital,oncensusdates; Similartotheredu…",25,ANALYSIS OF THE CLINICAL KEY PERFORMANCE STATISTICS,Financial table,False
Shetland-2023-2024:p0026_000,8.456982,11.899638,UNSCHEDULED CARE,"For the first time since the statistic was introduced in 2022–23, NHS Shetland did not meet the target of discharging, or admitting to a ward, 95.0% of patients attending A&E within four hours. Over the course of the ye…",26,UNSCHEDULED CARE,Strategy / narrative,False
Shetland-2023-2024:p0026_001,8.419319,11.932821,UNSCHEDULED CARE,"in 2023–24 that activity is now back to pre-pandemic levels. A&E attendance activity increased 4.9% in 2023–24 compared to 2022–23, and activity in 2023–24 is now 6.0% above 2018–19 levels, the last full year where acti…",26,UNSCHEDULED CARE,Strategy / narrative,False
Shetland-2023-2024:p0027_000,8.573722,11.641311,UNSCHEDULED CARE,- Waiting Times Targets - Secondary Care Figure 10 below illustrates the Board has not achieved the 18-week access standard from GP referral to outpatient appointment and/or treatment in Shetland over the last five year…,27,UNSCHEDULED CARE,Governance,False
Shetland-2023-2024:p0028_000,8.737741,11.717077,UNSCHEDULED CARE,"the best performance at 87.6%. This compares negatively to the prior year, 2022–23, when this target was met twice, with July 2022 at 91.2% being the best performance. Our lowest month for achievement in 2023–24 was Feb…",28,UNSCHEDULED CARE,Clinical performance,False
Shetland-2023-2024:p0028_001,8.838645,11.793253,UNSCHEDULED CARE,"performance is down on the 2022–23 achievement rate of 77.5%. In both years, Shetland had the second highest achievement rate in comparison to other territorial Boards. At year-end, the Board’s performance against the 1…",28,UNSCHEDULED CARE,Governance,False
Shetland-2023-2024:table_p0029,-1.901367,2.3781445,UNSCHEDULED CARE,"Financial table on page 29 (Unknown) Contains 10 line items across 1 columns. Column headers: AshighlightedinFigure11,theBoardmaintainedcompliancein2023–24withthe. Row labels: standardforpatientstowaitlessthansixweeksfo…",29,UNSCHEDULED CARE,Financial table,False
Shetland-2023-2024:p0030_000,8.436726,11.459649,UNSCHEDULED CARE,"for newly diagnosed primary cancers NHS Shetland is actively participating in the Detecting Cancer Early Programme. The Board continues to actively manage its general waiting times and cancer targets, and is working clo…",30,UNSCHEDULED CARE,Financial narrative,False
Shetland-2023-2024:p0030_001,8.253213,11.506907,UNSCHEDULED CARE,"100 open data sets which give access to statistics and reference data for information and re-use, under Open Government Licence. Analysis of other important Non-Financial Indicators Primary Care The Scottish Government…",30,UNSCHEDULED CARE,Financial narrative,False
Shetland-2023-2024:p0031_000,7.954956,11.518771,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,these include a positive result of 73% on doctor appointment three or more days in advance. Only four questions in the latest survey had a positive value under 50%. Figure 14—Extract from Health and Care Experience Repo…,31,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0032_000,7.7820983,11.844724,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"population screening, behaviour change and preventative services, strategic planning, business continuity planning and resilience work, and collaborative working with community planning partnership and other partners. I…",32,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0032_001,7.861619,12.078966,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,- Vaccination and Immunisation Vaccination is one of the most effective public health interventions to prevent ill health and premature mortality. The Public Health and Vaccination Teams are responsible for the co-ordin…,32,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0032_002,7.761608,11.863519,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"mumps and rubella (MMR) vaccinations. Further work was also undertaken to look at inequalities in screening, including close working with the Learning Disabilities Team and exploring health literacy. - Health Improvemen…",32,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0033_000,7.6431613,11.934683,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"Your Way service, Counterweight and HENRY programmes, along with awareness- raising campaigns and community activities. Further information on Public Health activity is available through the Public Health Annual report…",33,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0033_001,7.2576065,11.991991,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"with Citizens Advice Bureau . Work continues with our partners on the Annual Child Poverty Action Report , and reducing inequalities and inequity in the population. Infection Control Healthcare Associated Infection (HAI…",33,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0033_002,6.9110565,11.742897,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Reporting The Climate Change (Scotland) Act 2009 originally set out measures the Scottish Government would adopt to reduce emissions in Scotland by at least 80% by 2050. The Climate Change (Emissions Reductions Targets)…,33,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0034_000,7.04809,11.77583,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"Change Plan 2018–2032 , while national reports can be found on the Sustainable Scotland Network website . In meeting our sustainability obligation, NHS Shetland engaged with specialist consultants to develop an NHS Shet…",34,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0034_001,7.108735,11.831289,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Shetland is using the NHS Scotland Climate Change Adaptation Assessment Tool to assess the risks and produce an Adaptation Action Plan. This created our Climate Change Risk Assessment submission to Scottish Government.…,34,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0034_002,7.17874,11.891403,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"the nationally-set target of reducing patient travel emissions when accessing health services by 20% 2030, through: - reducing patients’ flights off-island via repatriation schemes ; - increasing the use of e-technology…",34,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Financial narrative,False
Shetland-2023-2024:p0035_000,7.1875186,11.748937,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"travel emissions by 2030; - Given staff access to a car salary-sacrifice scheme, allowing them to upgrade their personal vehicles to lower-emission or zero-emission models, helping lowering our grey fleet impact on the…",35,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0035_001,7.562741,11.134903,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"to reach 100% by 31 December 2025. NHS Shetland has an established Environmental and Sustainability Group, Waste Group, Transport Group, and Energy Group, with identified leads. It is also developing an Energy Policy co…",35,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0035_002,7.9300103,11.254309,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"judging panel Anne Armstrong, Deputy Chief Nursing Officer for Scotland, said those presenting and the teams that they represented “demonstrated a very high calibre of improvement work which deserves to be shared nation…",35,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0036_000,7.7089176,11.304638,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,take up nursing as a career in a remote and rural setting. - Supporting parents and carers of children with Autism CAMHS has successfully started a programme that supports parents and carers of children and young people…,36,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0037_000,7.891857,11.468013,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,"The Living Well Hub is designed to build on local initiatives, combining what is already working, making connections within and across health, community and social care, joining up good practice, and strengthening commo…",37,FIGURE 14—EXTRACT FROM HEALTH AND CARE EXPERIENCE REPORT PUBLISHED BY PUBLIC,Strategy / narrative,False
Shetland-2023-2024:p0038_000,4.876118,10.346877,ACCOUNTABILITY REPORT,Corporate Governance Report Directors’ Report - Date of Issue The Accountable Officer authorised these audited accounts for issue on 25 June 2024 as that was the date the accounts were approved by the Board. - Appointme…,38,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0039_000,4.770429,10.341861,ACCOUNTABILITY REPORT,"Stakeholder Non-Executive Board Position Held Members Amanda McDermott Chair, Area Clinical Forum Bruce McCulloch Employee Director Emma Macdonald Local Authority Representative Under the terms of the Scottish Health Pl…",39,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0039_001,4.6414633,9.958476,ACCOUNTABILITY REPORT,“Board Members” and “Directors” are interchangeable in this report. The names and positions of the Board Members are set out above. - Board Members’ and senior managers’ interests Details of any interests of board membe…,39,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0040_000,5.3467956,10.9396305,ACCOUNTABILITY REPORT,"The value of land owned by the Board is included at current market value, with details provided in Note 7a . - Public Services Reform (Scotland) Act 2010 Sections 31 and 32 of the Public Services Reform (Scotland) Act 2…",40,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0040_001,4.0446744,11.366249,ACCOUNTABILITY REPORT,"awareness of, and response to, the requirements of the Data Protection Act 2018. The ICO concluded no further action was necessary in all cases. They made recommendations for improvements to procedures and, in cases inv…",40,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0041_000,3.651958,10.697075,ACCOUNTABILITY REPORT,"Under Section 15 of the Public Finance and Accountability (Scotland) Act, 2000, The Principal Accountable Officer of the Scottish Government has appointed me as Accountable Officer of Shetland NHS Board. This designatio…",41,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0041_001,3.8468776,10.946109,ACCOUNTABILITY REPORT,"been followed and disclosed and explain any material departures; - prepare the accounts on a going concern basis; I confirm that the Annual Report and Accounts as a whole are fair, balanced and reasonable and take perso…",41,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0042_000,3.8239717,10.312741,ACCOUNTABILITY REPORT,"Under the National Health Service (Scotland) Act 1978, the Health Board is required to prepare accounts in accordance with the directions of Scottish Ministers which require that those accounts give a true and fair view…",42,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0042_001,4.1665277,10.502558,ACCOUNTABILITY REPORT,"continue to operate. The Health Board Members are responsible for ensuring that proper accounting records are maintained which disclose, with reasonable accuracy at any time, the financial position of the Board and enab…",42,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0043_000,5.3085284,10.994391,ACCOUNTABILITY REPORT,Scope of Responsibility As Accountable Officer I am responsible for maintaining an adequate and effective system of internal control that supports compliance with NHS Shetland’s policies and promotes achievement of NHS…,43,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0043_001,5.3067164,10.71959,ACCOUNTABILITY REPORT,"however, there were no formal external reviews other than the annual Network and Information Systems regulations 2018 audit . Purpose of the System of Internal Control The System of Internal Control is based on an ongoi…",43,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0043_002,6.1696153,10.706314,ACCOUNTABILITY REPORT,date of approval of the Annual Report and Accounts. The SPFM is issued by the Scottish Ministers to provide guidance to the Scottish Government and other relevant bodies on the proper handling and reporting of public fu…,43,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0044_000,5.9724526,10.694175,ACCOUNTABILITY REPORT,"setting for the patient; 3. redesign services where appropriate, in partnership, to ensure a modern sustainable local health service; 4. provide best value for resources and deliver financial balance; and 5. ensure suff…",44,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2023-2024:p0044_002,4.8206034,10.404005,ACCOUNTABILITY REPORT,"strategic document of the IJB and acts as the strategic planning document for all health services including those directly managed and commissioned by the Health Board. The Board,",44,ACCOUNTABILITY REPORT,Governance,False
Shetland-2023-2024:p0044_003,7.528184,11.350582,ACCOUNTABILITY REPORT,SIC and IJB are jointly working to a shared vision and objectives for Health and Social care services in Shetland. Three: Discussion began at the December Board meeting on NHS Shetland Strategic delivery plan for 2024-2…,44,ACCOUNTABILITY REPORT,Governance,False
