doc_id,page,proposed_subsection,toc_subsection,reason,top_lines_snippet
Shetland-2023-2024,105,Note 3. —Expenditure,Corporate Governance Report,allow_list_reject(score=0.343),"Note 3—Expenditure - 3a. Staff costs 2023 2024 2024 Total Board Consolidated £000 Note £000 £000 12,855 Medical and Dental 12,431 12,431 15,780 Nursing 15,124 15,124 21,361 Other Staff 21,831 21,831 49,996 Total SoCNE 49,386 49,386 - 3b. Other operating expenditures 2023 2024 2024 Total Board Consolidated £000 £000 £000 Independent Primary Care Services: 1,292 General Medical Services [1] 1,002 1,002 1,196 Pharmaceutical Services 1,257 1,257 526 General Dental Services [2] 691 691 428 General Ophthalmic Services 489 489 3,442 Total 3,439 3,439 Drugs and medical supplies: 4,751 Prescribed drugs Primary Care 5,677 5,677 2,831 Prescribed drugs Secondary Care 3,464 3,464 119 PPE and testing kits 54 54 1,846 Medical Supplies 1,967 1,967 9,547 Total 11,162 11,162 Other health care expenditure 38,903 Contribution to IJBs 38,010 38,010"
Shetland-2023-2024,107,Note 4. —Operating Income,Corporate Governance Report,allow_list_reject(score=0.431),"Note 4—Operating Income 2022 2023 2023 Total Board Consolidated £000 Note £000 £000 86 86 71 Income from Scottish Government 1,090 Income from other NHS 1,303 1,303 Scotland bodies 145 Income from NHS non- 149 149 Scottish bodies 39,955 Income for services 37,182 37,182 commissioned by IJB 129 Patient charges for primary 209 209 care 0 Donations [1] 500 500 319 Contributions in respect of 0 0 clinical and medical negligence claims Non NHS: 5 Overseas patients (non- 15 15 reciprocal) 51 Endowment Fund Income 0 131 598 Other 2,236 2,236 42,363 Total Income SoCNE 41,680 41,811 [1] Donations represent funding from Shetland Charitable Trust to support the MRI Scanner project."
Shetland-2023-2024,108,Note 5. —Segmental Analysis,Corporate Governance Report,allow_list_reject(score=0.302),"Note 5—Segmental Analysis - 5a. Segmental Analysis 2024 Net Operating Total Total Costs assets liabilities 24,772 13,477 (3,832) Directorate of Acute and £000 Specialist Services 31,217 16,983 (4,828) Directorate of £000 Community Health & Social Care 13,482 7,334 (2,085) Off-island Clinical £000 Services 1,895 1,031 (293) Public Health £000 13,211 7,187 (2,043) Support Services £000 84,577 46,012 (13,081) 2024 £000 - 5b. Segmental Analysis Previous Year, 2023 Net Operating Total Total Costs assets liabilities 24,782 13,811 (4,772) Directorate of Acute and £000 Specialist Services 28,970 16,145 (5,578) Directorate of £000 Community Health & Social Care 12,893 7,185 (2,483) Off-island Clinical £000 Services 2,516 1,402 (485) Public Health £000 15,274 8,512 (2,941) Support Services £000 84,435 47,056 (16,259) 2023 £000"
Shetland-2023-2024,109,Note 6. —Intangible Assets,Corporate Governance Report,allow_list_reject(score=0.423),Note 6—Intangible Assets - 6a. Intangible assets (non-current)—Consolidated and Board IT Software Total Note £000 £000 Cost or Valuation: At 1 April 2023 97 97 At 31 March 2024 97 97 Amortisation At 1 April 2023 97 97 Provided during the year 0 0 At 31 March 2024 97 97 Net book value at 1 April 2023 0 0 Net book value at 31 March 2024 0 0 - 6b. Intangible assets (non-current)—Consolidated and Board—Prior year IT Software Total Note £000 £000 Cost or Valuation: At 1 April 2022 97 97 At 31 March 2023 97 97 Amortisation At 1 April 2022 97 97 Provided during the year 0 0 At 31 March 2023 97 97 Net book value at 1 April 2022 0 0 Net book value at 31 March 2023 0 0
Shetland-2023-2024,110,"Note 7. a—Property, Plant and Equipment—Consolidated and Board",Corporate Governance Report,allow_list_reject(score=0.361),"Note 7a—Property, Plant and Equipment—Consolidated and Board Land Buildings Dwellings Trans Plant & ICT Furniture Assets Under Total Equip Machinery & Fittings Construction £000 £000 £000 £000 £000 £000 £000 £000 £000 Cost or valuation At 1 April 2023 632 26,362 2,260 0 9,314 1,769 30 0 40,367 Additions— 0 54 0 0 91 0 0 1,934 2,079 purchased Additions - 0 0 0 0 0 0 0 500 500 donated Revaluations 0 790 29 0 0 0 0 0 819 Disposals— 0 0 0 0 (171) (62) 0 0 (233) purchased At 31 March 632 27,206 2,289 0 9,234 1,707 30 2,434 43,532 2024 Depreciation At 1 April 2023 0 1 1 0 3,855 1,174 30 0 5,061 Provided during 0 1,353 112 0 838 180 0 0 2,483 the year— purchased 107"
Shetland-2023-2024,113,"Note 7. a—Property, Plant and Equipment—Consolidated and Board—Prior Year",Corporate Governance Report,allow_list_reject(score=0.368),"Note 7a—Property, Plant and Equipment—Consolidated and Board—Prior Year Land Buildings Dwellings Trans Plant & ICT Furniture Assets Under Total Equip Machinery & Fittings Construction £000 £000 £000 £000 £000 £000 £000 £000 £000 Cost or valuation At 1 April 2022 577 25,921 1,989 0 8,619 1,769 30 995 39,900 Additions— 0 0 0 0 702 0 0 978 1,680 purchased Transfers 85 1,973 (85) 0 0 0 0 (1,973) 0 between asset categories Transfer to Asset (30) (120) 0 0 0 0 0 0 (150) held for sale Revaluations 0 (1,412) 356 0 0 0 0 0 (1,056) Disposals— 0 0 0 0 (4) 0 0 0 (4) purchased Impairment 0 0 0 0 (3) 0 0 0 (3) charges At 31 March 632 26,362 2,260 0 9,314 1,769 30 0 40,367 2023 Depreciation 110"
Shetland-2023-2024,116,Note 7. b—Assets Held for Sale—Consolidated and Board,Corporate Governance Report,allow_list_reject(score=0.320),"Note 7b—Assets Held for Sale—Consolidated and Board Land and Total Property 2024 2024 £000s £000s At 1 April 2023 150 150 At 31 March 2024 150 150 Asset held for sale—90 St Olaf Street building, which was formerly a dental practice. Prior year—£150k. Note 7c—Property, Plant and Equipment Disclosures Consolidated Board Consolidated Board 2023 2023 2024 2024 £000 £000 Note £000 £000 Net book value of property, plant and equipment at 31 March 35,232 35,232 Purchased 35,716 35,716 74 74 Donated 540 540 35,306 35,306 Total SoFP 36,256 36,256 632 632 Net book value 662 662 related to land valued at open market value at 31 March 26,361 26,361 Net book value 28,223 28,223 related to buildings valued at open market value at 31 March Land and buildings were fully revalued by an independent valuer, Gerald Eve, at 31 March 2023 on the basis of fair value. A full revaluation will be carried out again"
Shetland-2023-2024,119,Note 9. —Trade and Other Receivables,Corporate Governance Report,allow_list_reject(score=0.355),"Note 9—Trade and Other Receivables Consolidated Board Consolidated Board 2023 2023 2024 2024 £000 £000 Note £000 £000 Receivables due within one year NHS Scotland Scottish 0 0 Government 4 4 369 369 Boards 299 299 369 369 Total NHS 303 303 Scotland Receivables 59 59 NHS non-Scottish 43 43 bodies 140 140 VAT recoverable 151 151 689 689 Prepayments 642 642 48 48 Accrued income 159 159 1,206 1,196 Other receivables 1,497 1,452 317 317 Reimbursement of 0 0 provisions 2,735 2,735 Other public 976 976 sector bodies 5,563 5,553 Total 3,771 3,726 Receivables 369 369 NHS Scotland 299 299 140 140 Central 151 151 Government bodies 2,735 2,735 Whole of 976 976 Government bodies"
Shetland-2023-2024,123,Note 10. —Investments,Corporate Governance Report,allow_list_reject(score=0.338),"Note 10—Investments Consolidated Board Note Consolidated Board 2023 2023 2024 2024 £000 £000 £000 £000 1,437 0 Other 1,507 0 1,437 0 Total SoFP 1,507 0 1,480 0 At 1 April 1,437 0 134 0 Additions CFS 127 0 (100) 0 Disposals (119) 0 (77) 0 Revaluation surplus / 62 0 (deficit) transferred to equity 1,437 0 At 31 March 1,507 0 1,437 0 Non-current SoFP 1,507 0 1,437 0 Total 1,507 0 Note 11—Cash and Cash Equivalents 2024 Note £000 Balance at 1 April 1,759 Net change in cash and cash equivalent balances CFS 12 Balance at 31 March SoFP 1,771 Total Cash—Cash Flow Statement 1,771 The following balances at 31 March were held at: Government Banking Service 100 Commercial banks and cash in hand 53 Endowment cash 1,618 Balance at 31 March 1,771"
Shetland-2023-2024,124,Note 12. —Trade and Other Payables,Corporate Governance Report,allow_list_reject(score=0.343),"Note 12—Trade and Other Payables Consolidated Board Note Consolidated Board 2023 2023 2024 2024 £000 £000 £000 £000 Payables due within one year NHS Scotland 2,601 2,601 Boards 1,866 1,866 2,601 2,601 Total NHS Scotland 1,866 1,866 Payables 19 19 NHS Non-Scottish 4 4 bodies 176 176 Amounts payable to 153 153 General Fund 1,381 1,381 FHS practitioners 1,427 1,427 653 653 Trade payables 682 682 3,500 3,500 Accruals 2,315 2,315 137 137 Deferred income 80 80 935 935 Income tax and social 964 964 security 712 712 Superannuation 783 783 801 801 Holiday pay accrual 539 539 1,169 1,169 Other public sector 75 75 bodies 12 0 Other payables 59 0 785 785 Pay accrual 755 755 Payables due after more than one year 1,277 1,277 Net obligation under 1,198 1,198 leases due after 2"
Shetland-2023-2024,126,Note 13. —Provisions,Corporate Governance Report,allow_list_reject(score=0.371),"Note 13—Provisions - 13a. Provisions—Consolidated and Board Pensions Clinical and Participation Other 2024 arising from Medical Legal in CNORIS Total Staff Early Claims Retirement against NHS Board £000 £000 £000 £000 £000 At 1 April 152 0 1,876 73 2,101 2023 Arising during 24 0 145 42 211 the year Utilised (22) 0 (100) 0 (122) during the year Unwinding of (6) 0 0 0 (6) discount Reverse (3) 0 0 0 (3) unutilised At 31 March 145 0 1,921 115 2,181 2024 Further details on Provision are included in note 1 —Accounting Policies. - Pensions arising from Staff Early Retirement The Board meets the additional costs of benefits beyond the normal National Health Service Superannuation Scheme for Scotland benefits in respect of employees who retire early by paying the required amounts annually to the National Health Service Superannuation Scheme for Scotland over the period between early departure and normal retirement date. The Board provides for this in full when the early retirement programme becomes binding by establishing a provision for the estimated payments discounted by the Treasury discount rate, currently 2.45% as advised by PES (2023) 10, (2022–23, 1.70%). The Board expects expenditure to be charged to this provision for a period of up to 16 years. - Clinical and Medical Legal Claims against NHS Board and Participation in CNORIS The amounts shown above in relation to Clinical and Medical Legal Claims against NHS Shetland are stated gross and the amount of any expected reimbursements are"
Shetland-2023-2024,127,Note 13. b along with participation in NHS Scotland CNORIS.,Corporate Governance Report,allow_list_reject(score=0.396),"separately disclosed as receivables in note 9 . Further details are disclosed in note 13b along with participation in NHS Scotland CNORIS. - Other Relating to the Payment As If At Work liability in respect of former employees of NHS Shetland and staff back pay. - Analysis of expected timing of discounted flows to 31 March 2024 Pensions Clinical & Participation Other 2024 arising from Medical Legal in CNORIS Total Staff Early Claims Retirement against NHS Board £000 £000 £000 £000 £000 Payable in 22 0 480 115 617 one year Payable 79 0 1,168 0 1,247 between 2–5 years Payable 36 0 100 0 136 between 6– 10 years Thereafter 8 0 173 0 181 At 31 March 145 0 1,921 115 2,181 2024 - Provisions—Consolidated and Board (Prior Year) Pensions Clinical and Participation Other 2023 Total arising Medical in CNORIS from Staff Legal Claims Early against NHS Retirement Board £000 £000 £000 £000 £000 At 1 April 186 116 1,684 61 2,047 2022 Arising 15 0 192 12 219 during the year"
Shetland-2023-2024,131,Note 16. —Commitments,Corporate Governance Report,allow_list_reject(score=0.298),"Note 16—Commitments - Capital Commitments The Board has the following capital commitments which have not been provided for in the accounts: 2023 2024 £000 £000 Contracted 3,010 MRI Scanner 2,256 Authorised but not Contracted 735 Estates capital projects 0 285 Statutory compliance & backlog maintenance 360 30 Medical equipment 550 50 ICT Projects (Tangible) 199 4,110 Total 3,365 Note 17—Leases Assets - Note 17a—Right of Use Assets (RoU)—Consolidated and Board Buildings Transport Plant & Total Equipment Machinery £000s £000s £000s £000s Cost at 31 March 2023 886 224 960 2,070 Additions 0 617 0 617 Depreciation at 1 April 2023 133 77 432 642 Depreciation provided during 131 172 416 719 the year Net book Value at 31 March 622 592 112 1,326 2024 Please see Accounting Policies for further information on RoU assets and IFRS16. There are seven property leases—one is a GP practice building in Scalloway, one is a mixed residential/office unit, and the remaining five are office space. The significant plant and machinery lease is for a Laboratory Managed Service Contract which expires in July 2024."
Shetland-2023-2024,136,Note 19. —Financial Instruments,Corporate Governance Report,allow_list_reject(score=0.476),"Note 19—Financial Instruments - Note 19a. Financial Instruments by Category - Financial assets Consolidated Financial Financial Financial Total assets at fair assets at assets at value through amortised fair value OCI cost through profit/loss Note £000 £000 £000 £000 As at 31 March 2024 Assets per Statement of Financial Position Investments 10 0 0 1,507 1,507 Trade and other 9 2,675 0 0 2,675 receivables excluding prepayments, reimbursements of provisions and VAT recoverable. Cash and cash 11 1,771 0 0 1,771 equivalents 4,446 0 1,507 5,953"
